"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"    65 years and over","49,215,165","573,439","210,239","430,483","193,953","309,959","202,280"
"        Male","44.2%","46.4%","34.4%","37.3%","38.2%","52.2%","44.8%"
"        Female","55.8%","53.6%","65.6%","62.7%","61.8%","47.8%","55.2%"
"RELATIONSHIP","","","","","","",""
"    Population in households","315,047,636","4,085,273","769,742","2,771,820","1,393,124","3,758,787","1,776,864"
"        Householder or spouse","55.8%","56.2%","70.5%","51.2%","61.7%","56.2%","47.6%"
"        Child","30.3%","24.7%","16.6%","26.2%","25.7%","29.5%","30.3%"
"        Other relatives","7.6%","11.5%","6.6%","15.9%","6.7%","9.4%","15.7%"
"        Nonrelatives","6.3%","7.6%","6.3%","6.7%","5.9%","4.8%","6.5%"
"            Unmarried partner","2.3%","1.0%","1.5%","1.6%","1.1%","0.4%","1.4%"
"HOUSEHOLDS BY TYPE","","","","","","",""
"    Households","118,860,065","1,438,135","328,265","807,412","517,101","1,217,787","513,071"
"        Family households","65.4%","68.1%","59.1%","77.9%","68.1%","78.8%","78.8%"
"            With own children of the householder under 18 years","27.6%","29.1%","20.0%","32.7%","28.4%","45.9%","39.2%"
"            Married-couple family","47.9%","55.5%","46.5%","58.8%","55.4%","72.4%","59.8%"
"                With own children of the householder under 18 years","18.7%","24.8%","16.2%","26.3%","24.3%","43.4%","31.6%"
"            Female householder, no husband present, family","12.6%","8.4%","9.4%","14.0%","9.3%","3.7%","12.8%"
"                With own children of the householder under 18 years","6.7%","3.3%","2.9%","4.8%","3.4%","1.7%","5.9%"
"        Nonfamily households","34.6%","31.9%","40.9%","22.1%","31.9%","21.2%","21.2%"
"            Male householder","16.2%","15.1%","17.8%","9.0%","13.2%","14.0%","10.6%"
"                Living alone","12.5%","10.0%","15.3%","6.5%","10.3%","9.7%","7.0%"
"                Not living alone","3.7%","5.1%","2.5%","2.4%","2.8%","4.4%","3.6%"
"            Female householder","18.4%","16.9%","23.1%","13.1%","18.8%","7.1%","10.6%"
"                Living alone","15.5%","12.5%","20.6%","9.9%","15.6%","5.4%","8.0%"
"                Not living alone","2.9%","4.4%","2.5%","3.2%","3.2%","1.7%","2.5%"
"    Average household size","2.65","2.81","2.31","3.38","2.58","3.11","3.45"
"    Average family size","3.27","3.34","3.02","3.79","3.13","3.49","3.85"
"MARITAL STATUS","","","","","","",""
"    Population 15 years and over","262,140,054","3,611,711","721,596","2,450,893","1,253,305","3,024,904","1,502,358"
"        Now married, except separated","47.5%","57.0%","56.4%","54.8%","56.4%","68.4%","53.2%"
"        Widowed","5.8%","4.3%","9.2%","6.0%","4.6%","3.2%","4.1%"
"        Divorced","11.0%","4.7%","9.2%","6.6%","5.8%","2.7%","6.7%"
"        Separated","2.0%","0.9%","1.3%","1.7%","1.2%","0.7%","1.4%"
"        Never married","33.7%","33.2%","23.9%","31.0%","31.9%","25.1%","34.6%"
"    Male 15 years and over","127,863,548","1,666,616","295,051","1,042,917","538,416","1,579,966","710,967"
"        Now married, except separated","49.1%","58.2%","57.0%","53.9%","56.5%","66.7%","53.9%"
"        Widowed","2.6%","1.7%","2.9%","2.1%","1.6%","1.3%","1.4%"
"        Divorced","9.7%","3.5%","7.4%","5.0%","3.4%","2.3%","5.2%"
"        Separated","1.7%","0.7%","1.2%","1.3%","0.7%","0.7%","1.2%"
"        Never married","36.9%","35.9%","31.5%","37.7%","37.8%","29.0%","38.3%"
"    Female 15 years and over","134,276,506","1,945,095","426,545","1,407,976","714,889","1,444,938","791,391"
"        Now married, except separated","46.0%","56.0%","55.9%","55.5%","56.3%","70.1%","52.6%"
"        Widowed","8.8%","6.5%","13.7%","8.8%","6.9%","5.2%","6.5%"
"        Divorced","12.3%","5.7%","10.4%","7.7%","7.7%","3.1%","8.0%"
"        Separated","2.3%","1.0%","1.3%","2.0%","1.6%","0.7%","1.6%"
"        Never married","30.6%","30.8%","18.7%","26.0%","27.5%","20.8%","31.3%"
"SCHOOL ENROLLMENT","","","","","","",""
"    Population 3 years and over enrolled in school","81,572,277","1,215,641","122,177","635,952","381,272","1,062,622","518,376"
"        Nursery school, preschool","6.0%","4.7%","5.6%","3.6%","4.0%","8.4%","3.7%"
"        Kindergarten","5.0%","3.5%","4.6%","4.0%","3.3%","5.8%","3.3%"
"        Elementary school (grades 1-8)","40.3%","27.6%","28.6%","32.5%","28.3%","36.7%","34.1%"
"        High school (grades 9-12)","21.0%","15.2%","14.2%","19.3%","16.6%","14.1%","20.8%"
"        College or graduate school","27.7%","49.0%","46.9%","40.6%","47.8%","35.0%","38.2%"
"    Male 3 years and over enrolled in school","40,425,306","584,494","59,887","318,365","194,801","555,315","260,617"
"        Percent enrolled in kindergarten to grade 12","68.6%","44.9%","50.0%","58.1%","49.3%","55.7%","58.5%"
"        Percent enrolled in college or graduate school","25.1%","50.0%","44.3%","38.1%","46.7%","36.2%","37.8%"
"    Female 3 years and over enrolled in school","41,146,971","631,147","62,290","317,587","186,471","507,307","257,759"
"        Percent enrolled in kindergarten to grade 12","64.0%","47.7%","45.0%","53.5%","47.1%","57.6%","57.7%"
"        Percent enrolled in college or graduate school","30.3%","48.1%","49.5%","43.1%","48.9%","33.7%","38.5%"
"EDUCATIONAL ATTAINMENT","","","","","","",""
"    Population 25 years and over","218,475,480","2,988,098","667,597","2,107,001","1,066,888","2,616,780","1,244,268"
"        Less than high school diploma","12.5%","17.1%","4.5%","7.0%","7.8%","7.8%","26.8%"
"        High school graduate (includes equivalency)","27.2%","14.1%","18.4%","15.3%","16.7%","8.1%","21.6%"
"        Some college or associate's degree","29.0%","13.7%","26.0%","28.5%","19.9%","9.8%","23.0%"
"        Bachelor's degree","19.3%","26.7%","33.8%","39.7%","34.5%","32.9%","19.9%"
"        Graduate or professional degree","11.9%","28.5%","17.4%","9.5%","21.0%","41.4%","8.7%"
"    High school graduate or higher","87.5%","82.9%","95.5%","93.0%","92.2%","92.2%","73.2%"
"        Male, high school graduate or higher","86.7%","83.8%","97.4%","93.9%","95.7%","94.1%","77.2%"
"        Female, high school graduate or higher","88.1%","82.1%","94.3%","92.3%","89.6%","90.1%","69.8%"
"    Bachelor's degree or higher","31.3%","55.2%","51.1%","49.2%","55.6%","74.3%","28.6%"
"        Male, bachelor's degree or higher","30.8%","57.4%","57.0%","45.2%","60.6%","77.9%","30.6%"
"        Female, bachelor's degree or higher","31.7%","53.3%","47.2%","52.0%","51.9%","70.4%","27.0%"
"FERTILITY","","","","","","",""
"    Women 15 to 50 years","76,483,611","1,219,148","188,970","803,974","431,754","1,084,118","516,550"
"        Women 15 to 50 years who had a birth in the past 12 months","3,946,903","51,227","9,026","36,705","17,611","67,432","23,396"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","1,380,924","3,508","1,000","7,205","1,548","2,360","4,068"
"                As a percent of all women with a birth in the past 12 months","35.0%","6.8%","11.1%","19.6%","8.8%","3.5%","17.4%"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","","","","",""
"    Population 30 years and over","195,787,513","2,604,866","631,657","1,913,611","956,257","2,240,521","1,121,983"
"        Grandparents living with grandchild(ren)","3.7%","5.8%","2.2%","7.1%","2.2%","6.1%","6.3%"
"            Grandparents responsible for grandchildren as a percentage of living with grandchildren","34.7%","14.8%","16.0%","14.9%","18.1%","9.4%","17.3%"
"VETERAN STATUS","","","","","","",""
"    Civilian population 18 years and over","248,478,651","3,466,508","707,907","2,344,730","1,201,133","2,914,964","1,423,880"
"        Civilian veteran","7.4%","1.2%","6.4%","4.3%","2.1%","0.8%","1.8%"
"DISABILITY STATUS","","","","","","",""
"    Total civilian noninstitutionalized population","318,175,867","4,198,898","782,490","2,789,406","1,425,183","3,807,096","1,794,094"
"        With a disability","12.8%","6.5%","12.3%","9.1%","6.6%","4.8%","8.2%"
"    Civilian noninstitutionalized population under 18 years","73,503,793","744,041","80,349","453,723","231,087","896,065","376,356"
"        With a disability","4.3%","2.0%","1.4%","2.8%","2.4%","1.3%","2.6%"
"    Civilian noninstitutionalized population 18 to 64 years","196,766,286","2,889,181","497,055","1,909,152","1,004,423","2,603,028","1,217,129"
"        With a disability","10.6%","3.3%","6.0%","5.5%","3.6%","3.2%","5.7%"
"    Civilian noninstitutionalized population 65 years and older","47,905,788","565,676","205,086","426,531","189,673","308,003","200,609"
"        With a disability","35.2%","28.6%","31.8%","31.7%","27.1%","28.3%","33.6%"
"RESIDENCE 1 YEAR AGO","","","","","","",""
"    Population 1 year and over","319,361,956","4,180,988","785,737","2,795,362","1,429,402","3,758,529","1,790,318"
"        Same house","85.4%","82.7%","87.1%","87.0%","82.9%","78.5%","88.3%"
"        Different house in the U.S.","13.9%","12.7%","8.8%","11.2%","14.3%","16.5%","10.2%"
"            Same county","8.3%","7.1%","5.1%","7.4%","7.8%","8.8%","6.2%"
"            Different county","5.6%","5.7%","3.7%","3.8%","6.5%","7.8%","4.0%"
"                Same state","3.2%","2.8%","1.8%","2.2%","3.4%","3.5%","2.4%"
"                Different state","2.4%","2.9%","1.8%","1.7%","3.1%","4.3%","1.6%"
"        Abroad","0.7%","4.5%","4.2%","1.8%","2.9%","5.0%","1.4%"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","","","","","","",""
"    Native","279,388,170","1,292,198","460,530","981,289","408,609","1,094,650","588,250"
"        Male","49.3%","50.9%","48.1%","51.6%","49.8%","52.5%","52.2%"
"        Female","50.7%","49.1%","51.9%","48.4%","50.2%","47.5%","47.8%"
"    Foreign born","43,739,345","2,922,658","329,300","1,830,596","1,030,306","2,718,757","1,215,325"
"        Male","48.5%","44.5%","33.0%","39.6%","42.0%","51.9%","46.1%"
"        Female","51.5%","55.5%","67.0%","60.4%","58.0%","48.1%","53.9%"
"    Foreign born; naturalized U.S. citizen","21,238,372","1,633,501","106,116","1,283,599","638,043","1,302,434","921,061"
"        Male","45.9%","42.5%","25.9%","39.3%","40.5%","50.5%","47.2%"
"        Female","54.1%","57.5%","74.1%","60.7%","59.5%","49.5%","52.8%"
"    Foreign born; not a U.S. citizen","22,500,973","1,289,157","223,184","546,997","392,263","1,416,323","294,264"
"        Male","51.0%","47.0%","36.5%","40.4%","44.4%","53.1%","42.6%"
"        Female","49.0%","53.0%","63.5%","59.6%","55.6%","46.9%","57.4%"
"    Population born outside the United States","43,739,345","2,922,658","329,300","1,830,596","1,030,306","2,718,757","1,215,325"
"        Entered 2010 or later","18.6%","27.1%","30.8%","16.1%","14.9%","32.9%","15.8%"
"        Entered 2000 to 2009","26.7%","23.0%","18.4%","26.2%","23.2%","28.4%","19.0%"
"        Entered before 2000","54.7%","49.9%","50.8%","57.7%","61.8%","38.7%","65.2%"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","",""
"    Foreign-born population excluding population born at sea","43,738,901","2,922,658","329,300","1,830,596","1,030,306","2,718,757","1,215,325"
"        Europe","10.9%","0.2%","0.6%","0.2%","0.3%","0.9%","0.2%"
"        Asia","30.8%","98.1%","96.0%","99.1%","98.8%","92.8%","99.4%"
"        Africa","4.9%","0.1%","0.1%","0.1%","0.1%","1.5%","0.1%"
"        Oceania","0.6%","0.1%","0.1%","0.1%","0.1%","0.5%","0.0%"
"        Latin America","51.0%","0.9%","2.6%","0.3%","0.4%","3.5%","0.1%"
"        Northern America","1.8%","0.6%","0.7%","0.2%","0.3%","0.7%","0.2%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","",""
"    Population 5 years and over","303,328,961","4,031,248","767,599","2,713,122","1,390,133","3,530,535","1,721,035"
"        English only","78.4%","19.3%","55.1%","34.5%","24.8%","23.5%","14.8%"
"        Language other than English","21.6%","80.7%","44.9%","65.5%","75.2%","76.5%","85.2%"
"            Speak English less than ""very well""","8.6%","45.3%","23.7%","22.0%","41.4%","19.7%","50.2%"
"EMPLOYMENT STATUS","","","","","","",""
"    Population 16 years and over","257,950,721","3,567,570","717,804","2,422,434","1,237,678","2,986,802","1,477,393"
"        In labor force","63.1%","60.4%","56.6%","68.3%","61.5%","68.3%","65.8%"
"            Civilian labor force","62.8%","60.3%","56.4%","67.8%","60.9%","68.2%","65.5%"
"                Employed","59.1%","57.7%","54.8%","64.9%","58.0%","65.3%","62.4%"
"                Unemployed","3.6%","2.6%","1.6%","2.9%","2.9%","2.9%","3.1%"
"                    Unemployment Rate","5.8%","4.2%","2.8%","4.3%","4.8%","4.3%","4.7%"
"            Armed Forces","0.4%","0.1%","0.2%","0.5%","0.5%","0.1%","0.2%"
"        Not in labor force","36.9%","39.6%","43.4%","31.7%","38.5%","31.7%","34.2%"
"    Females 16 years and over","132,227,193","1,923,326","424,502","1,394,981","707,165","1,425,525","777,594"
"        In labor force","58.2%","56.8%","48.5%","65.6%","54.1%","55.7%","62.7%"
"            Civilian labor force","58.1%","56.7%","48.5%","65.4%","54.0%","55.6%","62.7%"
"                Employed","54.8%","54.4%","46.9%","62.8%","51.6%","52.2%","60.4%"
"                Unemployed","3.3%","2.3%","1.6%","2.6%","2.4%","3.4%","2.2%"
"                    Unemployment Rate","5.6%","4.1%","3.3%","4.0%","4.5%","6.2%","3.6%"
"COMMUTING TO WORK","","","","","","",""
"    Workers 16 years and over","150,377,159","2,000,835","387,527","1,539,859","709,163","1,900,624","903,173"
"        Car, truck, or van - drove alone","76.3%","57.8%","70.0%","70.0%","69.0%","65.7%","72.2%"
"        Car, truck, or van - carpooled","9.0%","12.3%","9.0%","13.6%","11.5%","10.7%","17.0%"
"        Public transportation (excluding taxicab)","5.1%","17.0%","8.9%","8.3%","9.3%","11.7%","4.2%"
"        Walked","2.7%","5.8%","4.2%","2.5%","3.6%","4.1%","2.0%"
"        Other means","1.8%","1.9%","1.6%","1.9%","1.8%","2.1%","1.5%"
"        Worked at home","5.0%","5.3%","6.4%","3.6%","4.9%","5.8%","3.1%"
"        Mean travel time to work (minutes)","26.6","32.2","28.4","29.2","30.1","30.8","27.4"
"OCCUPATION","","","","","","",""
"    Civilian employed population 16 years and over","152,571,041","2,059,872","393,333","1,571,840","718,305","1,950,629","922,596"
"        Management, business, science, and arts occupations","37.6%","56.3%","54.7%","43.4%","52.1%","71.3%","32.0%"
"        Service occupations","18.1%","16.8%","13.0%","22.3%","14.1%","6.5%","31.9%"
"        Sales and office occupations","23.3%","18.1%","23.4%","22.3%","23.7%","15.2%","16.5%"
"        Natural resources, construction, and maintenance occupations","8.8%","2.3%","3.5%","3.6%","2.6%","1.4%","4.3%"
"        Production, transportation, and material moving occupations","12.2%","6.4%","5.3%","8.4%","7.4%","5.6%","15.2%"
"    Male civilian employed population 16 years and over","80,047,885","1,013,357","194,450","695,809","353,619","1,206,336","452,623"
"        Management, business, science, and arts occupations","34.0%","58.2%","56.6%","39.0%","54.6%","73.6%","34.2%"
"        Service occupations","15.0%","15.3%","11.4%","20.9%","10.0%","4.6%","21.4%"
"        Sales and office occupations","17.0%","13.9%","18.6%","19.5%","21.3%","12.9%","15.1%"
"        Natural resources, construction, and maintenance occupations","16.1%","4.4%","6.7%","7.6%","4.9%","2.1%","8.4%"
"        Production, transportation, and material moving occupations","17.9%","8.3%","6.8%","13.0%","9.1%","6.9%","20.8%"
"    Female civilian employed population 16 years and over","72,523,156","1,046,515","198,883","876,031","364,686","744,293","469,973"
"        Management, business, science, and arts occupations","41.6%","54.5%","52.9%","46.9%","49.7%","67.7%","30.0%"
"        Service occupations","21.5%","18.3%","14.6%","23.5%","18.1%","9.6%","42.0%"
"        Sales and office occupations","30.3%","22.2%","28.2%","24.5%","26.1%","19.1%","17.9%"
"        Natural resources, construction, and maintenance occupations","0.9%","0.3%","0.4%","0.4%","0.4%","0.3%","0.4%"
"        Production, transportation, and material moving occupations","5.8%","4.6%","3.9%","4.8%","5.7%","3.4%","9.8%"
"INDUSTRY","","","","","","",""
"    Civilian employed population 16 years and over","152,571,041","2,059,872","393,333","1,571,840","718,305","1,950,629","922,596"
"        Agriculture, forestry, fishing and hunting, and mining","1.7%","0.4%","0.7%","0.5%","0.3%","0.4%","0.7%"
"        Construction","6.4%","2.0%","2.1%","1.8%","2.3%","1.3%","2.1%"
"        Manufacturing","10.1%","10.6%","11.8%","8.1%","8.9%","10.3%","16.9%"
"        Wholesale trade","2.7%","3.5%","4.2%","1.7%","4.1%","1.9%","1.9%"
"        Retail trade","11.5%","7.6%","9.1%","10.3%","12.0%","9.7%","8.8%"
"        Transportation and warehousing, and utilities","5.2%","3.7%","4.7%","4.5%","3.7%","4.1%","3.1%"
"        Information","2.1%","3.1%","2.9%","1.7%","2.7%","3.6%","1.8%"
"        Finance and insurance, and real estate and rental and leasing","6.6%","8.7%","8.0%","6.0%","7.9%","9.6%","4.6%"
"        Professional, scientific, and management, and administrative and waste management services","11.4%","15.9%","14.6%","8.6%","12.9%","27.4%","8.7%"
"        Educational services, and health care and social assistance","23.0%","23.3%","22.2%","36.8%","22.5%","22.1%","15.8%"
"        Arts, entertainment, and recreation, and accommodation and food services","9.8%","13.8%","9.9%","11.4%","11.0%","5.2%","8.9%"
"        Other services (except public administration)","4.9%","4.5%","4.6%","4.0%","9.1%","2.2%","23.6%"
"        Public administration","4.6%","3.2%","5.3%","4.6%","2.7%","2.4%","3.0%"
"CLASS OF WORKER","","","","","","",""
"    Civilian employed population 16 years and over","152,571,041","2,059,872","393,333","1,571,840","718,305","1,950,629","922,596"
"        Private wage and salary workers","80.2%","82.2%","76.8%","82.6%","81.6%","87.8%","82.7%"
"        Government workers","13.6%","12.1%","16.0%","13.7%","9.7%","8.8%","9.5%"
"        Self-employed workers in own not incorporated business","6.0%","5.4%","6.9%","3.5%","8.3%","3.2%","7.6%"
"        Unpaid family workers","0.2%","0.3%","0.3%","0.2%","0.4%","0.1%","0.2%"
"INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","","","","","","",""
"    Households","118,860,065","1,438,135","328,265","807,412","517,101","1,217,787","513,071"
"        Median household income (dollars)","57,617","73,788","76,175","88,745","63,677","110,026","62,958"
"    With earnings","77.6%","81.9%","74.7%","89.1%","81.9%","93.4%","88.7%"
"        Mean earnings (dollars)","83,372","113,017","103,534","104,051","104,808","144,398","86,656"
"    With Social Security income","31.1%","19.9%","36.0%","27.7%","19.7%","11.9%","20.5%"
"        Mean Social Security income (dollars)","18,656","16,124","19,514","17,937","15,810","18,729","13,943"
"    With Supplemental Security Income","5.5%","5.5%","2.6%","5.7%","4.7%","2.3%","9.1%"
"        Mean Supplemental Security Income (dollars)","9,592","8,684","9,612","8,540","8,145","8,469","9,490"
"    With cash public assistance income","2.5%","1.9%","0.8%","2.7%","2.1%","1.3%","3.3%"
"        Mean cash public assistance income (dollars)","3,057","4,133","3,444","3,306","3,523","3,824","3,148"
"    With retirement income","18.7%","8.8%","24.7%","16.8%","6.8%","5.3%","8.2%"
"        Mean retirement income (dollars)","25,829","28,369","32,571","25,328","25,541","28,498","18,002"
"    With Food Stamp/SNAP benefits","12.4%","6.8%","2.4%","6.7%","5.9%","3.8%","11.6%"
"    Families","77,785,962","978,666","194,005","629,262","351,953","960,071","404,368"
"        Median family income (dollars)","71,062","91,231","100,342","96,314","81,156","121,964","67,243"
"            Married-couple family","73.2%","81.6%","78.7%","75.5%","81.4%","91.8%","75.8%"
"        Median income (dollars)","85,290","101,375","110,140","106,637","89,348","127,384","74,580"
"            Male householder, no spouse present, family","7.4%","6.1%","5.4%","6.6%","4.9%","3.5%","8.0%"
"        Median income (dollars)","49,599","62,363","77,926","68,998","58,529","81,266","55,224"
"            Female householder, no husband present, family","19.3%","12.3%","15.9%","17.9%","13.7%","4.7%","16.2%"
"        Median income (dollars)","35,380","51,396","60,856","66,450","50,257","63,354","43,431"
"    Individuals","323,127,515","4,214,856","789,830","2,811,885","1,438,915","3,813,407","1,803,575"
"        Per capita income (dollars)","31,128","37,741","45,352","33,569","36,323","48,127","26,152"
"    With earnings for full-time, year-round workers:","","","","","","",""
"        Male","61,918,299","758,605","149,738","529,528","267,040","975,252","338,575"
"        Female","46,293,518","669,356","123,816","605,634","231,184","484,952","307,808"
"    Mean earnings (dollars) for full-time, year-round workers:","","","","","","",""
"        Male","69,979","91,029","93,079","63,803","86,777","112,435","62,718"
"        Female","51,779","73,425","68,436","58,457","65,720","83,376","48,613"
"    Median earnings (dollars) full-time, year-round workers:","","","","","","",""
"        Male","50,586","69,886","71,889","50,749","60,538","91,584","47,330"
"        Female","40,626","57,000","55,391","47,171","50,544","70,150","35,069"
"HEALTH INSURANCE COVERAGE","","","","","","",""
"    Civilian noninstitutionalized population","318,175,867","4,198,898","782,490","2,789,406","1,425,183","3,807,096","1,794,094"
"        With private health insurance","67.8%","72.4%","84.4%","77.9%","71.9%","83.2%","63.7%"
"        With public coverage","35.4%","27.3%","31.3%","26.0%","24.3%","16.0%","33.4%"
"        No health insurance coverage","8.6%","6.4%","3.8%","5.7%","9.8%","4.9%","8.1%"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","",""
"    All families","10.0%","10.4%","4.3%","4.5%","9.3%","4.7%","11.1%"
"        With related children of the householder under 18 years","15.9%","10.8%","6.8%","5.9%","10.3%","4.7%","12.5%"
"            With related children of the householder under 5 years only","15.1%","9.8%","7.0%","6.0%","8.1%","4.4%","10.3%"
"        Married-couple family","5.1%","8.7%","2.5%","2.7%","7.4%","3.8%","8.4%"
"            With related children of the householder under 18 years","7.1%","7.5%","4.0%","2.9%","7.0%","3.6%","8.8%"
"                With related children of the householder under 5 years only","5.3%","7.2%","5.5%","2.4%","6.5%","3.9%","7.3%"
"        Female householder, no husband present, family","27.3%","20.3%","11.9%","11.8%","19.2%","17.1%","21.3%"
"            With related children of the householder under 18 years","37.0%","30.4%","20.6%","18.7%","30.2%","26.6%","27.6%"
"                With related children of the householder under 5 years only","41.4%","31.7%","N","23.8%","35.2%","21.0%","27.1%"
"    All people","14.0%","15.5%","8.0%","6.6%","13.1%","7.6%","14.0%"
"        Under 18 years","19.5%","12.4%","6.8%","7.0%","11.1%","5.8%","15.7%"
"            Related children of the householder under 18 years","19.1%","11.4%","5.6%","6.5%","10.3%","5.8%","15.1%"
"                Related children of the householder under 5 years","21.3%","13.0%","8.3%","6.8%","10.3%","5.8%","16.8%"
"                Related children of the householder 5 to 17 years","18.3%","10.9%","4.6%","6.4%","10.2%","5.8%","14.6%"
"        18 years and over","12.4%","16.2%","8.2%","6.6%","13.5%","8.2%","13.5%"
"        18 to 64 years","13.2%","15.7%","8.8%","6.4%","12.5%","8.3%","12.8%"
"        65 years and over","9.2%","18.3%","6.6%","7.4%","19.0%","7.4%","17.9%"
"        People in families","11.3%","9.6%","3.9%","4.1%","8.2%","4.8%","10.7%"
"        Unrelated individuals 15 years and over","25.7%","41.0%","21.2%","23.6%","35.6%","29.3%","37.0%"
"HOUSING TENURE","","","","","","",""
"    Occupied housing units","118,860,065","1,438,135","328,265","807,412","517,101","1,217,787","513,071"
"        Owner-occupied housing units","63.1%","62.3%","64.4%","60.8%","49.1%","54.6%","65.7%"
"        Renter-occupied housing units","36.9%","37.7%","35.6%","39.2%","50.9%","45.4%","34.3%"
"    Average household size of owner-occupied unit","2.72","3.05","2.44","3.57","2.88","3.48","3.74"
"    Average household size of renter-occupied unit","2.53","2.42","2.06","3.07","2.29","2.67","2.90"
"UNITS IN STRUCTURE","","","","","","",""
"    Occupied housing units","118,860,065","1,438,135","328,265","807,412","517,101","1,217,787","513,071"
"        1-unit, detached or attached","68.6%","58.2%","64.6%","67.6%","53.1%","55.7%","73.3%"
"        2 to 4 units","7.8%","10.2%","5.9%","7.7%","7.8%","8.1%","7.0%"
"        5 or more units","17.9%","31.0%","28.6%","23.5%","38.2%","35.9%","16.7%"
"        Mobile home, boat, RV, van, etc.","5.6%","0.5%","1.0%","1.2%","0.9%","0.3%","3.0%"
"YEAR STRUCTURE BUILT","","","","","","",""
"    Occupied housing units","118,860,065","1,438,135","328,265","807,412","517,101","1,217,787","513,071"
"        Built 2014 or later","1.4%","2.0%","1.2%","2.1%","2.5%","4.1%","1.6%"
"        Built 2010 to 2013","2.8%","4.1%","2.4%","3.6%","4.5%","5.9%","3.5%"
