"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"    18 years and over","77.1%","82.4%","89.8%","83.2%","83.4%","76.6%","79.1%"
"    21 years and over","72.9%","77.7%","87.1%","79.5%","79.2%","73.5%","74.5%"
"    62 years and over","18.3%","16.6%","31.3%","18.5%","15.7%","10.3%","14.0%"
"    65 years and over","14.9%","13.2%","26.6%","14.7%","13.1%","8.0%","10.8%"
"    Under 18 years","73,629,710","726,857","77,255","479,301","242,205","867,138","363,845"
"        Male","51.1%","47.5%","50.0%","51.9%","53.2%","51.2%","50.7%"
"        Female","48.9%","52.5%","50.0%","48.1%","46.8%","48.8%","49.3%"
"    18 years and over","247,789,111","3,406,817","680,213","2,368,847","1,218,278","2,832,819","1,375,003"
"        Male","48.6%","46.1%","41.1%","42.3%","43.3%","52.1%","47.3%"
"        Female","51.4%","53.9%","58.9%","57.7%","56.7%","47.9%","52.7%"
"    18 to 34 years","75,239,780","1,141,402","125,417","665,268","387,431","1,101,133","424,502"
"        Male","50.8%","47.9%","47.3%","47.7%","48.2%","51.8%","47.7%"
"        Female","49.2%","52.1%","52.7%","52.3%","51.8%","48.2%","52.3%"
"    35 to 64 years","124,816,851","1,720,220","353,075","1,284,066","639,420","1,434,913","762,573"
"        Male","49.1%","45.2%","42.4%","40.9%","41.5%","52.6%","47.4%"
"        Female","50.9%","54.8%","57.6%","59.1%","58.5%","47.4%","52.6%"
"    65 years and over","47,732,480","545,195","201,721","419,513","191,427","296,773","187,928"
"        Male","44.1%","45.7%","34.9%","37.8%","39.5%","51.0%","45.7%"
"        Female","55.9%","54.3%","65.1%","62.2%","60.5%","49.0%","54.3%"
"RELATIONSHIP","","","","","","",""
"    Population in households","313,347,925","4,011,613","739,383","2,806,479","1,416,523","3,648,665","1,714,931"
"        Householder or spouse","55.8%","55.8%","70.3%","50.3%","60.6%","56.1%","47.3%"
"        Child","30.4%","24.7%","17.1%","26.4%","25.5%","29.9%","30.6%"
"        Other relatives","7.6%","11.5%","6.4%","16.7%","7.5%","9.6%","16.2%"
"        Nonrelatives","6.3%","8.0%","6.2%","6.6%","6.5%","4.4%","5.9%"
"            Unmarried partner","2.4%","1.2%","1.6%","1.6%","1.2%","0.4%","1.4%"
"HOUSEHOLDS BY TYPE","","","","","","",""
"    Households","118,208,250","1,403,201","315,326","798,887","511,033","1,176,388","495,525"
"        Family households","65.6%","68.4%","59.7%","77.2%","67.8%","80.2%","79.4%"
"            With own children of the householder under 18 years","27.9%","29.6%","20.0%","34.0%","28.9%","46.5%","39.0%"
"            Married-couple family","48.0%","55.7%","47.1%","58.4%","56.0%","74.0%","59.3%"
"                With own children of the householder under 18 years","18.8%","25.4%","16.7%","27.1%","25.3%","44.3%","31.1%"
"            Female householder, no husband present, family","12.8%","8.4%","9.2%","13.5%","8.8%","3.6%","13.1%"
"                With own children of the householder under 18 years","6.8%","3.1%","2.6%","5.2%","3.0%","1.6%","5.6%"
"        Nonfamily households","34.4%","31.6%","40.3%","22.8%","32.2%","19.8%","20.6%"
"            Male householder","16.1%","14.6%","16.5%","9.1%","13.6%","12.8%","11.0%"
"                Living alone","12.4%","9.9%","13.7%","6.6%","10.4%","9.0%","7.7%"
"                Not living alone","3.6%","4.7%","2.8%","2.5%","3.3%","3.8%","3.3%"
"            Female householder","18.3%","17.0%","23.8%","13.7%","18.5%","7.1%","9.6%"
"                Living alone","15.5%","12.6%","20.7%","10.5%","15.3%","5.3%","7.3%"
"                Not living alone","2.9%","4.4%","3.1%","3.1%","3.3%","1.7%","2.3%"
"    Average household size","2.65","2.82","2.34","3.46","2.63","3.13","3.48"
"    Average family size","3.26","3.34","3.04","3.90","3.19","3.49","3.87"
"MARITAL STATUS","","","","","","",""
"    Population 15 years and over","260,415,152","3,542,768","691,850","2,464,878","1,268,796","2,938,290","1,445,488"
"        Now married, except separated","47.5%","56.5%","56.2%","55.0%","55.9%","69.2%","52.6%"
"        Widowed","5.8%","4.4%","8.9%","5.7%","4.8%","3.1%","4.3%"
"        Divorced","11.0%","4.9%","8.6%","6.5%","5.8%","2.5%","6.4%"
"        Separated","2.1%","0.9%","1.3%","1.8%","1.0%","0.7%","1.5%"
"        Never married","33.5%","33.2%","25.1%","31.0%","32.4%","24.5%","35.2%"
"    Male 15 years and over","127,013,406","1,636,379","285,019","1,050,039","554,255","1,533,394","685,663"
"        Now married, except separated","49.2%","57.9%","56.9%","54.4%","55.5%","68.0%","53.3%"
"        Widowed","2.6%","1.5%","2.8%","1.8%","1.6%","1.0%","1.7%"
"        Divorced","9.7%","3.6%","6.6%","4.8%","4.0%","2.1%","4.9%"
"        Separated","1.7%","0.7%","1.1%","1.4%","0.8%","0.6%","1.5%"
"        Never married","36.7%","36.2%","32.6%","37.5%","38.1%","28.4%","38.6%"
"    Female 15 years and over","133,401,746","1,906,389","406,831","1,414,839","714,541","1,404,896","759,825"
"        Now married, except separated","45.9%","55.4%","55.7%","55.4%","56.2%","70.4%","52.0%"
"        Widowed","8.9%","6.9%","13.1%","8.6%","7.3%","5.5%","6.6%"
"        Divorced","12.3%","6.0%","10.0%","7.7%","7.3%","3.0%","7.8%"
"        Separated","2.3%","1.1%","1.4%","2.1%","1.2%","0.9%","1.5%"
"        Never married","30.5%","30.6%","19.8%","26.1%","28.0%","20.2%","32.1%"
"SCHOOL ENROLLMENT","","","","","","",""
"    Population 3 years and over enrolled in school","81,618,288","1,179,687","123,858","655,796","397,433","1,024,386","506,237"
"        Nursery school, preschool","6.0%","4.1%","5.4%","3.8%","4.1%","8.2%","3.5%"
"        Kindergarten","5.0%","3.7%","3.8%","3.7%","3.2%","5.9%","4.0%"
"        Elementary school (grades 1-8)","40.3%","27.7%","28.1%","33.7%","27.9%","36.7%","34.5%"
"        High school (grades 9-12)","20.9%","15.3%","14.2%","19.5%","17.0%","14.4%","19.1%"
"        College or graduate school","27.8%","49.1%","48.5%","39.4%","47.8%","34.8%","39.0%"
"    Male 3 years and over enrolled in school","40,350,884","558,365","58,368","326,809","203,060","537,901","252,648"
"        Percent enrolled in kindergarten to grade 12","68.7%","45.5%","48.8%","59.8%","49.0%","56.1%","59.0%"
"        Percent enrolled in college or graduate school","25.1%","50.1%","44.9%","36.1%","45.8%","36.0%","37.2%"
"    Female 3 years and over enrolled in school","41,267,404","621,322","65,490","328,987","194,373","486,485","253,589"
"        Percent enrolled in kindergarten to grade 12","63.9%","47.9%","43.8%","53.8%","47.0%","58.0%","56.1%"
"        Percent enrolled in college or graduate school","30.4%","48.2%","51.6%","42.6%","50.0%","33.5%","40.8%"
"EDUCATIONAL ATTAINMENT","","","","","","",""
"    Population 25 years and over","216,447,163","2,928,582","631,333","2,121,959","1,065,997","2,542,282","1,191,391"
"        Less than high school diploma","12.9%","17.2%","4.5%","7.4%","7.5%","7.9%","26.6%"
"        High school graduate (includes equivalency)","27.6%","14.2%","18.6%","15.6%","17.8%","9.0%","22.6%"
"        Some college or associate's degree","29.0%","13.9%","26.0%","29.5%","19.9%","9.7%","22.3%"
"        Bachelor's degree","19.0%","26.9%","34.0%","38.5%","34.3%","32.6%","20.2%"
"        Graduate or professional degree","11.6%","27.8%","17.0%","9.0%","20.5%","40.8%","8.3%"
"    High school graduate or higher","87.1%","82.8%","95.5%","92.6%","92.5%","92.1%","73.4%"
"        Male, high school graduate or higher","86.4%","84.1%","96.6%","93.5%","95.9%","94.1%","76.8%"
"        Female, high school graduate or higher","87.8%","81.8%","94.8%","92.0%","89.9%","89.9%","70.3%"
"    Bachelor's degree or higher","30.6%","54.6%","50.9%","47.5%","54.7%","73.4%","28.5%"
"        Male, bachelor's degree or higher","30.3%","56.6%","57.0%","43.6%","61.0%","77.0%","30.5%"
"        Female, bachelor's degree or higher","30.9%","53.0%","46.7%","50.3%","50.1%","69.4%","26.7%"
"FERTILITY","","","","","","",""
"    Women 15 to 50 years","76,551,119","1,199,338","183,918","822,543","441,595","1,043,331","499,605"
"        Women 15 to 50 years who had a birth in the past 12 months","3,931,053","53,488","7,380","36,247","19,051","61,815","23,707"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","1,401,433","5,418","661","8,018","1,200","2,569","4,286"
"                As a percent of all women with a birth in the past 12 months","35.7%","10.1%","9.0%","22.1%","6.3%","4.2%","18.1%"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","","","","",""
"    Population 30 years and over","194,154,761","2,561,345","599,262","1,920,981","952,473","2,171,426","1,068,752"
"        Grandparents living with grandchild(ren)","3.8%","5.9%","2.1%","7.5%","2.8%","6.6%","6.5%"
"            Grandparents responsible for grandchildren as a percentage of living with grandchildren","35.3%","14.2%","16.0%","13.9%","10.2%","9.4%","14.8%"
"VETERAN STATUS","","","","","","",""
"    Civilian population 18 years and over","246,780,172","3,401,982","679,559","2,354,551","1,213,558","2,831,016","1,372,743"
"        Civilian veteran","7.6%","1.1%","6.6%","4.5%","2.3%","0.6%","1.6%"
"DISABILITY STATUS","","","","","","",""
"    Total civilian noninstitutionalized population","316,450,569","4,118,204","751,532","2,824,419","1,448,368","3,694,461","1,729,902"
"        With a disability","12.6%","6.1%","11.7%","8.8%","6.3%","4.9%","8.2%"
"    Civilian noninstitutionalized population under 18 years","73,491,931","726,231","77,179","479,090","242,126","867,067","363,776"
"        With a disability","4.1%","1.8%","2.6%","2.6%","1.7%","1.6%","2.5%"
"    Civilian noninstitutionalized population 18 to 64 years","196,521,616","2,853,628","477,230","1,930,245","1,019,498","2,532,030","1,180,500"
"        With a disability","10.4%","3.0%","4.9%","5.6%","3.8%","3.3%","5.8%"
"    Civilian noninstitutionalized population 65 years and older","46,437,022","538,345","197,123","415,084","186,744","295,364","185,626"
"        With a disability","35.4%","28.6%","31.9%","31.4%","25.9%","27.9%","34.8%"
"RESIDENCE 1 YEAR AGO","","","","","","",""
"    Population 1 year and over","317,635,720","4,096,958","754,051","2,831,775","1,449,028","3,649,230","1,725,461"
"        Same house","85.3%","82.7%","87.2%","87.1%","81.0%","78.8%","87.7%"
"        Different house in the U.S.","14.1%","12.8%","9.6%","11.0%","16.0%","16.2%","10.6%"
"            Same county","8.5%","6.9%","5.9%","7.0%","9.1%","8.4%","6.6%"
"            Different county","5.6%","5.9%","3.7%","3.9%","6.9%","7.8%","4.0%"
"                Same state","3.2%","3.1%","1.7%","2.0%","3.7%","3.3%","2.4%"
"                Different state","2.4%","2.8%","2.0%","1.9%","3.2%","4.5%","1.6%"
"        Abroad","0.7%","4.4%","3.2%","1.9%","3.0%","5.0%","1.6%"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","","","","","","",""
"    Native","278,128,449","1,251,726","444,849","971,444","411,855","1,053,834","564,580"
"        Male","49.3%","51.1%","48.7%","50.9%","50.3%","51.4%","51.2%"
"        Female","50.7%","48.9%","51.3%","49.1%","49.7%","48.6%","48.8%"
"    Foreign born","43,290,372","2,881,948","312,619","1,876,704","1,048,628","2,646,123","1,174,268"
"        Male","48.6%","44.4%","32.4%","40.3%","42.9%","52.1%","46.5%"
"        Female","51.4%","55.6%","67.6%","59.7%","57.1%","47.9%","53.5%"
"    Foreign born; naturalized U.S. citizen","20,697,103","1,622,661","100,152","1,279,993","630,577","1,283,176","878,790"
"        Male","45.9%","42.7%","24.5%","39.9%","41.6%","51.0%","47.1%"
"        Female","54.1%","57.3%","75.5%","60.1%","58.4%","49.0%","52.9%"
"    Foreign born; not a U.S. citizen","22,593,269","1,259,287","212,467","596,711","418,051","1,362,947","295,478"
"        Male","51.1%","46.5%","36.2%","41.2%","44.8%","53.2%","44.6%"
"        Female","48.9%","53.5%","63.8%","58.8%","55.2%","46.8%","55.4%"
"    Population born outside the United States","43,290,372","2,881,948","312,619","1,876,704","1,048,628","2,646,123","1,174,268"
"        Entered 2010 or later","15.6%","23.3%","26.7%","14.2%","13.7%","28.3%","13.7%"
"        Entered 2000 to 2009","27.9%","24.5%","19.2%","27.1%","23.7%","31.0%","20.0%"
"        Entered before 2000","56.5%","52.2%","54.1%","58.7%","62.6%","40.7%","66.3%"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","",""
"    Foreign-born population excluding population born at sea","43,289,646","2,881,871","312,619","1,876,704","1,048,628","2,646,123","1,174,268"
"        Europe","11.1%","0.3%","0.4%","0.2%","0.2%","0.9%","0.3%"
"        Asia","30.6%","98.1%","96.2%","99.1%","98.7%","92.7%","99.4%"
"        Africa","4.8%","0.1%","0.0%","0.1%","0.1%","1.5%","0.0%"
"        Oceania","0.6%","0.1%","0.2%","0.0%","0.0%","0.5%","0.0%"
"        Latin America","51.1%","0.8%","2.6%","0.3%","0.7%","3.6%","0.1%"
"        Northern America","1.9%","0.6%","0.6%","0.2%","0.3%","0.8%","0.1%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","",""
"    Population 5 years and over","301,625,014","3,955,097","736,585","2,739,781","1,405,657","3,427,385","1,664,164"
"        English only","78.5%","19.0%","56.4%","34.2%","24.5%","22.3%","14.6%"
"        Language other than English","21.5%","81.0%","43.6%","65.8%","75.5%","77.7%","85.4%"
"            Speak English less than ""very well""","8.6%","45.9%","23.2%","22.5%","41.2%","20.5%","51.1%"
"EMPLOYMENT STATUS","","","","","","",""
"    Population 16 years and over","256,167,758","3,498,983","687,850","2,434,554","1,252,302","2,901,365","1,419,970"
"        In labor force","63.1%","60.9%","55.4%","69.0%","60.8%","67.4%","66.0%"
"            Civilian labor force","62.7%","60.7%","55.3%","68.4%","60.5%","67.4%","65.8%"
"                Employed","58.8%","57.7%","53.7%","64.8%","57.5%","64.0%","62.7%"
"                Unemployed","3.9%","3.0%","1.6%","3.6%","2.9%","3.4%","3.1%"
"                    Unemployment Rate","6.3%","5.0%","2.9%","5.3%","4.8%","5.0%","4.7%"
"            Armed Forces","0.4%","0.1%","0.1%","0.6%","0.4%","0.1%","0.2%"
"        Not in labor force","36.9%","39.1%","44.6%","31.0%","39.2%","32.6%","34.0%"
"    Females 16 years and over","131,333,465","1,883,020","404,679","1,399,310","706,881","1,388,182","746,832"
"        In labor force","58.1%","56.5%","47.1%","66.2%","53.6%","54.6%","62.1%"
"            Civilian labor force","58.0%","56.5%","47.0%","66.0%","53.5%","54.6%","62.0%"
"                Employed","54.4%","53.7%","45.5%","62.8%","50.9%","50.9%","59.8%"
"                Unemployed","3.6%","2.8%","1.5%","3.2%","2.6%","3.7%","2.3%"
"                    Unemployment Rate","6.2%","5.0%","3.2%","4.9%","4.8%","6.8%","3.7%"
"COMMUTING TO WORK","","","","","","",""
"    Workers 16 years and over","148,324,160","1,973,354","362,905","1,545,860","711,296","1,808,087","870,663"
"        Car, truck, or van - drove alone","76.6%","58.8%","71.2%","69.8%","69.9%","66.5%","73.1%"
"        Car, truck, or van - carpooled","9.0%","11.7%","8.8%","13.7%","10.5%","10.5%","16.2%"
"        Public transportation (excluding taxicab)","5.2%","17.1%","8.2%","9.0%","9.0%","11.9%","3.9%"
"        Walked","2.8%","6.2%","3.7%","2.8%","3.8%","4.1%","2.0%"
"        Other means","1.8%","1.9%","2.3%","1.7%","1.8%","2.0%","1.5%"
"        Worked at home","4.6%","4.2%","5.9%","3.1%","5.1%","5.0%","3.2%"
"        Mean travel time to work (minutes)","26.4","31.8","28.4","28.6","29.2","30.4","27.2"
"OCCUPATION","","","","","","",""
"    Civilian employed population 16 years and over","150,534,773","2,018,940","369,242","1,578,227","720,603","1,856,997","890,402"
"        Management, business, science, and arts occupations","37.1%","56.5%","54.8%","43.3%","51.3%","69.6%","32.2%"
"        Service occupations","18.0%","16.7%","12.9%","21.5%","14.4%","6.5%","29.9%"
"        Sales and office occupations","23.6%","18.5%","23.1%","22.4%","24.5%","16.0%","16.5%"
"        Natural resources, construction, and maintenance occupations","9.0%","2.2%","3.9%","3.8%","2.8%","1.6%","4.6%"
"        Production, transportation, and material moving occupations","12.3%","6.1%","5.3%","9.0%","7.0%","6.3%","16.8%"
"    Male civilian employed population 16 years and over","79,120,041","1,008,285","184,970","699,230","360,557","1,150,607","444,002"
"        Management, business, science, and arts occupations","33.5%","58.0%","56.0%","38.7%","53.4%","71.5%","33.0%"
"        Service occupations","14.8%","15.4%","12.5%","21.0%","10.8%","4.6%","20.8%"
"        Sales and office occupations","17.1%","14.6%","17.4%","18.8%","21.9%","13.9%","14.9%"
"        Natural resources, construction, and maintenance occupations","16.3%","4.2%","7.3%","8.0%","5.4%","2.3%","8.8%"
"        Production, transportation, and material moving occupations","18.2%","7.7%","6.8%","13.6%","8.5%","7.7%","22.5%"
"    Female civilian employed population 16 years and over","71,414,732","1,010,655","184,272","878,997","360,046","706,390","446,400"
"        Management, business, science, and arts occupations","41.1%","54.9%","53.6%","46.9%","49.1%","66.4%","31.5%"
"        Service occupations","21.5%","17.9%","13.2%","22.0%","18.1%","9.7%","38.9%"
"        Sales and office occupations","30.8%","22.3%","28.8%","25.2%","27.2%","19.5%","18.1%"
"        Natural resources, construction, and maintenance occupations","0.9%","0.2%","0.6%","0.5%","0.2%","0.3%","0.5%"
"        Production, transportation, and material moving occupations","5.8%","4.6%","3.8%","5.4%","5.5%","4.1%","11.1%"
"INDUSTRY","","","","","","",""
"    Civilian employed population 16 years and over","150,534,773","2,018,940","369,242","1,578,227","720,603","1,856,997","890,402"
"        Agriculture, forestry, fishing and hunting, and mining","1.9%","0.5%","1.0%","0.5%","0.4%","0.4%","0.9%"
"        Construction","6.4%","2.0%","2.8%","1.8%","2.4%","1.2%","2.0%"
"        Manufacturing","10.3%","11.0%","10.8%","8.5%","9.2%","10.8%","19.1%"
"        Wholesale trade","2.7%","3.2%","3.9%","2.1%","3.5%","2.1%","1.6%"
"        Retail trade","11.5%","8.3%","9.1%","10.6%","13.4%","10.8%","9.8%"
"        Transportation and warehousing, and utilities","5.1%","3.6%","4.6%","4.4%","3.4%","4.0%","2.9%"
"        Information","2.1%","3.1%","2.9%","1.9%","2.5%","3.5%","1.7%"
"        Finance and insurance, and real estate and rental and leasing","6.5%","8.2%","7.3%","5.8%","7.2%","9.1%","4.7%"
"        Professional, scientific, and management, and administrative and waste management services","11.3%","15.1%","14.3%","9.4%","12.0%","26.3%","8.7%"
"        Educational services, and health care and social assistance","22.9%","23.7%","22.8%","35.9%","22.3%","22.3%","15.4%"
"        Arts, entertainment, and recreation, and accommodation and food services","9.8%","14.0%","10.6%","11.2%","12.0%","5.3%","9.6%"
"        Other services (except public administration)","4.9%","3.9%","4.1%","3.6%","8.6%","2.0%","20.7%"
"        Public administration","4.6%","3.4%","5.7%","4.1%","3.3%","2.2%","2.9%"
"CLASS OF WORKER","","","","","","",""
"    Civilian employed population 16 years and over","150,534,773","2,018,940","369,242","1,578,227","720,603","1,856,997","890,402"
"        Private wage and salary workers","80.3%","82.2%","76.2%","83.9%","79.6%","87.2%","82.4%"
"        Government workers","13.6%","12.5%","16.5%","13.2%","10.3%","9.0%","9.0%"
"        Self-employed workers in own not incorporated business","5.9%","5.1%","7.2%","2.9%","9.5%","3.7%","8.3%"
"        Unpaid family workers","0.2%","0.3%","0.2%","0.1%","0.5%","0.2%","0.3%"
"INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","","","","","","",""
"    Households","118,208,250","1,403,201","315,326","798,887","511,033","1,176,388","495,525"
"        Median household income (dollars)","55,775","71,219","74,548","84,546","63,008","103,821","60,983"
"    With earnings","77.6%","82.4%","73.5%","89.6%","82.2%","94.1%","88.3%"
"        Mean earnings (dollars)","79,909","108,457","101,602","99,074","99,751","133,379","84,445"
"    With Social Security income","30.8%","19.1%","36.7%","26.2%","19.7%","11.8%","20.0%"
"        Mean Social Security income (dollars)","18,292","15,664","19,270","17,535","15,520","18,790","13,337"
"    With Supplemental Security Income","5.5%","5.5%","2.4%","6.0%","4.8%","2.7%","9.5%"
"        Mean Supplemental Security Income (dollars)","9,448","8,535","9,671","8,676","8,343","8,330","9,450"
"    With cash public assistance income","2.5%","2.0%","0.8%","2.3%","1.8%","1.2%","3.4%"
"        Mean cash public assistance income (dollars)","3,083","3,833","3,757","3,964","4,388","3,664","3,214"
"    With retirement income","18.6%","8.3%","25.4%","16.3%","6.4%","5.3%","7.3%"
"        Mean retirement income (dollars)","24,945","27,683","32,132","24,103","24,998","26,346","18,800"
"    With Food Stamp/SNAP benefits","12.8%","6.5%","2.2%","6.8%","5.9%","4.1%","12.6%"
"    Families","77,530,756","959,726","188,247","617,076","346,593","943,032","393,419"
"        Median family income (dollars)","68,260","88,788","95,779","92,122","79,646","115,291","64,931"
"            Married-couple family","73.2%","81.4%","78.9%","75.5%","82.6%","92.3%","74.7%"
"        Median income (dollars)","82,078","99,296","105,631","101,266","87,106","120,375","72,228"
"            Male householder, no spouse present, family","7.4%","6.4%","5.7%","7.0%","4.4%","3.3%","8.9%"
"        Median income (dollars)","46,778","61,961","76,369","70,355","60,378","78,563","58,230"
"            Female householder, no husband present, family","19.5%","12.2%","15.4%","17.4%","13.0%","4.4%","16.4%"
"        Median income (dollars)","33,342","52,712","62,366","61,483","43,159","55,763","39,113"
"    Individuals","321,418,821","4,133,674","757,468","2,848,148","1,460,483","3,699,957","1,738,848"
"        Per capita income (dollars)","29,979","36,444","43,286","31,970","34,277","44,660","25,448"
"    With earnings for full-time, year-round workers:","","","","","","",""
"        Male","61,026,259","759,535","141,095","532,292","276,817","936,511","333,567"
"        Female","45,321,438","647,663","116,433","615,289","226,992","463,131","284,142"
"    Mean earnings (dollars) for full-time, year-round workers:","","","","","","",""
"        Male","67,885","86,804","90,923","59,875","82,912","104,860","60,583"
"        Female","50,015","71,484","66,991","57,705","61,565","76,800","47,678"
"    Median earnings (dollars) full-time, year-round workers:","","","","","","",""
"        Male","49,938","65,541","70,134","49,505","56,734","86,731","45,394"
"        Female","39,940","55,676","52,135","46,572","47,236","65,181","35,939"
"HEALTH INSURANCE COVERAGE","","","","","","",""
"    Civilian noninstitutionalized population","316,450,569","4,118,204","751,532","2,824,419","1,448,368","3,694,461","1,729,902"
"        With private health insurance","67.5%","71.8%","84.4%","78.0%","70.8%","82.0%","63.7%"
"        With public coverage","34.7%","26.6%","31.4%","24.6%","23.5%","16.4%","32.1%"
"        No health insurance coverage","9.4%","7.3%","3.5%","6.6%","11.6%","5.7%","9.2%"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","",""
"    All families","10.6%","10.3%","4.4%","4.6%","9.8%","4.7%","12.5%"
"        With related children of the householder under 18 years","17.1%","11.0%","5.6%","6.0%","9.7%","4.9%","13.8%"
"            With related children of the householder under 5 years only","16.4%","10.3%","3.0%","7.7%","10.4%","2.9%","11.1%"
"        Married-couple family","5.2%","8.7%","3.0%","2.9%","7.6%","4.1%","9.6%"
"            With related children of the householder under 18 years","7.7%","8.3%","3.1%","3.3%","6.2%","4.1%","9.5%"
"                With related children of the householder under 5 years only","5.9%","8.4%","2.8%","3.9%","8.6%","2.7%","6.7%"
"        Female householder, no husband present, family","29.0%","18.8%","11.0%","11.7%","22.6%","15.2%","25.6%"
"            With related children of the householder under 18 years","39.2%","27.6%","17.8%","17.5%","34.7%","22.6%","33.7%"
"                With related children of the householder under 5 years only","43.9%","28.8%","N","24.4%","27.5%","9.4%","40.9%"
"    All people","14.7%","15.4%","8.3%","6.5%","13.4%","7.5%","14.5%"
"        Under 18 years","20.7%","12.4%","7.4%","6.9%","10.2%","5.7%","15.8%"
"            Related children of the householder under 18 years","20.4%","11.3%","6.4%","6.4%","9.6%","5.6%","15.3%"
"                Related children of the householder under 5 years","22.8%","12.6%","8.6%","8.3%","12.5%","4.5%","15.1%"
"                Related children of the householder 5 to 17 years","19.5%","10.9%","5.6%","5.8%","8.8%","6.1%","15.4%"
"        18 years and over","12.9%","16.0%","8.4%","6.4%","14.0%","8.1%","14.2%"
"        18 to 64 years","13.9%","15.7%","8.9%","6.3%","13.0%","8.3%","13.6%"
"        65 years and over","9.0%","17.5%","7.4%","7.1%","19.3%","6.2%","17.8%"
"        People in families","12.0%","9.5%","4.0%","3.8%","8.4%","4.9%","11.5%"
"        Unrelated individuals 15 years and over","26.2%","40.1%","22.5%","24.3%","35.9%","29.3%","36.7%"
"HOUSING TENURE","","","","","","",""
"    Occupied housing units","118,208,250","1,403,201","315,326","798,887","511,033","1,176,388","495,525"
"        Owner-occupied housing units","63.0%","62.1%","66.2%","59.4%","47.7%","54.6%","66.1%"
"        Renter-occupied housing units","37.0%","37.9%","33.8%","40.6%","52.3%","45.4%","33.9%"
"    Average household size of owner-occupied unit","2.71","3.06","2.46","3.70","2.93","3.51","3.79"
"    Average household size of renter-occupied unit","2.54","2.43","2.11","3.10","2.35","2.68","2.88"
"UNITS IN STRUCTURE","","","","","","",""
"    Occupied housing units","118,208,250","1,403,201","315,326","798,887","511,033","1,176,388","495,525"
"        1-unit, detached or attached","68.4%","58.6%","65.8%","66.2%","50.5%","55.4%","73.5%"
"        2 to 4 units","7.9%","10.0%","5.1%","8.1%","9.7%","8.7%","7.5%"
"        5 or more units","17.9%","30.9%","28.0%","24.4%","38.9%","35.6%","16.0%"
"        Mobile home, boat, RV, van, etc.","5.7%","0.5%","1.1%","1.3%","1.0%","0.3%","3.0%"
"YEAR STRUCTURE BUILT","","","","","","",""
"    Occupied housing units","118,208,250","1,403,201","315,326","798,887","511,033","1,176,388","495,525"
"        Built 2014 or later","0.5%","0.7%","0.3%","0.6%","0.7%","1.7%","0.8%"
"        Built 2010 to 2013","2.7%","3.7%","2.3%","3.3%","4.5%","6.1%","3.4%"
