"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"    Male","49.3%","51.2%","48.9%","50.8%","51.1%","51.4%","50.9%"
"    Female","50.7%","48.8%","51.1%","49.2%","48.9%","48.6%","49.1%"
"    Foreign born","40,824,658","2,521,324","302,685","1,741,359","1,067,644","2,176,088","1,131,288"
"    Male","48.7%","44.5%","32.5%","40.4%","42.4%","51.9%","46.8%"
"    Female","51.3%","55.5%","67.5%","59.6%","57.6%","48.1%","53.2%"
"    Foreign born; naturalized U.S. citizen","18,686,237","1,465,760","88,894","1,140,766","603,033","1,071,333","845,833"
"    Male","45.8%","42.6%","25.0%","40.3%","40.4%","51.0%","47.8%"
"    Female","54.2%","57.4%","75.0%","59.7%","59.6%","49.0%","52.2%"
"    Foreign born; not a U.S. citizen","22,138,421","1,055,564","213,791","600,593","464,611","1,104,755","285,455"
"    Male","51.1%","47.0%","35.6%","40.7%","44.9%","52.9%","43.9%"
"    Female","48.9%","53.0%","64.4%","59.3%","55.1%","47.1%","56.1%"
"    Population born outside the United States","40,824,658","2,521,324","302,685","1,741,359","1,067,644","2,176,088","1,131,288"
"    Entered 2010 or later","7.0%","11.6%","16.1%","6.3%","8.9%","13.2%","5.7%"
"    Entered 2000 to 2009","30.4%","28.9%","24.1%","30.2%","25.9%","38.3%","21.2%"
"    Entered before 2000","62.7%","59.5%","59.8%","63.5%","65.2%","48.5%","73.1%"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","",""
"    Foreign-born population excluding population born at sea","40,824,553","2,521,324","302,685","1,741,359","1,067,644","2,176,088","1,131,288"
"    Europe","11.8%","0.3%","0.4%","0.2%","0.4%","1.1%","0.3%"
"    Asia","29.2%","97.9%","96.7%","99.3%","99.0%","91.8%","99.3%"
"    Africa","4.2%","0.1%","0.0%","0.0%","0.1%","1.7%","0.0%"
"    Oceania","0.6%","0.1%","0.1%","0.0%","0.1%","0.4%","0.0%"
"    Latin America","52.2%","1.0%","2.2%","0.2%","0.4%","4.3%","0.2%"
"    Northern America","2.0%","0.7%","0.6%","0.2%","0.1%","0.6%","0.1%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","",""
"    Population 5 years and over","294,003,714","3,494,232","761,330","2,546,475","1,382,303","2,805,002","1,585,480"
"    English only","79.0%","18.3%","57.2%","33.1%","21.9%","20.7%","12.8%"
"    Language other than English","21.0%","81.7%","42.8%","66.9%","78.1%","79.3%","87.2%"
"        Speak English less than ""very well""","8.5%","46.0%","22.6%","22.1%","43.8%","20.5%","51.8%"
"EMPLOYMENT STATUS","","","","","","",""
"    Population 16 years and over","248,601,283","3,051,383","713,540","2,229,632","1,219,170","2,378,544","1,331,828"
"    In labor force","63.8%","62.4%","56.5%","70.4%","58.9%","69.4%","67.2%"
"        Civilian labor force","63.4%","62.3%","56.3%","69.7%","58.5%","69.4%","67.0%"
"            Employed","57.5%","58.3%","53.9%","64.4%","54.5%","65.0%","61.9%"
"            Unemployed","5.9%","3.9%","2.4%","5.3%","4.0%","4.4%","5.1%"
"                Percent of civilian labor force","9.4%","6.3%","4.2%","7.6%","6.8%","6.4%","7.6%"
"        Armed Forces","0.4%","0.1%","0.2%","0.7%","0.3%","0.1%","0.2%"
"    Not in labor force","36.2%","37.6%","43.5%","29.6%","41.1%","30.6%","32.8%"
"    Females 16 years and over","127,549,401","1,634,763","414,053","1,278,484","694,870","1,143,392","698,088"
"    In labor force","58.8%","57.7%","48.3%","67.9%","51.7%","56.4%","63.4%"
"        Civilian labor force","58.7%","57.7%","48.3%","67.8%","51.6%","56.4%","63.3%"
"            Employed","53.3%","54.1%","46.1%","63.5%","47.8%","51.5%","59.1%"
"            Unemployed","5.4%","3.6%","2.1%","4.2%","3.8%","4.9%","4.2%"
"                Percent of civilian labor force","9.1%","6.2%","4.4%","6.2%","7.4%","8.6%","6.6%"
"COMMUTING TO WORK","","","","","","",""
"    Workers 16 years and over","140,862,960","1,736,274","379,246","1,417,389","655,609","1,508,796","806,344"
"    Car, truck, or van - drove alone","76.3%","58.0%","72.4%","70.1%","69.9%","66.1%","73.8%"
"    Car, truck, or van - carpooled","9.7%","12.8%","9.7%","14.5%","12.1%","12.4%","16.7%"
"    Public transportation (excluding taxicab)","5.0%","16.9%","7.5%","8.3%","8.1%","11.2%","3.6%"
"    Walked","2.8%","6.1%","3.4%","2.6%","4.5%","4.2%","1.8%"
"    Other means","1.8%","1.9%","1.9%","1.4%","1.5%","1.6%","1.4%"
"    Worked at home","4.4%","4.3%","5.1%","3.1%","3.9%","4.5%","2.7%"
"    Mean travel time to work (minutes)","25.7","31.1","27.4","27.5","28.6","29.1","26.3"
"OCCUPATION","","","","","","",""
"    Civilian employed population 16 years and over","142,921,687","1,779,017","384,568","1,436,313","664,827","1,545,366","824,821"
"    Management, business, science, and arts occupations","36.1%","54.3%","54.3%","42.5%","48.7%","68.2%","29.6%"
"    Service occupations","18.3%","17.6%","12.2%","21.6%","14.4%","6.6%","31.1%"
"    Sales and office occupations","24.5%","19.2%","24.2%","23.3%","25.7%","17.4%","15.9%"
"    Natural resources, construction, and maintenance occupations","9.0%","2.6%","3.5%","4.1%","3.2%","1.7%","5.1%"
"    Production, transportation, and material moving occupations","12.2%","6.3%","5.7%","8.5%","7.9%","6.1%","18.3%"
"    Male civilian employed population 16 years and over","74,933,153","894,440","193,582","624,017","332,737","956,369","412,041"
"    Management, business, science, and arts occupations","32.8%","55.9%","55.8%","37.4%","51.4%","70.7%","31.4%"
"    Service occupations","15.2%","16.3%","11.7%","20.8%","10.6%","4.6%","21.4%"
"    Sales and office occupations","17.5%","15.6%","18.6%","20.0%","23.3%","14.7%","13.9%"
"    Natural resources, construction, and maintenance occupations","16.4%","4.7%","6.3%","8.4%","5.8%","2.4%","9.7%"
"    Production, transportation, and material moving occupations","18.1%","7.4%","7.7%","13.4%","8.9%","7.6%","23.5%"
"    Female civilian employed population 16 years and over","67,988,534","884,577","190,986","812,296","332,090","588,997","412,780"
"    Management, business, science, and arts occupations","39.6%","52.7%","52.9%","46.5%","46.1%","64.0%","27.7%"
"    Service occupations","21.7%","18.9%","12.8%","22.2%","18.2%","10.0%","40.8%"
"    Sales and office occupations","32.1%","22.9%","29.8%","25.8%","28.2%","21.7%","18.0%"
"    Natural resources, construction, and maintenance occupations","0.9%","0.4%","0.7%","0.7%","0.6%","0.5%","0.4%"
"    Production, transportation, and material moving occupations","5.7%","5.1%","3.7%","4.8%","6.9%","3.8%","13.1%"
"INDUSTRY","","","","","","",""
"    Civilian employed population 16 years and over","142,921,687","1,779,017","384,568","1,436,313","664,827","1,545,366","824,821"
"    Agriculture, forestry, fishing and hunting, and mining","2.0%","0.3%","1.2%","0.6%","0.3%","0.4%","0.8%"
"    Construction","6.2%","2.0%","2.6%","1.8%","2.6%","1.3%","2.2%"
"    Manufacturing","10.5%","11.6%","10.7%","8.5%","9.3%","11.7%","20.8%"
"    Wholesale trade","2.6%","3.6%","3.6%","1.8%","3.8%","2.0%","2.0%"
"    Retail trade","11.6%","8.2%","10.4%","10.7%","13.9%","11.9%","8.9%"
"    Transportation and warehousing, and utilities","4.9%","3.4%","5.1%","4.3%","3.1%","3.8%","2.6%"
"    Information","2.1%","2.6%","2.8%","1.9%","2.2%","2.8%","1.7%"
"    Finance and insurance, and real estate and rental and leasing","6.6%","8.9%","6.9%","5.9%","6.8%","8.9%","4.0%"
"    Professional, scientific, and management, and administrative and waste management services","10.9%","14.2%","14.8%","8.8%","12.0%","24.3%","8.8%"
"    Educational services, and health care and social assistance","23.2%","22.3%","22.8%","37.3%","22.1%","22.6%","14.4%"
"    Arts, entertainment, and recreation, and accommodation and food services","9.6%","15.6%","9.5%","10.3%","11.6%","5.7%","8.9%"
"    Other services (except public administration)","5.0%","3.8%","3.4%","3.8%","10.0%","2.1%","22.2%"
"    Public administration","4.9%","3.3%","6.2%","4.3%","2.3%","2.4%","2.8%"
"CLASS OF WORKER","","","","","","",""
"    Civilian employed population 16 years and over","142,921,687","1,779,017","384,568","1,436,313","664,827","1,545,366","824,821"
"    Private wage and salary workers","79.2%","81.7%","75.6%","82.9%","79.0%","86.5%","82.5%"
"    Government workers","14.5%","12.7%","17.3%","13.9%","10.0%","9.5%","8.3%"
"    Self-employed workers in own not incorporated business","6.1%","5.3%","7.0%","3.1%","10.2%","3.7%","8.8%"
"    Unpaid family workers","0.2%","0.3%","0.1%","0.1%","0.8%","0.3%","0.4%"
"INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","","","","","","",""
"    Households","115,969,540","1,221,206","335,113","745,666","506,211","977,213","464,437"
"    Median household income (dollars)","51,371","66,261","71,029","80,172","53,760","96,782","55,022"
"    With earnings","77.7%","84.0%","74.4%","90.5%","80.4%","94.6%","89.7%"
"        Mean earnings (dollars)","73,069","98,474","95,699","91,794","84,757","122,690","74,119"
"    With Social Security income","29.3%","17.6%","35.2%","23.6%","17.9%","10.9%","17.4%"
"        Mean Social Security income (dollars)","16,977","14,179","17,885","16,043","14,000","16,687","12,103"
"    With Supplemental Security Income","5.4%","4.9%","2.2%","5.3%","4.4%","2.6%","9.0%"
"        Mean Supplemental Security Income (dollars)","9,058","8,546","9,518","8,517","8,780","8,165","9,287"
"    With cash public assistance income","2.9%","2.0%","1.3%","2.4%","1.9%","1.0%","3.7%"
"        Mean cash public assistance income (dollars)","3,670","5,047","5,707","4,813","4,798","4,111","3,967"
"    With retirement income","18.0%","7.6%","23.8%","15.0%","5.6%","4.9%","6.2%"
"        Mean retirement income (dollars)","23,335","25,205","29,740","22,905","23,118","25,360","17,912"
"    With Food Stamp/SNAP benefits","13.6%","6.7%","2.8%","5.9%","5.6%","3.8%","14.6%"
"    Families","76,509,262","852,738","199,114","579,703","341,326","780,082","374,610"
"    Median family income (dollars)","62,527","80,591","93,892","86,770","66,488","103,642","58,693"
"        Married-couple family","72.9%","80.8%","79.4%","73.9%","81.4%","92.1%","74.4%"
"    Median income (dollars)","76,035","90,989","101,151","96,918","73,489","108,363","66,839"
"        Male householder, no spouse present, family","7.3%","6.4%","5.8%","6.2%","6.0%","3.1%","9.1%"
"    Median income (dollars)","42,588","55,764","74,784","64,540","49,671","70,300","47,935"
"        Female householder, no husband present, family","19.8%","12.8%","14.7%","19.9%","12.7%","4.8%","16.5%"
"    Median income (dollars)","30,486","47,415","51,506","57,312","38,969","49,434","35,212"
"    Individuals","313,914,040","3,660,659","780,210","2,658,354","1,450,401","3,049,201","1,675,246"
"    Per capita income (dollars)","27,319","32,792","41,571","29,277","28,858","41,249","21,961"
"    With earnings for full-time, year-round workers:","","","","","","",""
"        Male","57,209,198","681,323","151,721","481,128","258,721","782,531","308,311"
"        Female","42,779,194","580,696","118,772","565,958","212,391","388,354","264,341"
"        Mean earnings (dollars) for full-time, year-round workers:","","","","","","",""
"            Male","64,650","79,462","90,108","57,362","75,317","98,614","54,418"
"            Female","47,001","63,941","60,274","54,524","55,935","70,417","42,182"
"        Median earnings (dollars) full-time, year-round workers:","","","","","","",""
"            Male","47,473","61,217","70,032","45,724","51,795","81,345","41,114"
"            Female","37,412","50,771","50,248","44,717","42,206","60,321","32,080"
"HEALTH INSURANCE COVERAGE","","","","","","",""
"    Civilian noninstitutionalized population","308,896,460","3,647,410","772,709","2,633,488","1,438,985","3,043,503","1,665,077"
"    With private health insurance","65.1%","68.8%","84.7%","76.2%","61.6%","78.3%","56.5%"
"    With public coverage","31.1%","21.7%","27.1%","20.0%","18.3%","13.5%","27.7%"
"    No health insurance coverage","14.8%","14.0%","6.6%","11.7%","24.6%","11.6%","19.5%"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","",""
"    All families","11.8%","10.6%","4.4%","5.6%","11.6%","5.3%","14.0%"
"        With related children under 18 years","18.8%","11.2%","7.1%","7.4%","12.8%","6.0%","16.5%"
"            With related children under 5 years only","19.3%","9.4%","7.8%","9.3%","13.8%","4.3%","11.5%"
"    Married-couple family","5.8%","9.0%","2.6%","3.3%","9.1%","4.3%","11.1%"
"        With related children under 18 years","8.7%","8.4%","3.5%","3.6%","8.9%","5.0%","11.7%"
"            With related children under 5 years only","7.1%","7.0%","5.6%","5.2%","12.0%","3.5%","8.3%"
"    Female householder, no husband present, family","31.8%","18.6%","14.2%","13.3%","25.8%","18.2%","27.0%"
"        With related children under 18 years","41.5%","27.4%","27.3%","19.3%","37.1%","22.3%","36.7%"
"            With related children under 5 years only","48.0%","29.5%","30.0%","21.3%","36.5%","29.8%","22.9%"
"    All people","15.9%","15.4%","8.5%","7.1%","14.9%","8.1%","15.8%"
"    Under 18 years","22.6%","12.2%","7.6%","7.6%","12.5%","7.3%","17.7%"
"        Related children under 18 years","22.3%","11.5%","6.2%","7.3%","11.9%","7.3%","17.5%"
"            Related children under 5 years","25.6%","12.0%","7.8%","9.3%","14.8%","5.9%","14.3%"
"            Related children 5 to 17 years","21.0%","11.4%","5.7%","6.8%","10.9%","8.1%","18.5%"
"    18 years and over","13.9%","16.2%","8.6%","6.9%","15.5%","8.4%","15.2%"
"    18 to 64 years","14.8%","15.8%","9.5%","6.8%","14.6%","8.5%","14.7%"
"    65 years and over","9.5%","18.3%","6.3%","7.7%","20.6%","7.4%","18.5%"
"    People in families","13.4%","10.0%","3.7%","4.8%","9.8%","6.0%","13.1%"
"    Unrelated individuals 15 years and over","26.7%","40.9%","23.5%","23.1%","39.1%","25.8%","38.1%"
"HOUSING TENURE","","","","","","",""
"    Occupied housing units","115,969,540","1,221,206","335,113","745,666","506,211","977,213","464,437"
"    Owner-occupied housing units","63.9%","62.3%","65.3%","59.6%","45.9%","54.2%","64.1%"
"    Renter-occupied housing units","36.1%","37.7%","34.7%","40.4%","54.1%","45.8%","35.9%"
"    Average household size of owner-occupied unit","2.70","3.10","2.49","3.71","2.96","3.54","3.85"
"    Average household size of renter-occupied unit","2.53","2.46","2.01","3.09","2.39","2.59","2.98"
"UNITS IN STRUCTURE","","","","","","",""
"    Occupied housing units","115,969,540","1,221,206","335,113","745,666","506,211","977,213","464,437"
"    1-unit, detached or attached","68.8%","59.1%","66.1%","66.6%","49.6%","54.4%","73.2%"
"    2 to 4 units","7.9%","10.7%","5.5%","7.6%","8.5%","8.5%","6.7%"
"    5 or more units","17.3%","29.7%","27.2%","24.9%","41.1%","36.8%","17.6%"
"    Mobile home, boat, RV, van, etc.","6.0%","0.5%","1.2%","1.0%","0.9%","0.3%","2.5%"
"YEAR STRUCTURE BUILT","","","","","","",""
"    Occupied housing units","115,969,540","1,221,206","335,113","745,666","506,211","977,213","464,437"
"    Built 2010 or later","1.0%","1.2%","0.8%","1.1%","1.8%","2.3%","1.4%"
"    Built 2000 to 2009","14.9%","17.6%","13.7%","21.5%","22.5%","27.1%","22.8%"
"    Built 1980 to 1999","27.8%","28.1%","27.3%","29.8%","31.0%","32.7%","27.5%"
"    Built 1960 to 1979","26.9%","23.3%","32.9%","25.9%","24.8%","21.2%","27.2%"
