"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"    21 years and over","72.7%","77.2%","87.8%","79.3%","78.4%","73.1%","74.4%"
"    62 years and over","17.9%","16.0%","31.0%","17.9%","14.8%","10.1%","13.7%"
"    65 years and over","14.5%","12.5%","26.2%","14.3%","12.1%","7.8%","10.4%"
"    Under 18 years","73,577,423","707,447","72,628","471,854","248,991","834,764","365,219"
"        Male","51.1%","48.1%","49.3%","51.6%","51.9%","50.7%","51.2%"
"        Female","48.9%","51.9%","50.7%","48.4%","48.1%","49.3%","48.8%"
"    18 years and over","245,279,633","3,234,168","686,428","2,299,064","1,227,586","2,656,288","1,348,924"
"        Male","48.6%","46.4%","40.8%","42.7%","43.7%","51.9%","46.6%"
"        Female","51.4%","53.6%","59.2%","57.3%","56.3%","48.1%","53.4%"
"    18 to 34 years","74,877,108","1,084,585","126,609","645,456","410,343","1,040,802","410,127"
"        Male","50.8%","48.9%","44.3%","47.3%","49.1%","50.4%","46.4%"
"        Female","49.2%","51.1%","55.7%","52.7%","50.9%","49.6%","53.6%"
"    35 to 64 years","124,187,632","1,657,628","360,650","1,257,095","639,009","1,342,894","760,278"
"        Male","49.1%","45.1%","43.0%","41.7%","41.5%","53.0%","46.8%"
"        Female","50.9%","54.9%","57.0%","58.3%","58.5%","47.0%","53.2%"
"    65 years and over","46,214,893","491,955","199,169","396,513","178,234","272,592","178,519"
"        Male","44.0%","45.0%","34.7%","38.2%","39.2%","52.6%","46.4%"
"        Female","56.0%","55.0%","65.3%","61.8%","60.8%","47.4%","53.6%"
"RELATIONSHIP","","","","","","",""
"    Population in households","310,792,895","3,825,005","738,861","2,730,887","1,428,938","3,439,464","1,687,711"
"        Householder or spouse","55.8%","55.8%","72.1%","50.2%","60.0%","56.1%","47.4%"
"        Child","30.5%","25.1%","16.1%","27.3%","26.0%","29.9%","30.2%"
"        Other relatives","7.6%","11.4%","6.2%","16.1%","8.2%","9.7%","16.0%"
"        Nonrelatives","6.1%","7.8%","5.5%","6.5%","5.8%","4.3%","6.4%"
"            Unmarried partner","2.3%","1.2%","1.6%","1.6%","1.1%","0.3%","1.6%"
"HOUSEHOLDS BY TYPE","","","","","","",""
"    Households","117,259,427","1,343,171","325,918","780,094","518,743","1,112,680","493,660"
"        Family households","65.8%","68.4%","58.3%","78.2%","67.4%","79.8%","79.3%"
"            With own children under 18 years","28.2%","30.5%","19.6%","34.7%","28.2%","47.3%","39.5%"
"            Married-couple family","47.9%","55.6%","46.6%","59.2%","53.5%","73.3%","58.3%"
"                With own children under 18 years","18.9%","26.2%","16.4%","27.7%","23.9%","44.6%","31.4%"
"            Female householder, no husband present, family","13.0%","8.6%","8.5%","14.0%","9.9%","3.8%","14.0%"
"                With own children under 18 years","7.0%","3.3%","2.6%","5.5%","3.5%","1.9%","6.1%"
"        Nonfamily households","34.2%","31.6%","41.7%","21.8%","32.6%","20.2%","20.7%"
"            Male householder","16.0%","15.1%","17.8%","9.0%","13.5%","13.2%","10.6%"
"                Living alone","12.4%","10.5%","15.2%","6.5%","10.0%","9.4%","7.2%"
"                Not living alone","3.6%","4.7%","2.6%","2.5%","3.5%","3.8%","3.4%"
"            Female householder","18.2%","16.4%","23.9%","12.8%","19.1%","7.0%","10.1%"
"                Living alone","15.4%","12.6%","21.4%","9.9%","15.3%","5.4%","7.5%"
"                Not living alone","2.8%","3.8%","2.6%","2.9%","3.7%","1.6%","2.5%"
"    Average household size","2.65","2.81","2.26","3.44","2.63","3.12","3.43"
"    Average family size","3.26","3.34","2.99","3.86","3.20","3.50","3.80"
"MARITAL STATUS","","","","","","",""
"    Population 15 years and over","257,770,670","3,360,566","698,609","2,396,017","1,279,370","2,759,217","1,416,745"
"        Now married, except separated","47.7%","56.6%","56.0%","55.2%","55.1%","69.2%","52.6%"
"        Widowed","5.9%","4.3%","9.6%","5.8%","4.6%","3.1%","4.5%"
"        Divorced","11.0%","5.0%","8.8%","6.5%","5.5%","2.8%","7.1%"
"        Separated","2.1%","1.0%","1.4%","1.7%","1.3%","0.8%","1.6%"
"        Never married","33.3%","33.1%","24.3%","30.7%","33.6%","24.1%","34.2%"
"    Male 15 years and over","125,664,923","1,559,992","286,079","1,032,183","564,070","1,430,324","665,154"
"        Now married, except separated","49.5%","57.5%","56.6%","55.3%","54.8%","68.5%","53.4%"
"        Widowed","2.6%","1.4%","3.9%","1.7%","1.1%","1.0%","1.8%"
"        Divorced","9.7%","3.5%","7.4%","4.8%","3.5%","2.6%","5.6%"
"        Separated","1.8%","0.8%","1.4%","1.2%","1.1%","0.7%","1.5%"
"        Never married","36.5%","36.7%","30.8%","37.0%","39.6%","27.2%","37.7%"
"    Female 15 years and over","132,105,747","1,800,574","412,530","1,363,834","715,300","1,328,893","751,591"
"        Now married, except separated","46.1%","55.7%","55.6%","55.1%","55.3%","69.9%","52.0%"
"        Widowed","9.0%","6.8%","13.5%","8.9%","7.3%","5.2%","6.8%"
"        Divorced","12.3%","6.3%","9.8%","7.8%","7.1%","3.1%","8.5%"
"        Separated","2.4%","1.2%","1.3%","2.2%","1.4%","0.9%","1.7%"
"        Never married","30.2%","30.0%","19.7%","26.0%","28.8%","20.9%","31.1%"
"SCHOOL ENROLLMENT","","","","","","",""
"    Population 3 years and over enrolled in school","82,063,714","1,142,575","116,097","655,648","431,764","958,444","498,199"
"        Nursery school, preschool","6.0%","4.4%","5.8%","3.6%","4.3%","8.8%","3.3%"
"        Kindergarten","5.1%","3.2%","3.2%","3.3%","3.3%","6.0%","4.5%"
"        Elementary school (grades 1-8)","40.2%","28.7%","26.2%","33.3%","26.2%","36.6%","35.5%"
"        High school (grades 9-12)","20.7%","15.1%","15.4%","19.9%","16.9%","14.1%","19.0%"
"        College or graduate school","28.0%","48.5%","49.5%","39.9%","49.3%","34.5%","37.8%"
"    Male 3 years and over enrolled in school","40,632,872","555,348","53,125","327,577","220,603","488,147","248,246"
"        Percent enrolled in kindergarten to grade 12","68.4%","45.9%","47.1%","58.7%","47.8%","55.2%","60.8%"
"        Percent enrolled in college or graduate school","25.3%","49.6%","47.1%","37.5%","47.3%","35.4%","35.8%"
"    Female 3 years and over enrolled in school","41,430,842","587,227","62,972","328,071","211,161","470,297","249,953"
"        Percent enrolled in kindergarten to grade 12","63.7%","48.2%","42.8%","54.5%","44.8%","58.2%","57.0%"
"        Percent enrolled in college or graduate school","30.7%","47.5%","51.5%","42.3%","51.4%","33.6%","39.8%"
"EDUCATIONAL ATTAINMENT","","","","","","",""
"    Population 25 years and over","213,725,624","2,768,031","642,136","2,051,926","1,063,691","2,382,971","1,180,974"
"        Less than high school diploma","13.1%","17.5%","4.6%","7.1%","7.2%","8.4%","26.7%"
"        High school graduate (includes equivalency)","27.7%","15.0%","19.2%","15.1%","18.2%","9.1%","21.4%"
"        Some college or associate's degree","29.1%","14.1%","26.2%","30.1%","20.2%","9.9%","23.5%"
"        Bachelor's degree","18.7%","26.3%","32.9%","38.7%","34.8%","32.5%","19.8%"
"        Graduate or professional degree","11.4%","27.1%","17.1%","9.0%","19.6%","40.0%","8.6%"
"    High school graduate or higher","86.9%","82.5%","95.4%","92.9%","92.8%","91.6%","73.3%"
"        Male, high school graduate or higher","86.2%","83.6%","97.0%","93.8%","95.9%","93.8%","76.0%"
"        Female, high school graduate or higher","87.5%","81.5%","94.4%","92.2%","90.4%","89.2%","70.9%"
"    Bachelor's degree or higher","30.1%","53.4%","50.1%","47.7%","54.4%","72.5%","28.4%"
"        Male, bachelor's degree or higher","29.9%","55.8%","56.4%","43.6%","59.2%","76.5%","30.2%"
"        Female, bachelor's degree or higher","30.2%","51.3%","45.7%","50.6%","50.8%","68.3%","26.8%"
"FERTILITY","","","","","","",""
"    Women 15 to 50 years","76,395,472","1,136,455","187,130","792,361","451,195","998,699","501,902"
"        Women 15 to 50 years who had a birth in the past 12 months","3,946,228","47,955","7,795","38,994","16,670","67,094","21,403"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","1,411,349","3,357","584","8,262","1,791","2,222","4,316"
"                As a percent of all women with a birth in the past 12 months","35.8%","7.0%","7.5%","21.2%","10.7%","3.3%","20.2%"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","","","","",""
"    Population 30 years and over","191,886,440","2,437,700","606,417","1,854,588","939,484","2,042,720","1,060,142"
"        Living with grandchild(ren)","3.8%","5.5%","2.7%","7.7%","2.7%","6.5%","6.1%"
"            Responsible for grandchild(ren)","36.4%","17.1%","21.4%","14.6%","15.6%","9.9%","15.0%"
"VETERAN STATUS","","","","","","",""
"    Civilian population 18 years and over","244,298,660","3,229,369","684,275","2,284,552","1,222,735","2,654,999","1,346,001"
"        Civilian veteran","7.9%","1.3%","6.8%","4.5%","2.4%","0.7%","1.7%"
"DISABILITY STATUS","","","","","","",""
"    Total civilian noninstitutionalized population","313,890,422","3,927,354","751,256","2,747,921","1,465,416","3,485,049","1,704,194"
"        With a disability","12.6%","6.1%","11.9%","8.6%","6.2%","5.0%","7.9%"
"    Civilian noninstitutionalized population under 18 years","73,440,273","707,381","72,628","471,677","248,896","834,679","365,209"
"        With a disability","4.2%","2.0%","2.6%","2.3%","2.3%","1.7%","2.1%"
"    Civilian noninstitutionalized population 18 to 64 years","195,537,213","2,734,577","483,982","1,883,157","1,042,177","2,379,558","1,162,642"
"        With a disability","10.5%","3.1%","5.1%","5.3%","4.1%","3.5%","5.7%"
"    Civilian noninstitutionalized population 65 years and older","44,912,936","485,396","194,646","393,087","174,343","270,812","176,343"
"        With a disability","36.0%","29.0%","32.1%","32.3%","24.5%","28.6%","34.8%"
"RESIDENCE 1 YEAR AGO","","","","","","",""
"    Population 1 year and over","315,095,393","3,909,827","755,345","2,752,987","1,466,828","3,437,652","1,701,859"
"        Same house","85.1%","82.8%","86.2%","87.3%","81.7%","79.2%","88.1%"
"        Different house in the U.S.","14.3%","12.9%","9.9%","11.1%","15.7%","15.9%","10.6%"
"            Same county","8.7%","7.5%","6.1%","7.7%","9.2%","8.5%","6.9%"
"            Different county","5.6%","5.4%","3.8%","3.4%","6.5%","7.4%","3.7%"
"                Same state","3.3%","2.9%","2.1%","1.8%","3.7%","3.1%","2.0%"
"                Different state","2.3%","2.5%","1.7%","1.6%","2.8%","4.3%","1.7%"
"        Abroad","0.6%","4.3%","3.9%","1.6%","2.7%","4.9%","1.3%"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","","","","","","",""
"    Native","276,465,262","1,200,016","443,939","954,422","414,515","1,014,708","550,190"
"        Male","49.3%","51.7%","48.3%","51.1%","49.9%","50.8%","50.8%"
"        Female","50.7%","48.3%","51.7%","48.9%","50.1%","49.2%","49.2%"
"    Foreign born","42,391,794","2,741,599","315,117","1,816,496","1,062,062","2,476,344","1,163,953"
"        Male","48.7%","44.5%","32.2%","40.6%","43.2%","52.0%","46.0%"
"        Female","51.3%","55.5%","67.8%","59.4%","56.8%","48.0%","54.0%"
"    Foreign born; naturalized U.S. citizen","19,984,738","1,562,160","97,700","1,234,621","633,478","1,217,783","874,545"
"        Male","45.9%","42.6%","25.5%","40.2%","41.4%","51.0%","47.3%"
"        Female","54.1%","57.4%","74.5%","59.8%","58.6%","49.0%","52.7%"
"    Foreign born; not a U.S. citizen","22,407,056","1,179,439","217,417","581,875","428,584","1,258,561","289,408"
"        Male","51.2%","47.0%","35.3%","41.2%","45.9%","52.9%","42.2%"
"        Female","48.8%","53.0%","64.7%","58.8%","54.1%","47.1%","57.8%"
"    Population born outside the United States","42,391,794","2,741,599","315,117","1,816,496","1,062,062","2,476,344","1,163,953"
"        Entered 2010 or later","12.3%","19.5%","24.3%","11.0%","11.8%","22.4%","10.4%"
"        Entered 2000 to 2009","28.6%","26.1%","19.1%","28.1%","24.4%","33.9%","20.4%"
"        Entered before 2000","59.1%","54.4%","56.5%","60.9%","63.8%","43.7%","69.2%"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","",""
"    Foreign-born population excluding population born at sea","42,390,705","2,741,599","315,117","1,816,496","1,062,062","2,476,344","1,163,885"
"        Europe","11.2%","0.3%","0.3%","0.2%","0.3%","1.1%","0.2%"
"        Asia","30.1%","97.9%","96.7%","99.2%","98.8%","92.0%","99.2%"
"        Africa","4.6%","0.1%","0.0%","0.1%","0.3%","1.8%","0.1%"
"        Oceania","0.6%","0.2%","0.1%","0.1%","0.0%","0.5%","0.1%"
"        Latin America","51.6%","0.9%","2.4%","0.3%","0.5%","3.9%","0.2%"
"        Northern America","1.9%","0.7%","0.4%","0.2%","0.2%","0.7%","0.2%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","",""
"    Population 5 years and over","299,084,046","3,767,401","737,500","2,666,069","1,423,105","3,210,919","1,640,253"
"        English only","78.9%","19.5%","56.5%","34.3%","23.8%","22.5%","14.3%"
"        Language other than English","21.1%","80.5%","43.5%","65.7%","76.2%","77.5%","85.7%"
"            Speak English less than ""very well""","8.6%","45.6%","23.5%","21.9%","42.5%","20.9%","51.4%"
"EMPLOYMENT STATUS","","","","","","",""
"    Population 16 years and over","253,588,947","3,321,532","695,193","2,365,803","1,262,903","2,725,669","1,396,537"
"        In labor force","63.3%","61.2%","55.4%","69.3%","60.2%","68.1%","66.3%"
"            Civilian labor force","62.9%","61.1%","55.1%","68.7%","59.8%","68.0%","66.1%"
"                Employed","58.4%","57.7%","53.2%","64.9%","56.5%","64.5%","62.6%"
"                Unemployed","4.5%","3.4%","1.9%","3.9%","3.3%","3.5%","3.5%"
"                    Percent of civilian labor force","7.2%","5.5%","3.5%","5.6%","5.6%","5.2%","5.3%"
"            Armed Forces","0.4%","0.1%","0.3%","0.6%","0.4%","0.0%","0.2%"
"        Not in labor force","36.7%","38.8%","44.6%","30.7%","39.8%","31.9%","33.7%"
"    Females 16 years and over","130,068,058","1,778,933","410,580","1,350,110","707,073","1,311,497","742,566"
"        In labor force","58.2%","57.4%","47.9%","66.8%","53.5%","55.0%","63.5%"
"            Civilian labor force","58.1%","57.4%","47.9%","66.7%","53.3%","55.0%","63.5%"
"                Employed","54.0%","54.5%","46.0%","63.4%","50.1%","51.0%","60.5%"
"                Unemployed","4.1%","2.9%","1.9%","3.2%","3.1%","4.0%","3.0%"
"                    Percent of civilian labor force","7.1%","5.0%","3.9%","4.9%","5.9%","7.2%","4.8%"
"COMMUTING TO WORK","","","","","","",""
"    Workers 16 years and over","145,870,653","1,868,212","362,205","1,509,805","702,475","1,720,288","856,120"
"        Car, truck, or van - drove alone","76.5%","58.1%","69.9%","70.0%","69.7%","66.5%","73.8%"
"        Car, truck, or van - carpooled","9.2%","12.2%","9.4%","13.7%","12.1%","10.9%","16.5%"
"        Public transportation (excluding taxicab)","5.2%","17.3%","9.5%","8.8%","8.4%","11.8%","3.7%"
"        Walked","2.7%","6.1%","3.8%","2.5%","3.9%","3.9%","1.9%"
"        Other means","1.9%","1.8%","2.3%","1.6%","1.7%","2.0%","1.4%"
"        Worked at home","4.5%","4.5%","5.2%","3.4%","4.2%","4.8%","2.8%"
"        Mean travel time to work (minutes)","26.0","31.4","28.2","29.0","29.0","29.9","26.6"
"OCCUPATION","","","","","","",""
"    Civilian employed population 16 years and over","148,019,908","1,917,852","369,696","1,534,920","713,134","1,758,057","873,883"
"        Management, business, science, and arts occupations","36.9%","54.9%","55.8%","43.6%","49.7%","68.9%","32.6%"
"        Service occupations","18.2%","17.7%","12.8%","21.3%","14.1%","7.1%","30.7%"
"        Sales and office occupations","23.7%","18.4%","22.7%","22.8%","25.2%","16.6%","15.6%"
"        Natural resources, construction, and maintenance occupations","8.9%","2.5%","3.6%","3.6%","3.1%","1.5%","4.4%"
"        Production, transportation, and material moving occupations","12.3%","6.5%","5.1%","8.6%","7.8%","5.9%","16.6%"
"    Male civilian employed population 16 years and over","77,776,139","948,444","180,859","678,690","358,646","1,088,821","424,910"
"        Management, business, science, and arts occupations","33.3%","56.1%","57.9%","40.2%","50.0%","71.1%","35.3%"
"        Service occupations","15.1%","16.9%","11.6%","19.9%","10.5%","4.8%","20.4%"
"        Sales and office occupations","17.2%","14.0%","17.0%","18.6%","24.3%","14.5%","13.0%"
"        Natural resources, construction, and maintenance occupations","16.1%","4.7%","6.9%","7.4%","5.6%","2.2%","8.5%"
"        Production, transportation, and material moving occupations","18.2%","8.2%","6.6%","13.9%","9.6%","7.4%","22.8%"
"    Female civilian employed population 16 years and over","70,243,769","969,408","188,837","856,230","354,488","669,236","448,973"
"        Management, business, science, and arts occupations","40.8%","53.6%","53.8%","46.4%","49.5%","65.4%","30.1%"
"        Service occupations","21.6%","18.5%","13.9%","22.3%","17.8%","10.8%","40.4%"
"        Sales and office occupations","31.0%","22.6%","28.2%","26.2%","26.1%","19.9%","18.2%"
"        Natural resources, construction, and maintenance occupations","0.9%","0.3%","0.4%","0.6%","0.6%","0.4%","0.5%"
"        Production, transportation, and material moving occupations","5.7%","4.9%","3.6%","4.5%","6.0%","3.4%","10.7%"
"INDUSTRY","","","","","","",""
"    Civilian employed population 16 years and over","148,019,908","1,917,852","369,696","1,534,920","713,134","1,758,057","873,883"
"        Agriculture, forestry, fishing and hunting, and mining","2.0%","0.5%","0.6%","0.5%","0.3%","0.5%","1.0%"
"        Construction","6.3%","1.9%","2.6%","1.9%","2.4%","1.1%","2.2%"
"        Manufacturing","10.3%","11.2%","11.0%","8.5%","8.8%","10.5%","19.3%"
"        Wholesale trade","2.7%","3.6%","4.5%","1.8%","4.7%","2.3%","1.7%"
"        Retail trade","11.5%","7.7%","8.4%","11.1%","13.4%","11.2%","8.3%"
"        Transportation and warehousing, and utilities","5.0%","3.7%","5.1%","4.2%","3.4%","3.9%","3.2%"
"        Information","2.2%","3.0%","3.4%","1.9%","2.6%","4.1%","1.9%"
"        Finance and insurance, and real estate and rental and leasing","6.5%","8.4%","7.6%","6.0%","6.5%","8.9%","4.6%"
"        Professional, scientific, and management, and administrative and waste management services","11.1%","14.2%","14.4%","8.8%","13.5%","25.1%","8.4%"
"        Educational services, and health care and social assistance","23.0%","23.1%","22.4%","36.5%","21.0%","22.1%","15.2%"
"        Arts, entertainment, and recreation, and accommodation and food services","9.8%","15.6%","10.2%","10.7%","11.2%","5.8%","9.4%"
"        Other services (except public administration)","4.9%","3.9%","4.8%","4.0%","9.7%","2.2%","22.0%"
"        Public administration","4.7%","3.3%","5.0%","4.1%","2.5%","2.3%","2.7%"
"CLASS OF WORKER","","","","","","",""
"    Civilian employed population 16 years and over","148,019,908","1,917,852","369,696","1,534,920","713,134","1,758,057","873,883"
"        Private wage and salary workers","80.0%","81.9%","76.7%","83.4%","80.2%","87.4%","83.2%"
"        Government workers","13.9%","12.6%","15.8%","13.4%","9.3%","8.9%","8.6%"
"        Self-employed workers in own not incorporated business","6.0%","5.3%","7.2%","3.1%","10.0%","3.5%","8.0%"
"        Unpaid family workers","0.2%","0.2%","0.2%","0.1%","0.5%","0.2%","0.3%"
"INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","","","","","","",""
"    Households","117,259,427","1,343,171","325,918","780,094","518,743","1,112,680","493,660"
"        Median household income (dollars)","53,657","69,586","70,261","82,389","58,573","101,591","59,405"
"    With earnings","77.6%","82.3%","72.7%","90.2%","81.3%","94.4%","88.9%"
"        Mean earnings (dollars)","77,468","105,142","98,542","97,407","92,438","132,044","82,067"
"    With Social Security income","30.3%","18.8%","35.1%","26.1%","19.2%","11.6%","19.0%"
"        Mean Social Security income (dollars)","17,907","15,276","19,156","17,613","14,956","18,025","12,739"
"    With Supplemental Security Income","5.4%","5.2%","2.2%","5.4%","4.6%","2.8%","9.4%"
"        Mean Supplemental Security Income (dollars)","9,399","8,590","9,585","8,652","8,021","8,464","9,012"
"    With cash public assistance income","2.7%","2.2%","0.8%","2.4%","1.8%","1.3%","3.5%"
"        Mean cash public assistance income (dollars)","3,150","3,761","5,054","3,454","3,616","3,560","3,105"
"    With retirement income","18.1%","8.0%","24.3%","15.8%","6.1%","5.1%","6.3%"
"        Mean retirement income (dollars)","24,211","27,836","30,866","23,492","23,028","26,559","17,875"
"    With Food Stamp/SNAP benefits","13.2%","6.7%","2.5%","6.8%","5.8%","4.6%","13.0%"
"    Families","77,152,072","919,337","189,901","610,366","349,651","888,116","391,646"
"        Median family income (dollars)","65,910","84,996","95,396","90,551","71,664","111,383","63,439"
"            Married-couple family","72.7%","81.3%","79.9%","75.6%","79.4%","91.8%","73.5%"
"        Median income (dollars)","80,036","95,835","102,113","99,987","80,654","116,829","71,041"
"            Male householder, no spouse present, family","7.5%","6.1%","5.5%","6.5%","5.9%","3.4%","8.9%"
"        Median income (dollars)","45,426","57,324","82,274","68,769","55,979","68,356","56,968"
"            Female householder, no husband present, family","19.8%","12.6%","14.6%","17.9%","14.7%","4.8%","17.6%"
"        Median income (dollars)","32,087","50,826","59,772","57,966","42,054","51,062","40,547"
"    Individuals","318,857,056","3,941,615","759,056","2,770,918","1,476,577","3,491,052","1,714,143"
"        Per capita income (dollars)","28,889","35,235","43,132","31,289","31,790","44,098","24,624"
"    With earnings for full-time, year-round workers:","","","","","","",""
"        Male","59,598,671","710,474","146,468","516,116","273,714","884,965","324,749"
"        Female","44,178,941","626,032","121,041","596,311","228,541","444,303","287,343"
"    Mean earnings (dollars) for full-time, year-round workers:","","","","","","",""
"        Male","66,829","84,774","91,126","60,848","76,463","105,004","58,346"
"        Female","49,172","69,705","62,885","55,689","59,397","75,337","46,987"
"    Median earnings (dollars) full-time, year-round workers:","","","","","","",""
"        Male","48,745","62,499","67,715","47,971","53,561","85,913","45,746"
"        Female","38,941","52,598","51,355","45,683","45,334","63,483","34,329"
"HEALTH INSURANCE COVERAGE","","","","","","",""
"    Civilian noninstitutionalized population","313,890,422","3,927,354","751,256","2,747,921","1,465,416","3,485,049","1,704,194"
"        With private health insurance","66.4%","70.4%","83.4%","76.6%","67.1%","81.1%","61.2%"
"        With public coverage","33.2%","24.7%","30.1%","23.1%","21.4%","15.3%","30.6%"
"        No health insurance coverage","11.7%","10.1%","5.2%","8.9%","16.6%","7.4%","12.6%"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","",""
"    All families","11.3%","10.6%","3.8%","5.1%","10.1%","4.7%","12.8%"
"        With related children under 18 years","18.0%","10.9%","5.4%","6.2%","11.1%","4.8%","14.2%"
"            With related children under 5 years only","17.5%","9.3%","5.4%","5.1%","10.1%","3.3%","13.8%"
"        Married-couple family","5.6%","8.8%","2.6%","2.9%","7.7%","3.7%","10.0%"
"            With related children under 18 years","8.2%","8.0%","2.9%","2.9%","7.5%","3.8%","9.8%"
"                With related children under 5 years only","6.5%","8.2%","4.5%","2.6%","8.7%","2.7%","6.6%"
"        Female householder, no husband present, family","30.5%","21.1%","9.2%","13.5%","22.0%","18.1%","24.6%"
"            With related children under 18 years","40.6%","28.5%","17.4%","19.4%","31.6%","20.6%","32.0%"
"                With related children under 5 years only","45.4%","23.5%","11.8%","15.7%","25.0%","17.6%","40.7%"
"    All people","15.5%","15.8%","8.5%","6.7%","14.1%","7.3%","14.9%"
"        Under 18 years","21.7%","11.8%","7.4%","6.5%","11.9%","5.9%","15.6%"
"            Related children under 18 years","21.3%","10.8%","6.8%","6.2%","11.2%","5.8%","15.1%"
"                Related children under 5 years","23.9%","11.7%","10.5%","6.6%","13.7%","5.1%","16.5%"
"                Related children 5 to 17 years","20.4%","10.5%","5.2%","6.1%","10.5%","6.1%","14.8%"
"        18 years and over","13.6%","16.7%","8.6%","6.8%","14.5%","7.8%","14.7%"
"        18 to 64 years","14.6%","16.4%","9.4%","6.6%","13.5%","7.9%","14.0%"
"        65 years and over","9.5%","18.4%","6.7%","7.7%","20.3%","6.7%","19.3%"
"        People in families","12.8%","9.7%","3.9%","4.2%","8.8%","5.0%","11.6%"
"        Unrelated individuals 15 years and over","27.1%","42.1%","22.7%","23.8%","38.5%","26.1%","38.4%"
"HOUSING TENURE","","","","","","",""
"    Occupied housing units","117,259,427","1,343,171","325,918","780,094","518,743","1,112,680","493,660"
"        Owner-occupied housing units","63.1%","62.4%","64.3%","60.4%","47.3%","54.8%","64.1%"
"        Renter-occupied housing units","36.9%","37.6%","35.7%","39.6%","52.7%","45.2%","35.9%"
"    Average household size of owner-occupied unit","2.71","3.05","2.39","3.67","2.96","3.48","3.74"
"    Average household size of renter-occupied unit","2.55","2.42","2.03","3.09","2.34","2.69","2.86"
"UNITS IN STRUCTURE","","","","","","",""
"    Occupied housing units","117,259,427","1,343,171","325,918","780,094","518,743","1,112,680","493,660"
"        1-unit, detached or attached","68.6%","58.7%","64.6%","67.3%","50.6%","55.5%","72.6%"
"        2 to 4 units","8.0%","10.4%","6.3%","7.3%","8.1%","8.4%","7.0%"
"        5 or more units","17.6%","30.4%","28.1%","24.1%","40.4%","35.9%","17.5%"
"        Mobile home, boat, RV, van, etc.","5.8%","0.5%","1.0%","1.3%","0.9%","0.2%","2.9%"
"YEAR STRUCTURE BUILT","","","","","","",""
"    Occupied housing units","117,259,427","1,343,171","325,918","780,094","518,743","1,112,680","493,660"
"        Built 2010 or later","2.2%","3.2%","2.1%","2.8%","3.5%","5.4%","2.9%"
"        Built 2000 to 2009","14.6%","16.3%","12.3%","19.5%","21.1%","26.1%","21.2%"
"        Built 1980 to 1999","27.8%","28.0%","27.9%","30.5%","31.0%","33.5%","28.5%"
