"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"        Average family size","3.23","3.20","2.94","3.69","3.09","3.39","3.75"
"MARITAL STATUS","","","","","","",""
"    Population 15 years and over","267,720,772","3,833,591","695,601","2,639,149","1,282,419","3,392,925","1,607,449"
"        Now married, except separated","47.6%","56.7%","57.1%","55.4%","56.4%","68.1%","53.4%"
"        Widowed","5.7%","4.3%","8.3%","6.0%","4.8%","3.2%","4.4%"
"        Divorced","10.9%","5.1%","9.0%","6.5%","6.2%","3.0%","6.9%"
"        Separated","1.8%","1.0%","0.8%","1.6%","1.3%","0.6%","1.4%"
"        Never married","33.9%","33.0%","24.8%","30.6%","31.4%","25.1%","33.9%"
"    Male 15 years and over","130,629,205","1,758,873","291,045","1,120,716","559,286","1,758,832","760,556"
"        Now married, except separated","49.1%","57.6%","56.2%","53.8%","56.3%","67.3%","54.3%"
"        Widowed","2.7%","1.7%","2.9%","2.0%","1.4%","1.2%","1.5%"
"        Divorced","9.6%","3.6%","7.6%","4.9%","3.8%","2.7%","5.2%"
"        Separated","1.6%","0.7%","0.9%","1.2%","1.1%","0.6%","1.2%"
"        Never married","37.1%","36.4%","32.4%","38.1%","37.5%","28.2%","37.8%"
"    Female 15 years and over","137,091,567","2,074,718","404,556","1,518,433","723,133","1,634,093","846,893"
"        Now married, except separated","46.3%","55.9%","57.8%","56.6%","56.5%","69.0%","52.7%"
"        Widowed","8.6%","6.5%","12.1%","8.9%","7.4%","5.2%","7.0%"
"        Divorced","12.2%","6.3%","10.0%","7.6%","8.1%","3.4%","8.4%"
"        Separated","2.0%","1.2%","0.8%","1.8%","1.5%","0.7%","1.5%"
"        Never married","30.8%","30.2%","19.3%","25.1%","26.7%","21.7%","30.4%"
"SCHOOL ENROLLMENT","","","","","","",""
"    Population 3 years and over enrolled in school","80,465,620","1,184,337","113,959","639,374","353,263","1,137,544","506,903"
"        Nursery school, preschool","6.3%","5.0%","6.1%","3.4%","5.1%","7.7%","3.3%"
"        Kindergarten","5.0%","3.4%","3.9%","3.6%","3.3%","5.7%","3.5%"
"        Elementary school (grades 1-8)","40.6%","26.4%","26.8%","31.0%","29.3%","39.2%","32.1%"
"        High school (grades 9-12)","21.0%","16.9%","15.3%","19.6%","17.1%","15.6%","21.2%"
"        College or graduate school","27.1%","48.3%","48.0%","42.4%","45.2%","31.9%","39.9%"
"        Male 3 years and over enrolled in school","39,768,581","581,714","54,013","316,369","178,768","587,291","253,568"
"            Percent enrolled in kindergarten to grade 12","69.1%","46.6%","47.4%","56.9%","51.2%","60.6%","56.6%"
"            Percent enrolled in college or graduate school","24.4%","48.2%","45.4%","39.7%","43.8%","31.8%","40.5%"
"        Female 3 years and over enrolled in school","40,697,039","602,623","59,946","323,005","174,495","550,253","253,335"
"            Percent enrolled in kindergarten to grade 12","64.2%","46.8%","44.6%","51.5%","48.1%","60.2%","57.1%"
"            Percent enrolled in college or graduate school","29.8%","48.4%","50.4%","45.0%","46.7%","32.0%","39.3%"
"EDUCATIONAL ATTAINMENT","","","","","","",""
"    Population 25 years and over","224,898,568","3,204,976","641,553","2,286,542","1,115,083","2,957,070","1,339,041"
"        Less than high school diploma","11.4%","15.4%","3.9%","6.5%","6.7%","7.3%","24.5%"
"        High school graduate (includes equivalency)","26.9%","13.8%","18.0%","15.1%","16.0%","7.7%","21.2%"
"        Some college or associate's degree","28.6%","13.1%","24.4%","28.5%","18.4%","9.2%","22.3%"
"        Bachelor's degree","20.3%","27.6%","34.4%","39.7%","35.5%","31.9%","22.1%"
"        Graduate or professional degree","12.8%","30.1%","19.3%","10.1%","23.4%","43.8%","9.9%"
"        High school graduate or higher","88.6%","84.6%","96.1%","93.5%","93.3%","92.7%","75.5%"
"            Male, high school graduate or higher","88.0%","85.4%","97.4%","94.3%","95.7%","94.3%","78.8%"
"            Female, high school graduate or higher","89.2%","83.9%","95.2%","92.9%","91.5%","90.9%","72.6%"
"        Bachelor's degree or higher","33.1%","57.7%","53.7%","49.8%","58.9%","75.7%","32.0%"
"            Male, bachelor's degree or higher","32.3%","59.5%","58.6%","46.0%","63.7%","78.5%","33.4%"
"            Female, bachelor's degree or higher","33.9%","56.2%","50.3%","52.5%","55.3%","72.7%","30.8%"
"FERTILITY","","","","","","",""
"    Women 15 to 50 years","76,879,571","1,263,987","170,942","838,449","420,906","1,210,461","524,650"
"        Women 15 to 50 years who had a birth in the past 12 months","3,877,882","49,418","7,159","37,396","16,519","74,198","21,000"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","1,271,041","3,360","542","6,590","1,758","2,318","3,055"
"                As a percent of all women with a birth in the past 12 months","32.8%","6.8%","7.6%","17.6%","10.6%","3.1%","14.5%"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","","","","",""
"    Population 30 years and over","201,665,269","2,833,407","608,410","2,073,181","1,000,254","2,573,510","1,201,881"
"        Grandparents living with grandchild(ren)","3.5%","4.6%","2.2%","6.3%","2.6%","5.3%","6.3%"
"            Grandparents responsible for grandchildren as a percentage of living with grandchildren","33.1%","16.0%","14.2%","13.5%","24.1%","10.4%","13.5%"
"VETERAN STATUS","","","","","","",""
"    Civilian population 18 years and over","254,046,196","3,680,931","681,508","2,526,556","1,232,933","3,261,606","1,523,360"
"        Civilian veteran","6.9%","1.1%","6.0%","4.3%","2.7%","0.8%","1.7%"
"DISABILITY STATUS","","","","","","",""
"    Total civilian noninstitutionalized population","323,120,678","4,387,930","750,249","2,951,330","1,447,485","4,232,927","1,862,292"
"        With a disability","12.7%","6.7%","11.9%","9.5%","6.6%","4.9%","8.6%"
"    Civilian noninstitutionalized population under 18 years","72,835,047","717,247","72,518","433,905","221,760","976,688","346,903"
"        With a disability","4.3%","2.3%","0.9%","2.7%","1.8%","1.9%","3.0%"
"    Civilian noninstitutionalized population 18 to 64 years","197,503,214","3,006,687","457,996","2,017,034","1,005,495","2,880,329","1,266,885"
"        With a disability","10.3%","3.4%","4.9%","5.7%","4.1%","3.0%","5.4%"
"    Civilian noninstitutionalized population 65 years and older","52,782,417","663,996","219,735","500,391","220,230","375,910","248,504"
"        With a disability","33.5%","26.4%","30.2%","31.1%","22.5%","27.2%","32.5%"
"RESIDENCE 1 YEAR AGO","","","","","","",""
"    Population 1 year and over","324,665,523","4,374,687","753,013","2,969,015","1,455,362","4,187,821","1,865,935"
"        Same house","86.3%","84.5%","87.3%","87.9%","82.6%","81.7%","88.7%"
"        Different house in the U.S.","13.1%","12.0%","9.0%","10.6%","15.2%","15.0%","9.8%"
"            Same county","7.5%","6.6%","5.3%","6.4%","8.5%","8.2%","6.2%"
"            Different county","5.5%","5.3%","3.7%","4.2%","6.7%","6.8%","3.6%"
"                Same state","3.2%","2.7%","1.9%","2.1%","3.6%","2.9%","2.2%"
"                Different state","2.3%","2.6%","1.9%","2.1%","3.1%","3.8%","1.5%"
"        Abroad","0.6%","3.5%","3.7%","1.4%","2.1%","3.3%","1.5%"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","","","","","","",""
"    Native","283,306,622","1,368,186","443,135","1,057,994","448,714","1,233,315","616,538"
"        Male","49.4%","52.0%","49.5%","51.0%","51.6%","50.7%","51.7%"
"        Female","50.6%","48.0%","50.5%","49.0%","48.4%","49.3%","48.3%"
"    Foreign born","44,932,901","3,036,492","312,537","1,925,602","1,013,129","3,007,151","1,257,169"
"        Male","48.2%","44.1%","33.1%","39.2%","41.8%","52.2%","45.8%"
"        Female","51.8%","55.9%","66.9%","60.8%","58.2%","47.8%","54.2%"
"        Foreign born; naturalized U.S. citizen","23,182,917","1,753,653","94,936","1,381,379","667,376","1,494,481","941,212"
"            Male","45.8%","42.2%","29.1%","39.2%","40.5%","50.8%","46.1%"
"            Female","54.2%","57.8%","70.9%","60.8%","59.5%","49.2%","53.9%"
"        Foreign born; not a U.S. citizen","21,749,984","1,282,839","217,601","544,223","345,753","1,512,670","315,957"
"            Male","50.8%","46.7%","34.8%","39.3%","44.5%","53.5%","44.9%"
"            Female","49.2%","53.3%","65.2%","60.7%","55.5%","46.5%","55.1%"
"    Population born outside the United States","44,932,901","3,036,492","312,537","1,925,602","1,013,129","3,007,151","1,257,169"
"        Entered 2010 or later","24.8%","31.1%","35.5%","21.0%","17.7%","39.4%","20.9%"
"        Entered 2000 to 2009","24.6%","22.3%","16.6%","24.8%","21.8%","25.4%","19.8%"
"        Entered before 2000","50.6%","46.6%","47.8%","54.3%","60.5%","35.2%","59.3%"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","",""
"    Foreign-born population excluding population born at sea","44,932,799","3,036,492","312,537","1,925,602","1,013,129","3,007,151","1,257,169"
"        Europe","10.4%","0.2%","0.4%","0.2%","0.3%","0.9%","0.3%"
"        Asia","31.4%","97.9%","96.7%","99.0%","98.9%","93.4%","99.3%"
"        Africa","5.5%","0.1%","0.0%","0.1%","0.2%","1.6%","0.1%"
"        Oceania","0.7%","0.2%","0.2%","0.1%","0.1%","0.5%","0.1%"
"        Latin America","50.3%","0.9%","2.3%","0.3%","0.4%","3.0%","0.1%"
"        Northern America","1.8%","0.7%","0.4%","0.3%","0.3%","0.7%","0.2%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","",""
"    Population 5 years and over","308,834,688","4,232,813","734,403","2,891,344","1,413,018","3,960,089","1,812,348"
"        English only","78.0%","20.9%","55.4%","36.3%","27.5%","23.9%","16.5%"
"        Language other than English","22.0%","79.1%","44.6%","63.7%","72.5%","76.1%","83.5%"
"            Speak English less than ""very well""","8.2%","42.0%","22.0%","19.8%","38.0%","17.7%","48.2%"
"EMPLOYMENT STATUS","","","","","","",""
"    Population 16 years and over","263,534,161","3,786,442","692,241","2,609,649","1,267,127","3,347,261","1,576,988"
"        In labor force","63.6%","62.3%","56.2%","69.2%","62.8%","70.6%","66.7%"
"            Civilian labor force","63.1%","62.1%","56.0%","68.3%","62.2%","70.5%","66.5%"
"                Employed","60.2%","60.1%","54.3%","65.8%","60.3%","68.1%","64.2%"
"                Unemployed","2.9%","2.1%","1.6%","2.6%","1.9%","2.4%","2.4%"
"                    Unemployment Rate","4.5%","3.3%","2.9%","3.7%","3.1%","3.5%","3.6%"
"            Armed Forces","0.5%","0.2%","0.2%","0.9%","0.6%","0.1%","0.2%"
"        Not in labor force","36.4%","37.7%","43.8%","30.8%","37.2%","29.4%","33.3%"
"    Females 16 years and over","135,038,002","2,048,594","402,861","1,503,885","715,376","1,611,993","830,888"
"        In labor force","58.8%","58.7%","49.0%","66.6%","55.4%","59.5%","63.2%"
"            Civilian labor force","58.6%","58.6%","49.0%","66.2%","55.2%","59.4%","63.1%"
"                Employed","56.1%","56.8%","47.5%","64.0%","53.2%","56.8%","61.2%"
"                Unemployed","2.6%","1.9%","1.5%","2.3%","2.0%","2.6%","1.9%"
"                    Unemployment Rate","4.4%","3.2%","3.1%","3.4%","3.6%","4.4%","3.0%"
"COMMUTING TO WORK","","","","","","",""
"    Workers 16 years and over","156,941,346","2,221,228","371,325","1,698,125","757,954","2,229,708","992,283"
"        Car, truck, or van - drove alone","75.9%","57.7%","70.7%","69.8%","68.8%","65.3%","72.2%"
"        Car, truck, or van - carpooled","8.9%","11.3%","8.6%","13.5%","10.0%","10.3%","17.0%"
"        Public transportation (excluding taxicab)","5.0%","17.1%","8.1%","8.1%","9.1%","11.6%","3.9%"
"        Walked","2.6%","5.9%","3.9%","2.5%","4.2%","4.0%","1.6%"
"        Other means","1.9%","2.2%","2.6%","2.1%","2.0%","2.4%","1.6%"
"        Worked from home","5.7%","5.8%","6.1%","4.0%","5.8%","6.4%","3.6%"
"        Mean travel time to work (minutes)","27.6","32.6","29.2","29.9","30.8","31.5","28.9"
"OCCUPATION","","","","","","",""
"    Civilian employed population 16 years and over","158,758,794","2,273,965","376,165","1,716,858","764,080","2,279,900","1,011,721"
"        Management, business, science, and arts occupations","39.9%","59.5%","56.5%","45.4%","58.2%","72.2%","36.0%"
"        Service occupations","17.7%","16.1%","13.2%","22.5%","14.1%","6.9%","30.9%"
"        Sales and office occupations","20.4%","16.1%","20.5%","18.6%","18.1%","12.9%","13.8%"
"        Natural resources, construction, and maintenance occupations","8.8%","2.2%","3.1%","3.6%","2.4%","1.6%","4.3%"
"        Production, transportation, and material moving occupations","13.2%","6.0%","6.7%","10.0%","7.2%","6.4%","15.0%"
"    Male civilian employed population 16 years and over","83,061,060","1,111,073","184,868","754,510","383,341","1,363,857","502,924"
"        Management, business, science, and arts occupations","35.9%","61.0%","57.9%","41.6%","59.5%","73.8%","37.5%"
"        Service occupations","14.5%","14.6%","12.0%","21.2%","10.7%","4.7%","21.7%"
"        Sales and office occupations","14.4%","12.0%","15.4%","15.0%","16.1%","10.9%","12.3%"
"        Natural resources, construction, and maintenance occupations","16.0%","4.3%","6.0%","7.7%","4.3%","2.5%","8.0%"
"        Production, transportation, and material moving occupations","19.1%","8.1%","8.7%","14.5%","9.5%","8.0%","20.4%"
"    Female civilian employed population 16 years and over","75,697,734","1,162,892","191,297","962,348","380,739","916,043","508,797"
"        Management, business, science, and arts occupations","44.2%","58.1%","55.1%","48.3%","57.0%","69.9%","34.5%"
"        Service occupations","21.2%","17.6%","14.4%","23.5%","17.6%","10.1%","40.0%"
"        Sales and office occupations","27.0%","20.0%","25.4%","21.3%","20.1%","15.8%","15.2%"
"        Natural resources, construction, and maintenance occupations","1.0%","0.3%","0.4%","0.5%","0.4%","0.3%","0.6%"
"        Production, transportation, and material moving occupations","6.8%","4.1%","4.7%","6.4%","4.9%","3.9%","9.7%"
"INDUSTRY","","","","","","",""
"    Civilian employed population 16 years and over","158,758,794","2,273,965","376,165","1,716,858","764,080","2,279,900","1,011,721"
"        Agriculture, forestry, fishing and hunting, and mining","1.7%","0.4%","0.7%","0.4%","0.4%","0.5%","0.8%"
"        Construction","7.0%","1.9%","2.7%","2.0%","2.3%","1.4%","2.4%"
"        Manufacturing","9.9%","10.2%","11.7%","8.0%","9.2%","10.3%","17.3%"
"        Wholesale trade","2.5%","3.0%","3.7%","1.5%","3.5%","1.7%","1.7%"
"        Retail trade","10.8%","7.9%","8.7%","10.1%","10.6%","10.2%","8.4%"
"        Transportation and warehousing, and utilities","5.6%","4.1%","5.2%","4.6%","3.4%","4.4%","3.1%"
"        Information","1.9%","3.1%","2.2%","1.5%","2.4%","3.3%","1.6%"
"        Finance and insurance, and real estate and rental and leasing","6.5%","8.9%","7.3%","5.5%","7.4%","9.7%","4.3%"
"        Professional, scientific, and management, and administrative and waste management services","11.8%","16.1%","15.2%","9.9%","14.9%","26.8%","9.9%"
"        Educational services, and health care and social assistance","23.3%","23.9%","23.3%","36.6%","24.8%","22.3%","16.9%"
"        Arts, entertainment, and recreation, and accommodation and food services","9.7%","13.0%","9.9%","11.8%","10.6%","5.1%","9.7%"
"        Other services (except public administration)","4.8%","4.3%","4.0%","3.8%","7.5%","2.1%","20.6%"
"        Public administration","4.5%","3.3%","5.2%","4.3%","3.2%","2.3%","3.4%"
"CLASS OF WORKER","","","","","","",""
"    Civilian employed population 16 years and over","158,758,794","2,273,965","376,165","1,716,858","764,080","2,279,900","1,011,721"
"        Private wage and salary workers","80.0%","81.3%","76.4%","82.3%","79.6%","87.1%","80.7%"
"        Government workers","14.0%","12.5%","16.3%","13.9%","11.8%","9.2%","10.4%"
"        Self-employed workers in own not incorporated business","5.8%","5.8%","6.9%","3.6%","8.2%","3.5%","8.3%"
"        Unpaid family workers","0.2%","0.4%","0.4%","0.2%","0.4%","0.2%","0.5%"
"INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","",""
"    Households","122,802,852","1,590,686","316,284","869,199","546,377","1,396,268","554,147"
"        Median household income (dollars)","65,712","86,281","85,007","100,273","76,674","126,705","72,161"
"        With earnings","77.4%","81.6%","72.9%","88.3%","81.9%","94.0%","87.8%"
"            Mean earnings (dollars)","93,563","132,144","113,916","116,004","120,933","166,831","102,631"
"        With Social Security income","31.7%","20.6%","38.0%","29.3%","21.8%","12.4%","22.1%"
"            Mean Social Security income (dollars)","19,872","17,415","21,339","19,807","16,477","20,934","15,692"
"        With Supplemental Security Income","5.2%","5.1%","2.1%","4.9%","4.6%","2.3%","8.4%"
"            Mean Supplemental Security Income (dollars)","9,824","8,557","9,911","9,073","8,076","8,433","8,987"
"        With cash public assistance income","2.2%","1.9%","0.9%","2.4%","1.7%","1.1%","3.0%"
"            Mean cash public assistance income (dollars)","3,009","3,034","4,268","3,511","3,542","3,289","3,070"
"        With retirement income","24.5%","13.2%","32.9%","23.7%","10.0%","9.6%","12.1%"
"            Mean retirement income (dollars)","28,381","31,017","38,836","28,549","28,359","32,569","22,026"
"        With Food Stamp/SNAP benefits","10.7%","6.5%","2.0%","5.7%","6.3%","3.5%","9.9%"
"    Families","79,594,270","1,055,960","184,178","674,896","354,281","1,099,532","428,915"
"        Median family income (dollars)","80,944","105,605","112,312","108,692","99,288","141,148","80,202"
"            Married-couple family","73.3%","81.5%","79.7%","75.1%","82.5%","91.5%","75.9%"
"        Median income (dollars)","96,571","118,775","126,319","118,993","107,152","148,616","88,545"
"            Male householder, no spouse present, family","7.7%","6.4%","5.5%","7.0%","5.2%","3.8%","9.0%"
"        Median income (dollars)","56,156","69,215","86,693","81,541","69,333","101,423","67,576"
"            Female householder, no husband present, family","18.9%","12.1%","14.8%","17.9%","12.3%","4.7%","15.0%"
"        Median income (dollars)","40,815","61,189","64,299","76,330","60,715","71,862","50,336"
"    Individuals","328,239,523","4,404,678","755,672","2,983,596","1,461,843","4,240,466","1,873,707"
"        Per capita income (dollars)","35,672","46,707","51,999","38,493","43,735","57,982","32,018"
"        With earnings for full-time, year-round workers:","","","","","","",""
"            Male","65,798,707","875,608","149,659","600,404","303,384","1,146,024","388,398"
"            Female","50,054,304","787,806","122,346","713,264","250,221","640,782","343,484"
"        Mean earnings (dollars)  for full-time, year-round workers:","","","","","","",""
"            Male","75,998","102,804","101,562","67,250","96,404","125,601","68,336"
"            Female","56,762","84,326","74,283","63,405","74,928","95,103","56,922"
"        Median earnings (dollars) full-time, year-round workers:","","","","","","",""
"            Male","52,989","77,022","79,615","52,448","69,941","100,626","50,715"
"            Female","43,215","62,488","60,035","50,791","60,014","75,985","40,519"
"HEALTH INSURANCE COVERAGE","","","","","","",""
"    Civilian noninstitutionalized population","323,120,678","4,387,930","750,249","2,951,330","1,447,485","4,232,927","1,862,292"
"        With private health insurance","67.4%","73.3%","84.5%","78.8%","71.8%","83.3%","65.3%"
"        With public coverage","35.4%","27.0%","33.3%","26.2%","24.9%","15.9%","31.8%"
"        No health insurance coverage","9.2%","6.0%","2.8%","5.5%","10.0%","5.2%","8.3%"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","",""
"    All families","8.6%","8.1%","3.9%","4.1%","7.2%","3.7%","8.3%"
"        With related children of the householder under 18 years","13.8%","8.2%","5.2%","5.2%","7.1%","4.1%","10.0%"
"            With related children of the householder under 5 years only","13.0%","6.2%","5.2%","4.4%","5.8%","3.3%","8.9%"
"        Married-couple family","4.2%","6.8%","3.0%","3.0%","6.3%","3.1%","5.6%"
"            With related children of the householder under 18 years","5.7%","6.0%","3.0%","3.1%","5.5%","3.2%","5.8%"
"                With related children of the householder under 5 years only","4.5%","4.8%","1.9%","2.2%","5.6%","2.0%","5.0%"
"        Female householder, no spouse present, family","24.1%","15.1%","9.5%","8.4%","12.6%","16.0%","20.4%"
"            With related children of the householder under 18 years","33.5%","21.3%","18.2%","13.6%","19.6%","26.2%","30.9%"
"                With related children of the householder under 5 years only","37.6%","18.7%","18.6%","16.1%","N","53.6%","34.3%"
"    All people","12.3%","12.9%","7.3%","5.8%","11.2%","5.9%","10.9%"
"        Under 18 years","16.8%","9.3%","7.2%","5.7%","7.8%","5.1%","10.9%"
"            Related children of the householder under 18 years","16.4%","8.5%","6.0%","5.3%","7.4%","5.0%","10.7%"
"                Related children of the householder under 5 years","18.2%","8.2%","6.2%","6.3%","8.0%","4.4%","11.0%"
"                Related children of the householder 5 to 17 years","15.8%","8.6%","5.9%","5.0%","7.2%","5.3%","10.7%"
"        18 years and over","11.1%","13.7%","7.3%","5.9%","11.8%","6.2%","10.9%"
"            18 to 64 years","11.5%","12.7%","7.4%","5.6%","9.9%","6.0%","9.6%"
"            65 years and over","9.4%","17.9%","7.2%","7.1%","20.3%","7.3%","17.2%"
"        People in families","9.5%","7.3%","3.3%","3.4%","6.1%","3.9%","7.5%"
"        Unrelated individuals 15 years and over","23.9%","35.5%","19.7%","21.3%","31.4%","21.2%","34.1%"
"HOUSING TENURE","","","","","","",""
"    Occupied housing units","122,802,852","1,590,686","316,284","869,199","546,377","1,396,268","554,147"
"        Owner-occupied housing units","64.1%","63.6%","65.6%","63.3%","50.8%","58.2%","68.0%"
"        Renter-occupied housing units","35.9%","36.4%","34.4%","36.7%","49.2%","41.8%","32.0%"
"        Average household size of owner-occupied unit","2.70","2.93","2.35","3.52","2.84","3.35","3.60"
"        Average household size of renter-occupied unit","2.44","2.21","1.99","2.93","2.15","2.54","2.72"
"UNITS IN STRUCTURE","","","","","","",""
"    Occupied housing units","122,802,852","1,590,686","316,284","869,199","546,377","1,396,268","554,147"
"        1-unit, detached or attached","68.4%","58.8%","65.3%","68.2%","52.5%","58.1%","73.8%"
"        2 to 4 units","7.6%","9.4%","5.3%","7.0%","7.9%","7.6%","6.0%"
"        5 or more units","18.5%","31.1%","28.2%","23.5%","38.6%","34.0%","17.6%"
"        Mobile home, boat, RV, van, etc.","5.5%","0.6%","1.2%","1.3%","1.1%","0.4%","2.6%"
"YEAR STRUCTURE BUILT","","","","","","",""
"    Occupied housing units","122,802,852","1,590,686","316,284","869,199","546,377","1,396,268","554,147"
"        Built 2014 or later","4.5%","7.4%","4.9%","5.3%","8.6%","11.8%","6.2%"
