"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"    Nursery school, preschool","6.0%","4.9%","5.8%","3.9%","4.4%","9.4%","4.5%"
"    Kindergarten","5.1%","3.9%","3.6%","3.9%","2.8%","5.7%","4.2%"
"    Elementary school (grades 1-8)","39.5%","30.3%","28.0%","33.1%","26.1%","34.6%","38.6%"
"    High school (grades 9-12)","20.7%","15.5%","15.3%","18.9%","17.1%","14.4%","18.0%"
"    College or graduate school","28.7%","45.4%","47.3%","40.2%","49.6%","35.9%","34.7%"
"    Male 3 years and over enrolled in school","40,922,189","504,371","60,857","318,232","224,523","430,021","258,837"
"    Percent enrolled in kindergarten to grade 12","68.1%","48.6%","50.5%","59.9%","49.4%","54.7%","62.0%"
"    Percent enrolled in college or graduate school","25.5%","46.3%","42.6%","35.7%","46.5%","36.0%","33.4%"
"        Female 3 years and over enrolled in school","42,209,721","565,052","66,052","316,972","232,797","407,148","253,324"
"    Percent enrolled in kindergarten to grade 12","62.5%","50.6%","43.7%","51.7%","42.8%","54.8%","59.5%"
"    Percent enrolled in college or graduate school","31.8%","44.7%","51.5%","44.8%","52.6%","35.7%","36.0%"
"EDUCATIONAL ATTAINMENT","","","","","","",""
"    Population 25 years and over","206,471,670","2,436,960","630,940","1,837,651","1,002,423","1,954,638","1,102,071"
"    Less than high school diploma","14.1%","18.8%","5.2%","7.7%","8.0%","9.2%","30.6%"
"    High school graduate (includes equivalency)","28.4%","14.7%","19.8%","15.4%","18.5%","8.8%","21.5%"
"    Some college or associate's degree","29.0%","14.2%","26.6%","29.3%","20.9%","11.0%","22.6%"
"    Bachelor's degree","17.9%","24.9%","31.4%","39.4%","34.7%","32.6%","18.4%"
"    Graduate or professional degree","10.6%","27.5%","16.9%","8.2%","17.9%","38.5%","7.0%"
"    High school graduate or higher","85.9%","81.2%","94.8%","92.3%","92.0%","90.8%","69.4%"
"    Male, high school graduate or higher","85.2%","82.2%","96.7%","93.6%","95.6%","93.1%","73.8%"
"    Female, high school graduate or higher","86.5%","80.4%","93.5%","91.4%","89.4%","88.4%","65.4%"
"    Bachelor's degree or higher","28.5%","52.3%","48.3%","47.6%","52.6%","71.1%","25.4%"
"    Male, bachelor's degree or higher","28.7%","54.8%","54.0%","43.4%","59.1%","75.1%","28.7%"
"    Female, bachelor's degree or higher","28.3%","50.2%","44.4%","50.6%","47.9%","66.7%","22.4%"
"FERTILITY","","","","","","",""
"    Women 15 to 50 years","76,202,126","1,016,792","195,275","745,355","463,135","839,487","473,255"
"    Women 15 to 50 years who had a birth in the past 12 months","4,113,472","40,911","9,825","42,959","23,107","59,577","23,668"
"        Unmarried women 15 to 50 years who had a birth in the past 12 months","1,467,435","2,960","705","8,007","1,412","1,251","4,751"
"            As a percent of all women with a birth in the past 12 months","35.7%","7.2%","7.2%","18.6%","6.1%","2.1%","20.1%"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","","","","",""
"    Population 30 years and over","185,382,764","2,170,544","593,514","1,654,484","890,242","1,637,519","986,252"
"    Living with grandchild(ren)","3.8%","5.4%","2.6%","7.8%","3.0%","6.6%","7.6%"
"        Responsible for grandchild(ren)","38.7%","15.6%","13.9%","18.4%","11.0%","9.3%","17.2%"
"VETERAN STATUS","","","","","","",""
"    Civilian population 18 years and over","236,665,774","2,831,679","676,004","2,055,646","1,173,680","2,193,477","1,261,134"
"    Civilian veteran","9.1%","1.3%","7.4%","4.7%","2.2%","0.7%","1.4%"
"DISABILITY STATUS","","","","","","",""
"    Total civilian noninstitutionalized population","306,560,685","3,506,468","750,787","2,512,839","1,439,038","2,903,114","1,660,279"
"    With a disability","12.1%","5.8%","10.4%","7.8%","5.1%","4.6%","7.3%"
"    Civilian noninstitutionalized population under 18 years","73,774,529","684,933","79,719","466,523","271,504","712,985","405,789"
"    With a disability","4.0%","1.7%","1.9%","2.2%","1.7%","1.9%","2.3%"
"    Civilian noninstitutionalized population 18 to 64 years","192,699,903","2,424,648","498,652","1,739,006","1,020,294","1,996,963","1,110,066"
"    With a disability","10.2%","2.9%","4.2%","4.8%","3.0%","3.2%","5.4%"
"    Civilian noninstitutionalized population 65 years and older","40,086,253","396,887","172,416","307,310","147,240","193,166","144,424"
"    With a disability","36.6%","30.2%","32.2%","33.3%","26.3%","29.2%","36.4%"
"RESIDENCE 1 YEAR AGO","","","","","","",""
"    Population 1 year and over","307,900,319","3,493,111","752,546","2,517,039","1,435,963","2,861,077","1,656,164"
"    Same house","84.8%","83.6%","87.5%","85.6%","80.3%","80.9%","87.2%"
"    Different house in the U.S.","14.6%","12.7%","9.6%","12.3%","16.1%","14.8%","11.1%"
"        Same county","9.2%","7.6%","6.1%","8.5%","9.6%","7.9%","7.8%"
"        Different county","5.4%","5.1%","3.5%","3.9%","6.6%","6.9%","3.3%"
"            Same state","3.1%","2.8%","1.8%","2.2%","3.3%","2.9%","2.0%"
"            Different state","2.3%","2.3%","1.8%","1.7%","3.3%","4.0%","1.3%"
"    Abroad","0.6%","3.7%","2.9%","2.0%","3.6%","4.3%","1.7%"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","","","","","","",""
"    Native","271,214,059","1,068,336","463,441","849,934","383,705","836,351","550,321"
"    Male","49.2%","50.6%","48.5%","52.0%","50.6%","51.2%","51.9%"
"    Female","50.8%","49.4%","51.5%","48.0%","49.4%","48.8%","48.1%"
"    Foreign born","40,377,860","2,451,814","293,457","1,688,391","1,066,171","2,071,853","1,119,126"
"    Male","48.9%","45.3%","33.3%","40.3%","42.3%","52.0%","47.4%"
"    Female","51.1%","54.7%","66.7%","59.7%","57.7%","48.0%","52.6%"
"    Foreign born; naturalized U.S. citizen","18,140,192","1,443,745","84,012","1,084,798","592,252","1,011,217","833,137"
"    Male","45.8%","43.5%","25.8%","39.9%","40.3%","50.5%","48.6%"
"    Female","54.2%","56.5%","74.2%","60.1%","59.7%","49.5%","51.4%"
"    Foreign born; not a U.S. citizen","22,237,668","1,008,069","209,445","603,593","473,919","1,060,636","285,989"
"    Male","51.5%","47.9%","36.3%","41.1%","44.9%","53.3%","44.2%"
"    Female","48.5%","52.1%","63.7%","58.9%","55.1%","46.7%","55.8%"
"    Population born outside the United States","40,377,860","2,451,814","293,457","1,688,391","1,066,171","2,071,853","1,119,126"
"    Entered 2000 or later","35.7%","38.1%","41.6%","35.0%","34.7%","49.6%","24.6%"
"    Entered 1990 to 1999","26.7%","26.0%","18.9%","23.9%","20.6%","26.3%","35.0%"
"    Entered before 1990","37.6%","35.9%","39.5%","41.1%","44.7%","24.1%","40.5%"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","",""
"    Foreign-born population excluding population born at sea","40,377,757","2,451,814","293,457","1,688,391","1,066,171","2,071,853","1,119,126"
"    Europe","12.1%","0.2%","0.2%","0.2%","0.3%","1.0%","0.2%"
"    Asia","28.6%","98.0%","97.4%","99.3%","99.2%","91.5%","99.5%"
"    Africa","4.1%","0.0%","0.0%","0.1%","0.1%","2.0%","0.0%"
"    Oceania","0.5%","0.1%","0.0%","0.0%","0.0%","0.6%","0.0%"
"    Latin America","52.6%","1.0%","1.9%","0.3%","0.3%","4.3%","0.1%"
"    Northern America","2.0%","0.6%","0.3%","0.2%","0.2%","0.6%","0.1%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","",""
"    Population 5 years and over","291,524,091","3,362,775","737,097","2,427,007","1,385,903","2,664,071","1,570,853"
"    English only","79.2%","17.7%","56.6%","32.8%","21.1%","21.3%","12.3%"
"    Language other than English","20.8%","82.3%","43.4%","67.2%","78.9%","78.7%","87.7%"
"        Speak English less than ""very well""","8.7%","46.6%","22.6%","23.2%","44.9%","21.9%","53.3%"
"EMPLOYMENT STATUS","","","","","","",""
"    Population 16 years and over","246,194,111","2,915,119","686,678","2,131,867","1,219,923","2,255,646","1,309,092"
"    In labor force","64.0%","62.5%","58.3%","70.8%","59.9%","69.6%","66.6%"
"        Civilian labor force","63.6%","62.4%","58.2%","70.0%","59.5%","69.5%","66.4%"
"            Employed","57.0%","57.9%","55.2%","64.3%","55.2%","64.7%","60.4%"
"            Unemployed","6.5%","4.5%","3.0%","5.7%","4.3%","4.8%","6.0%"
"                Percent of civilian labor force","10.3%","7.2%","5.1%","8.2%","7.3%","6.9%","9.1%"
"        Armed Forces","0.4%","0.1%","0.2%","0.8%","0.4%","0.1%","0.2%"
"    Not in labor force","36.0%","37.5%","41.7%","29.2%","40.1%","30.4%","33.4%"
"    Females 16 years and over","126,360,553","1,544,924","402,483","1,223,505","690,192","1,082,696","681,771"
"    In labor force","58.9%","57.7%","49.2%","68.7%","52.9%","56.8%","62.5%"
"        Civilian labor force","58.8%","57.7%","49.2%","68.5%","52.8%","56.7%","62.5%"
"            Employed","53.0%","53.6%","46.8%","63.8%","49.0%","51.4%","57.6%"
"            Unemployed","5.8%","4.1%","2.4%","4.8%","3.8%","5.3%","4.9%"
"                Percent of civilian labor force","9.8%","7.1%","4.8%","7.0%","7.2%","9.4%","7.9%"
"COMMUTING TO WORK","","","","","","",""
"    Workers 16 years and over","138,269,979","1,643,735","371,659","1,348,960","663,476","1,428,080","779,816"
"    Car, truck, or van - drove alone","76.4%","57.7%","73.0%","69.4%","69.2%","65.8%","74.5%"
"    Car, truck, or van - carpooled","9.7%","13.6%","9.2%","14.9%","12.3%","11.8%","16.3%"
"    Public transportation (excluding taxicab)","5.0%","16.3%","7.7%","9.0%","9.0%","11.7%","3.2%"
"    Walked","2.8%","6.2%","4.1%","2.7%","4.2%","4.3%","2.3%"
"    Other means","1.7%","1.9%","1.6%","1.3%","1.3%","1.9%","1.3%"
"    Worked at home","4.3%","4.4%","4.5%","2.6%","4.0%","4.4%","2.4%"
"    Mean travel time to work (minutes)","25.5","30.5","27.3","27.8","28.3","29.0","25.7"
"OCCUPATION","","","","","","",""
"    Civilian employed population 16 years and over","140,399,548","1,688,062","379,147","1,370,844","673,527","1,459,607","790,745"
"    Management, business, science, and arts occupations","36.0%","54.4%","53.6%","42.4%","46.1%","66.5%","29.7%"
"    Service occupations","18.3%","17.4%","13.0%","21.6%","15.4%","6.9%","30.1%"
"    Sales and office occupations","24.5%","18.9%","23.7%","23.4%","27.5%","18.4%","16.6%"
"    Natural resources, construction, and maintenance occupations","9.1%","2.7%","4.2%","3.8%","3.1%","1.7%","5.7%"
"    Production, transportation, and material moving occupations","12.1%","6.6%","5.5%","8.7%","7.9%","6.5%","17.9%"
"    Male civilian employed population 16 years and over","73,428,136","860,110","190,693","590,714","335,161","903,417","398,297"
"    Management, business, science, and arts occupations","32.7%","55.4%","55.1%","37.2%","48.1%","68.7%","32.3%"
"    Service occupations","15.2%","17.0%","12.4%","20.6%","11.5%","5.2%","20.6%"
"    Sales and office occupations","17.6%","15.0%","17.2%","20.1%","25.1%","15.8%","13.7%"
"    Natural resources, construction, and maintenance occupations","16.6%","4.8%","7.5%","8.2%","5.8%","2.5%","10.6%"
"    Production, transportation, and material moving occupations","17.9%","7.8%","7.9%","14.0%","9.5%","7.7%","22.8%"
"    Female civilian employed population 16 years and over","66,971,412","827,952","188,454","780,130","338,366","556,190","392,448"
"    Management, business, science, and arts occupations","39.5%","53.4%","52.1%","46.4%","44.1%","62.9%","27.1%"
"    Service occupations","21.7%","17.9%","13.6%","22.4%","19.3%","9.5%","39.7%"
"    Sales and office occupations","32.2%","22.9%","30.3%","25.9%","29.8%","22.8%","19.5%"
"    Natural resources, construction, and maintenance occupations","0.9%","0.5%","0.8%","0.6%","0.5%","0.4%","0.7%"
"    Production, transportation, and material moving occupations","5.7%","5.3%","3.2%","4.7%","6.3%","4.4%","13.0%"
"INDUSTRY","","","","","","",""
"    Civilian employed population 16 years and over","140,399,548","1,688,062","379,147","1,370,844","673,527","1,459,607","790,745"
"    Agriculture, forestry, fishing and hunting, and mining","1.9%","0.3%","0.7%","0.5%","0.3%","0.4%","0.7%"
"    Construction","6.1%","1.9%","2.6%","1.6%","2.1%","1.1%","2.2%"
"    Manufacturing","10.4%","12.2%","11.6%","8.7%","8.9%","11.5%","20.4%"
"    Wholesale trade","2.8%","3.8%","3.7%","2.1%","3.8%","1.9%","1.7%"
"    Retail trade","11.6%","8.0%","8.5%","10.2%","14.2%","12.2%","9.9%"
"    Transportation and warehousing, and utilities","5.0%","3.3%","4.2%","4.3%","3.2%","4.3%","2.8%"
"    Information","2.1%","2.6%","2.6%","2.0%","2.6%","2.8%","1.7%"
"    Finance and insurance, and real estate and rental and leasing","6.6%","8.3%","7.4%","6.2%","6.8%","9.2%","5.0%"
"    Professional, scientific, and management, and administrative and waste management services","10.7%","13.9%","12.8%","8.5%","12.7%","23.5%","8.1%"
"    Educational services, and health care and social assistance","23.2%","23.3%","24.2%","37.4%","20.3%","23.0%","14.1%"
"    Arts, entertainment, and recreation, and accommodation and food services","9.4%","15.6%","11.0%","10.0%","12.0%","5.7%","8.8%"
"    Other services (except public administration)","5.0%","3.6%","3.9%","3.8%","9.9%","2.1%","21.5%"
"    Public administration","5.1%","3.2%","6.7%","4.7%","3.2%","2.3%","3.0%"
"CLASS OF WORKER","","","","","","",""
"    Civilian employed population 16 years and over","140,399,548","1,688,062","379,147","1,370,844","673,527","1,459,607","790,745"
"    Private wage and salary workers","78.6%","81.2%","74.4%","82.4%","78.2%","86.5%","82.5%"
"    Government workers","15.0%","13.2%","19.0%","14.5%","10.4%","9.6%","8.6%"
"    Self-employed workers in own not incorporated business","6.2%","5.2%","6.6%","3.1%","10.8%","3.8%","8.5%"
"    Unpaid family workers","0.2%","0.3%","0.1%","0.1%","0.6%","0.2%","0.4%"
"INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","","","","","","",""
"    Households","114,991,725","1,178,720","325,145","718,068","496,690","913,213","457,250"
"    Median household income (dollars)","50,502","63,399","66,146","78,700","51,625","92,418","54,670"
"    With earnings","77.7%","83.4%","75.6%","90.9%","80.1%","94.4%","89.4%"
"        Mean earnings (dollars)","71,518","96,589","92,508","90,925","82,028","118,951","76,291"
"    With Social Security income","29.0%","17.4%","33.3%","22.7%","16.6%","10.0%","17.1%"
"        Mean Social Security income (dollars)","16,645","13,706","17,759","15,485","13,730","16,430","11,555"
"    With Supplemental Security Income","5.3%","5.3%","2.3%","5.5%","4.3%","2.7%","9.4%"
"        Mean Supplemental Security Income (dollars)","8,940","8,655","10,055","8,709","8,113","7,985","9,300"
"    With cash public assistance income","2.9%","2.3%","1.2%","2.5%","1.9%","1.1%","4.0%"
"        Mean cash public assistance income (dollars)","3,800","4,714","6,636","5,452","5,213","4,563","3,962"
"    With retirement income","17.7%","7.3%","23.7%","14.5%","5.6%","4.8%","6.1%"
"        Mean retirement income (dollars)","22,989","24,920","30,285","22,076","21,077","24,024","14,296"
"    With Food Stamp/SNAP benefits","13.0%","6.5%","2.2%","5.8%","5.4%","3.7%","13.8%"
"    Families","76,084,006","827,914","187,933","562,046","330,332","727,691","370,239"
"    Median family income (dollars)","61,455","77,209","90,550","85,222","61,452","102,894","58,520"
"        Married-couple family","73.0%","82.3%","79.8%","74.4%","80.6%","91.8%","74.5%"
"    Median income (dollars)","74,392","85,240","100,539","95,153","68,330","106,756","63,684"
"        Male householder, no spouse present, family","7.2%","5.9%","5.4%","6.6%","5.5%","3.3%","10.1%"
"    Median income (dollars)","41,763","56,932","65,429","64,436","53,277","68,580","51,591"
"        Female householder, no husband present, family","19.9%","11.8%","14.8%","19.0%","13.9%","5.0%","15.4%"
"    Median income (dollars)","30,052","44,346","56,798","57,960","32,826","51,847","34,373"
"    Individuals","311,591,919","3,520,150","756,898","2,538,325","1,449,876","2,908,204","1,669,447"
"    Per capita income (dollars)","26,708","31,863","40,236","29,238","27,492","38,900","21,881"
"    With earnings for full-time, year-round workers:","","","","","","",""
"        Male","55,576,891","641,271","148,982","455,241","254,024","729,364","307,250"
"        Female","41,978,649","540,188","123,156","545,789","215,404","364,846","248,279"
"        Mean earnings (dollars) for full-time, year-round workers:","","","","","","",""
"            Male","63,912","78,977","84,846","56,701","69,615","92,691","55,788"
"            Female","46,465","63,109","58,219","54,996","53,804","69,230","43,208"
"        Median earnings (dollars) full-time, year-round workers:","","","","","","",""
"            Male","46,993","60,174","62,348","46,028","50,740","76,545","41,222"
"            Female","37,133","50,645","49,460","43,788","40,534","57,194","30,582"
"HEALTH INSURANCE COVERAGE","","","","","","",""
"    Civilian noninstitutionalized population","306,560,685","3,506,468","750,787","2,512,839","1,439,038","2,903,114","1,660,279"
"    With private health insurance","65.2%","68.7%","84.9%","77.4%","62.1%","77.9%","56.4%"
"    With public coverage","30.5%","21.5%","25.8%","18.9%","17.5%","13.4%","26.7%"
"    No health insurance coverage","15.1%","14.2%","7.2%","11.3%","25.1%","11.9%","20.2%"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","",""
"    All families","11.7%","11.3%","4.5%","4.7%","12.2%","4.8%","13.7%"
"        With related children under 18 years","18.6%","11.5%","7.6%","6.1%","13.5%","5.6%","15.7%"
"            With related children under 5 years only","19.4%","8.3%","5.5%","7.2%","13.2%","4.0%","11.5%"
"    Married-couple family","5.8%","9.4%","3.0%","2.6%","9.0%","4.0%","11.1%"
"        With related children under 18 years","8.8%","8.2%","4.2%","2.8%","9.0%","4.7%","11.7%"
"            With related children under 5 years only","7.4%","5.7%","4.3%","2.9%","11.1%","3.5%","8.6%"
"    Female householder, no husband present, family","31.4%","23.0%","12.1%","11.7%","29.6%","17.2%","26.2%"
"        With related children under 18 years","40.8%","32.0%","23.7%","18.3%","38.7%","21.7%","35.2%"
"            With related children under 5 years only","47.9%","28.6%","14.8%","28.5%","34.4%","22.0%","23.5%"
"    All people","15.9%","15.1%","7.8%","6.4%","15.6%","8.1%","16.1%"
"    Under 18 years","22.5%","11.6%","7.4%","7.3%","13.8%","7.0%","17.8%"
"        Related children under 18 years","22.2%","11.1%","6.8%","7.0%","13.1%","6.9%","17.4%"
"            Related children under 5 years","25.8%","9.3%","7.1%","7.4%","12.9%","5.5%","17.1%"
"            Related children 5 to 17 years","20.8%","11.6%","6.8%","6.9%","13.2%","7.6%","17.6%"
"    18 years and over","13.9%","16.0%","7.8%","6.2%","16.0%","8.5%","15.6%"
"    18 to 64 years","14.8%","15.3%","8.5%","6.0%","15.4%","8.5%","15.2%"
"    65 years and over","9.3%","20.1%","6.1%","7.7%","19.9%","8.1%","18.5%"
"    People in families","13.4%","10.2%","3.9%","4.2%","10.6%","5.5%","13.2%"
"    Unrelated individuals 15 years and over","27.0%","39.3%","19.6%","22.3%","38.7%","29.1%","40.3%"
"HOUSING TENURE","","","","","","",""
"    Occupied housing units","114,991,725","1,178,720","325,145","718,068","496,690","913,213","457,250"
"    Owner-occupied housing units","64.6%","61.6%","64.2%","60.7%","46.3%","55.1%","64.2%"
"    Renter-occupied housing units","35.4%","38.4%","35.8%","39.3%","53.7%","44.9%","35.8%"
"    Average household size of owner-occupied unit","2.71","3.15","2.39","3.69","2.99","3.55","3.90"
"    Average household size of renter-occupied unit","2.52","2.42","1.97","3.01","2.34","2.66","3.04"
"UNITS IN STRUCTURE","","","","","","",""
"    Occupied housing units","114,991,725","1,178,720","325,145","718,068","496,690","913,213","457,250"
"    1-unit, detached or attached","68.9%","58.8%","64.9%","66.4%","49.2%","55.5%","73.6%"
"    2 to 4 units","7.9%","10.7%","5.4%","7.6%","8.9%","9.1%","7.3%"
"    5 or more units","17.2%","30.0%","28.8%","25.0%","41.1%","35.1%","16.3%"
"    Mobile home, boat, RV, van, etc.","6.0%","0.5%","1.0%","0.9%","0.9%","0.2%","2.8%"
"YEAR STRUCTURE BUILT","","","","","","",""
"    Occupied housing units","114,991,725","1,178,720","325,145","718,068","496,690","913,213","457,250"
"    Built 2000 or later","15.6%","18.6%","14.0%","20.8%","23.5%","28.0%","24.4%"
"    Built 1990 to 1999","14.0%","13.7%","13.2%","13.9%","15.6%","18.7%","15.6%"
"    Built 1980 to 1989","13.7%","14.1%","13.7%","15.9%","15.2%","14.0%","13.4%"
"    Built 1960 to 1979","27.0%","24.8%","33.2%","27.6%","26.7%","22.2%","26.9%"
