"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"    Population 25 years and over","223,158,847","3,161,012","665,552","2,220,850","1,118,233","2,877,573","1,308,875"
"        Less than high school diploma","11.7%","15.4%","4.5%","6.3%","7.4%","7.2%","25.3%"
"        High school graduate (includes equivalency)","26.9%","14%","17.5%","15.3%","15.9%","7.5%","20.5%"
"        Some college or associate's degree","28.9%","13.4%","25.2%","29.6%","18.2%","9.5%","22.9%"
"        Bachelor's degree","20%","27.3%","34.3%","38.9%","35.8%","33.2%","21.5%"
"        Graduate or professional degree","12.6%","29.9%","18.5%","10%","22.6%","42.6%","9.8%"
"        High school graduate or higher","88.3%","84.6%","95.5%","93.7%","92.6%","92.8%","74.7%"
"            Male, high school graduate or higher","87.7%","85.8%","97%","94.8%","95.3%","94.5%","78.5%"
"            Female, high school graduate or higher","88.9%","83.6%","94.5%","92.9%","90.5%","90.9%","71.5%"
"        Bachelor's degree or higher","32.6%","57.2%","52.8%","48.8%","58.4%","75.8%","31.3%"
"            Male, bachelor's degree or higher","31.9%","59.7%","58.4%","45.3%","63.3%","78.7%","33.1%"
"            Female, bachelor's degree or higher","33.3%","55.1%","48.9%","51.2%","54.7%","72.7%","29.7%"
"FERTILITY","","","","","","",""
"    Women 15 to 50 years","76,857,068","1,269,590","176,240","824,036","429,621","1,191,739","540,065"
"        Women 15 to 50 years who had a birth in the past 12 months","3,956,960","52,098","7,979","36,394","18,129","70,988","22,970"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","1,343,026","3,422","613","7,083","1,149","1,529","2,463"
"                As a percent of all women with a birth in the past 12 months","33.9%","6.6%","7.7%","19.5%","6.3%","2.2%","10.7%"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","","","","",""
"    Population 30 years and over","199,838,145","2,769,254","630,322","2,015,551","999,796","2,479,167","1,171,427"
"        Grandparents living with grandchild(ren)","3.6%","5.1%","2.2%","6.7%","2.2%","5.5%","6.8%"
"            Grandparents responsible for grandchildren as a percentage of living with grandchildren","33.7%","16%","21.4%","14.1%","19.1%","10.5%","15.2%"
"VETERAN STATUS","","","","","","",""
"    Civilian population 18 years and over","252,806,449","3,661,319","706,059","2,463,951","1,242,703","3,205,173","1,498,649"
"        Civilian veteran","7.1%","1.1%","6.4%","4.4%","2.5%","0.7%","1.9%"
"DISABILITY STATUS","","","","","","",""
"    Total civilian noninstitutionalized population","322,249,485","4,379,140","775,477","2,894,086","1,454,527","4,154,301","1,849,824"
"        With a disability","12.6%","5.9%","12.8%","9.1%","6.8%","4.4%","8.7%"
"    Civilian noninstitutionalized population under 18 years","73,223,593","728,731","74,965","440,371","218,066","954,061","358,576"
"        With a disability","4.2%","2.2%","3.1%","3%","2.3%","1.4%","2.8%"
"    Civilian noninstitutionalized population 18 to 64 years","197,888,546","3,030,227","477,227","1,965,252","1,019,657","2,857,125","1,251,550"
"        With a disability","10.2%","2.8%","5.2%","5.4%","4.2%","2.9%","5.9%"
"    Civilian noninstitutionalized population 65 years and older","51,137,346","620,182","223,285","488,463","216,804","343,115","239,698"
"        With a disability","33.9%","25.6%","32.4%","29.4%","23.8%","25.8%","32.4%"
"RESIDENCE 1 YEAR AGO","","","","","","",""
"    Population 1 year and over","323,531,965","4,366,253","779,069","2,905,750","1,460,524","4,107,346","1,850,335"
"        Same house","86%","83.1%","86.3%","87%","82.2%","80.3%","88%"
"        Different house in the U.S.","13.4%","13.2%","9.6%","11.2%","15.5%","16.2%","10.8%"
"            Same county","7.9%","7.3%","5.8%","6.8%","8.6%","8.6%","6.4%"
"            Different county","5.6%","5.9%","3.8%","4.4%","6.9%","7.6%","4.4%"
"                Same state","3.3%","3.1%","1.8%","2.5%","3.3%","3.6%","2.7%"
"                Different state","2.3%","2.8%","2.1%","1.9%","3.6%","4%","1.8%"
"        Abroad","0.6%","3.7%","4.1%","1.8%","2.3%","3.5%","1.2%"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","","","","","","",""
"    Native","282,438,718","1,367,337","449,287","1,018,803","441,032","1,211,885","635,854"
"        Male","49.4%","50.7%","48.6%","50.4%","51.4%","51.7%","51.3%"
"        Female","50.6%","49.3%","51.4%","49.6%","48.6%","48.3%","48.7%"
"    Foreign born","44,728,721","3,028,575","333,489","1,901,357","1,027,247","2,949,203","1,226,541"
"        Male","48.3%","44.7%","34.2%","39.6%","42.2%","52.4%","45.9%"
"        Female","51.7%","55.3%","65.8%","60.4%","57.8%","47.6%","54.1%"
"        Foreign born; naturalized U.S. citizen","22,629,737","1,730,355","107,837","1,341,668","660,033","1,409,209","940,123"
"            Male","45.9%","42.7%","30.3%","39.3%","41.2%","50.7%","46.6%"
"            Female","54.1%","57.3%","69.7%","60.7%","58.8%","49.3%","53.4%"
"        Foreign born; not a U.S. citizen","22,098,984","1,298,220","225,652","559,689","367,214","1,539,994","286,418"
"            Male","50.8%","47.2%","36%","40.1%","44.1%","54%","43.4%"
"            Female","49.2%","52.8%","64%","59.9%","55.9%","46%","56.6%"
"    Population born outside the United States","44,728,721","3,028,575","333,489","1,901,357","1,027,247","2,949,203","1,226,541"
"        Entered 2010 or later","23.3%","30.6%","33.3%","20.3%","16%","39.5%","19%"
"        Entered 2000 to 2009","25.1%","22.1%","15.8%","24.9%","22.1%","25.5%","18.6%"
"        Entered before 2000","51.6%","47.4%","51%","54.8%","62%","35%","62.4%"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","",""
"    Foreign-born population excluding population born at sea","44,728,502","3,028,531","333,489","1,901,357","1,027,247","2,949,203","1,226,541"
"        Europe","10.6%","0.3%","0.4%","0.2%","0.3%","1%","0.2%"
"        Asia","31.2%","97.9%","96.2%","99.1%","98.8%","93.7%","99.3%"
"        Africa","5.4%","0.1%","0.1%","0.1%","0.2%","1.3%","0%"
"        Oceania","0.6%","0.1%","0.1%","0.1%","0.1%","0.3%","0.1%"
"        Latin America","50.3%","1%","2.8%","0.3%","0.4%","3.1%","0.2%"
"        Northern America","1.8%","0.7%","0.4%","0.2%","0.3%","0.6%","0.2%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","",""
"    Population 5 years and over","307,521,124","4,216,584","759,513","2,828,943","1,420,694","3,880,788","1,790,318"
"        English only","78.1%","20.9%","55.4%","34.9%","27.2%","24%","17.1%"
"        Language other than English","21.9%","79.1%","44.6%","65.1%","72.8%","76%","82.9%"
"            Speak English less than ""very well""","8.3%","42.6%","23.1%","20.6%","39.5%","17.9%","48.2%"
"EMPLOYMENT STATUS","","","","","","",""
"    Population 16 years and over","262,185,951","3,762,587","714,463","2,540,920","1,281,399","3,291,491","1,556,731"
"        In labor force","63.3%","61.7%","55.7%","68.6%","62.8%","69.8%","65.7%"
"            Civilian labor force","62.9%","61.6%","55.4%","68%","62.2%","69.8%","65.3%"
"                Employed","59.8%","59.2%","54%","65.6%","59.7%","67.2%","63%"
"                Unemployed","3.1%","2.3%","1.4%","2.4%","2.5%","2.5%","2.4%"
"                    Unemployment Rate","4.9%","3.8%","2.6%","3.5%","4%","3.6%","3.6%"
"            Armed Forces","0.4%","0.1%","0.2%","0.6%","0.6%","0.1%","0.3%"
"        Not in labor force","36.7%","38.3%","44.3%","31.4%","37.2%","30.2%","34.3%"
"    Females 16 years and over","134,318,577","2,030,940","415,894","1,467,430","721,251","1,570,321","828,841"
"        In labor force","58.5%","57.8%","48.5%","65.9%","55.5%","58.5%","62.3%"
"            Civilian labor force","58.3%","57.8%","48.4%","65.7%","55.3%","58.5%","62.2%"
"                Employed","55.5%","55.6%","47.2%","63.7%","53.1%","55.8%","60.3%"
"                Unemployed","2.8%","2.2%","1.2%","1.9%","2.2%","2.7%","1.8%"
"                    Unemployment Rate","4.8%","3.8%","2.5%","3%","4%","4.6%","2.9%"
"COMMUTING TO WORK","","","","","","",""
"    Workers 16 years and over","154,609,443","2,172,719","379,764","1,644,231","756,319","2,161,794","962,124"
"        Car, truck, or van - drove alone","76.3%","59%","71.1%","69.5%","69.5%","66.3%","72.5%"
"        Car, truck, or van - carpooled","9%","11.7%","8.6%","14.2%","10.2%","10.6%","17%"
"        Public transportation (excluding taxicab)","4.9%","16.5%","8.5%","8.1%","9.3%","11%","4%"
"        Walked","2.6%","5.6%","3.9%","2.7%","4.3%","4%","1.7%"
"        Other means","1.9%","2.2%","1.7%","1.8%","1.6%","2.2%","1.4%"
"        Worked at home","5.3%","5.1%","6.3%","3.7%","5%","5.9%","3.5%"
"        Mean travel time to work (minutes)","27.1","32.7","28.3","29.9","30.7","30.7","27.7"
"OCCUPATION","","","","","","",""
"    Civilian employed population 16 years and over","156,783,165","2,227,747","385,684","1,666,625","765,347","2,212,499","980,726"
"        Management, business, science, and arts occupations","38.6%","57.7%","56%","44%","55.4%","70.1%","34.4%"
"        Service occupations","17.8%","16.4%","11.6%","21.8%","13.2%","6.9%","30.9%"
"        Sales and office occupations","21.4%","17.1%","22.8%","20.3%","21.5%","15.2%","14.9%"
"        Natural resources, construction, and maintenance occupations","8.8%","2.4%","3.4%","3.3%","2.5%","1.3%","4.7%"
"        Production, transportation, and material moving occupations","13.3%","6.4%","6.1%","10.6%","7.3%","6.6%","15.1%"
"    Male civilian employed population 16 years and over","82,216,665","1,099,483","189,396","731,586","382,189","1,336,568","480,673"
"        Management, business, science, and arts occupations","34.7%","59.9%","58.4%","40.9%","56.9%","72.7%","36.4%"
"        Service occupations","14.7%","14.2%","10%","20.4%","10%","4.7%","21.3%"
"        Sales and office occupations","15.2%","12.9%","16.7%","15.9%","19.2%","12.8%","12.8%"
"        Natural resources, construction, and maintenance occupations","16%","4.6%","6.2%","6.8%","4.5%","1.9%","8.8%"
"        Production, transportation, and material moving occupations","19.4%","8.4%","8.7%","15.9%","9.4%","7.9%","20.6%"
"    Female civilian employed population 16 years and over","74,566,500","1,128,264","196,288","935,039","383,158","875,931","500,053"
"        Management, business, science, and arts occupations","42.8%","55.5%","53.7%","46.4%","53.9%","66.1%","32.5%"
"        Service occupations","21.3%","18.6%","13.1%","22.9%","16.4%","10.3%","40.1%"
"        Sales and office occupations","28.2%","21.3%","28.8%","23.7%","23.9%","18.8%","16.9%"
"        Natural resources, construction, and maintenance occupations","1%","0.2%","0.8%","0.6%","0.5%","0.3%","0.7%"
"        Production, transportation, and material moving occupations","6.7%","4.5%","3.6%","6.4%","5.3%","4.6%","9.8%"
"INDUSTRY","","","","","","",""
"    Civilian employed population 16 years and over","156,783,165","2,227,747","385,684","1,666,625","765,347","2,212,499","980,726"
"        Agriculture, forestry, fishing and hunting, and mining","1.8%","0.4%","0.5%","0.5%","0.3%","0.4%","0.7%"
"        Construction","6.7%","2.1%","2.1%","2%","2.5%","1.1%","2.5%"
"        Manufacturing","10%","10.1%","12.2%","8.3%","8.6%","10.4%","16.7%"
"        Wholesale trade","2.5%","3.1%","3.8%","1.7%","3.7%","1.9%","1.6%"
"        Retail trade","11%","7.6%","8.7%","10.4%","11.5%","10.9%","9.1%"
"        Transportation and warehousing, and utilities","5.5%","4.1%","4.9%","4.7%","3.6%","4.1%","3.3%"
"        Information","1.9%","3.1%","2.8%","1.5%","2.8%","3.7%","1.5%"
"        Finance and insurance, and real estate and rental and leasing","6.5%","8.7%","7.5%","5.5%","7.3%","9.4%","5.2%"
"        Professional, scientific, and management, and administrative and waste management services","11.7%","16.7%","15.7%","9.4%","14%","26.8%","8.7%"
"        Educational services, and health care and social assistance","23.1%","23.5%","22.6%","36.4%","23.8%","21.9%","16.3%"
"        Arts, entertainment, and recreation, and accommodation and food services","9.7%","13.4%","9.5%","11.3%","10.8%","5.2%","10.2%"
"        Other services (except public administration)","4.9%","4%","4.3%","3.9%","7.9%","2.2%","21.5%"
"        Public administration","4.6%","3.3%","5.1%","4.3%","3.1%","2.1%","2.8%"
"CLASS OF WORKER","","","","","","",""
"    Civilian employed population 16 years and over","156,783,165","2,227,747","385,684","1,666,625","765,347","2,212,499","980,726"
"        Private wage and salary workers","80.5%","82.5%","77.5%","83.5%","80.5%","88.2%","82.4%"
"        Government workers","13.4%","12.1%","15.4%","13.1%","10.9%","8.4%","8.6%"
"        Self-employed workers in own not incorporated business","5.9%","5.1%","6.9%","3.3%","7.9%","3.2%","8.7%"
"        Unpaid family workers","0.2%","0.2%","0.2%","0.1%","0.6%","0.2%","0.3%"
"INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","",""
"    Households","121,520,180","1,565,802","333,910","832,841","545,601","1,365,414","538,757"
"        Median household income (dollars)","61,937","81,487","80,036","92,328","72,074","119,858","67,331"
"        With earnings","77.5%","82%","73.6%","87.9%","81.5%","93.8%","88.3%"
"            Mean earnings (dollars)","90,091","126,000","112,666","109,576","115,167","155,973","94,881"
"        With Social Security income","31.6%","19.5%","38%","29.6%","20.6%","11.6%","21.8%"
"            Mean Social Security income (dollars)","19,375","17,393","20,084","19,503","16,331","19,280","14,676"
"        With Supplemental Security Income","5.4%","4.8%","2.4%","5.7%","4.8%","2.2%","9.3%"
"            Mean Supplemental Security Income (dollars)","9,841","8,804","10,193","9,037","8,289","8,196","9,315"
"        With cash public assistance income","2.3%","1.9%","0.9%","2.1%","1.7%","1.1%","3.7%"
"            Mean cash public assistance income (dollars)","3,004","3,487","3,772","3,960","3,304","4,550","3,113"
"        With retirement income","18.8%","9.3%","25.2%","17.9%","7.4%","5.2%","8.2%"
"            Mean retirement income (dollars)","27,484","29,336","37,508","26,701","28,296","31,659","19,398"
"        With Food Stamp/SNAP benefits","11.3%","5.8%","2.7%","6%","5.6%","3.7%","11.2%"
"    Families","79,241,578","1,052,266","198,572","642,734","361,180","1,077,358","422,807"
"        Median family income (dollars)","76,401","100,606","101,754","101,435","90,448","132,859","71,857"
"            Married-couple family","73.4%","82.4%","79.4%","75.8%","81.4%","92%","74.4%"
"        Median income (dollars)","91,348","111,811","113,805","111,221","99,344","138,922","82,548"
"            Male householder, no spouse present, family","7.6%","6%","5%","6.5%","5.9%","3.7%","9.2%"
"        Median income (dollars)","53,149","67,331","78,140","75,279","71,488","86,711","57,066"
"            Female householder, no husband present, family","19%","11.6%","15.6%","17.7%","12.7%","4.3%","16.4%"
"        Median income (dollars)","38,338","58,373","65,751","68,778","60,592","71,589","45,351"
"    Individuals","327,167,439","4,395,912","782,776","2,920,160","1,468,279","4,161,088","1,862,395"
"        Per capita income (dollars)","33,831","43,583","50,617","36,183","41,385","53,298","29,413"
"        With earnings for full-time, year-round workers:","","","","","","",""
"            Male","64,386,497","824,751","148,390","560,593","284,446","1,091,476","354,233"
"            Female","48,382,569","724,278","125,089","648,509","242,583","582,525","313,644"
"        Mean earnings (dollars)  for full-time, year-round workers:","","","","","","",""
"            Male","74,331","100,324","105,086","65,350","91,842","120,414","67,573"
"            Female","55,353","81,445","71,892","62,074","73,816","87,820","54,914"
"        Median earnings (dollars) full-time, year-round workers:","","","","","","",""
"            Male","52,004","75,419","75,440","52,028","63,743","97,517","50,473"
"            Female","42,238","61,603","57,318","50,021","53,611","72,408","40,063"
"HEALTH INSURANCE COVERAGE","","","","","","",""
"    Civilian noninstitutionalized population","322,249,485","4,379,140","775,477","2,894,086","1,454,527","4,154,301","1,849,824"
"        With private health insurance","67.5%","73.1%","81.9%","78.6%","72.2%","83.9%","64.6%"
"        With public coverage","35.6%","26.7%","34.4%","26.4%","25.5%","15.7%","33.8%"
"        No health insurance coverage","8.9%","6.3%","4%","5.5%","8.7%","4.5%","7.3%"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","",""
"    All families","9.3%","9.1%","4.8%","4.5%","7.8%","4.2%","10.5%"
"        With related children of the householder under 18 years","14.7%","9.4%","7.4%","5.9%","7.6%","4%","11.7%"
"            With related children of the householder under 5 years only","13.8%","7.5%","6.4%","6.5%","9.1%","3.6%","9%"
"    Married-couple family","4.7%","7.4%","3.5%","2.8%","6.6%","3.4%","8%"
"        With related children of the householder under 18 years","6.4%","6.7%","4.4%","3%","5.6%","3.2%","7.6%"
"            With related children of the householder under 5 years only","4.9%","5.8%","4.3%","2.5%","7.7%","3%","4.4%"
"    Female householder, no husband present, family","25.7%","18.8%","11%","11.1%","14.7%","17.2%","20.6%"
"        With related children of the householder under 18 years","35.1%","25.7%","22.3%","18.1%","21.6%","22%","28.8%"
"            With related children of the householder under 5 years only","39%","24.7%","30.2%","23.2%","24.1%","26.1%","30.9%"
"    All people","13.1%","14.3%","7.9%","6.4%","11.8%","7%","12.6%"
"    Under 18 years","18%","11.2%","8.7%","5.9%","8.3%","4.9%","14%"
"        Related children of the householder under 18 years","17.7%","10.2%","8.2%","5.5%","7.9%","4.9%","13.5%"
"            Related children of the householder under 5 years","19.5%","11.1%","7.6%","7.7%","9.3%","4.9%","11.8%"
"            Related children of the householder 5 to 17 years","17%","9.9%","8.5%","4.9%","7.5%","4.8%","13.9%"
"    18 years and over","11.7%","14.9%","7.8%","6.5%","12.4%","7.6%","12.3%"
"    18 to 64 years","12.3%","14.4%","8.6%","6.1%","11%","7.6%","11.4%"
"    65 years and over","9.4%","17.5%","6.1%","8.1%","18.6%","7.6%","17.1%"
"    People in families","10.3%","8.4%","4.1%","3.7%","6.7%","4.3%","9.6%"
"    Unrelated individuals 15 years and over","24.5%","37.5%","19.8%","23.6%","32.8%","26.8%","33.7%"
"HOUSING TENURE","","","","","","",""
"    Occupied housing units","121,520,180","1,565,802","333,910","832,841","545,601","1,365,414","538,757"
"        Owner-occupied housing units","63.9%","63.8%","65.6%","62.1%","51.6%","56%","65.9%"
"        Renter-occupied housing units","36.1%","36.2%","34.4%","37.9%","48.4%","44%","34.1%"
"        Average household size of owner-occupied unit","2.71","2.95","2.36","3.56","2.79","3.37","3.68"
"        Average household size of renter-occupied unit","2.48","2.3","2.11","2.93","2.21","2.58","2.81"
"UNITS IN STRUCTURE","","","","","","",""
"    Occupied housing units","121,520,180","1,565,802","333,910","832,841","545,601","1,365,414","538,757"
"        1-unit, detached or attached","68.6%","58.9%","64.8%","68%","53%","56.5%","73.7%"
"        2 to 4 units","7.6%","9.8%","5.3%","7%","7.6%","7.8%","6.2%"
"        5 or more units","18.2%","30.7%","28.8%","23.5%","38.2%","35.4%","17.2%"
"        Mobile home, boat, RV, van, etc.","5.6%","0.6%","1%","1.5%","1.2%","0.3%","2.9%"
"YEAR STRUCTURE BUILT","","","","","","",""
"    Occupied housing units","121,520,180","1,565,802","333,910","832,841","545,601","1,365,414","538,757"
"        Built 2014 or later","3.4%","5.5%","3.5%","4.1%","5.9%","9.2%","4.6%"
"        Built 2010 to 2013","2.7%","4%","3%","3.3%","4.5%","5.5%","3.4%"
"        Built 2000 to 2009","13.7%","15.1%","11.8%","16.6%","17.5%","21.1%","19.9%"
"        Built 1980 to 1999","27.3%","26%","26.5%","30.3%","29.4%","31.3%","28.3%"
"        Built 1960 to 1979","25.7%","22.2%","32.1%","25%","24.6%","18.4%","25.5%"
"        Built 1940 to 1959","15.1%","14.2%","15.6%","14%","10.3%","8.6%","12.4%"
"        Built 1939 or earlier","12%","13%","7.5%","6.6%","7.9%","5.8%","5.8%"
"VEHICLES AVAILABLE","","","","","","",""
