"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone!!Estimate","United States!!Japanese alone!!Estimate","United States!!Filipino alone!!Estimate","United States!!Korean alone!!Estimate","United States!!Asian Indian alone!!Estimate","United States!!Vietnamese alone!!Estimate"
"    Foreign born; naturalized U.S. citizen","17,476,082","1,390,449","85,744","1,069,219","602,497","944,477","817,445"
"    Male","45.8%","43.7%","23.8%","40.2%","40.1%","51.0%","49.3%"
"    Female","54.2%","56.3%","76.2%","59.8%","59.9%","49.0%","50.7%"
"    Foreign born; not a U.S. citizen","22,479,772","995,943","208,364","587,744","481,387","1,026,059","293,682"
"    Male","51.6%","47.4%","36.8%","40.4%","44.9%","52.5%","43.4%"
"    Female","48.4%","52.6%","63.2%","59.6%","55.1%","47.5%","56.6%"
"    Population born outside the United States","39,955,854","2,386,392","294,108","1,656,963","1,083,884","1,970,536","1,111,127"
"    Entered 2000 or later","34.7%","36.5%","41.0%","31.9%","32.8%","46.3%","24.0%"
"    Entered 1990 to 1999","27.2%","27.5%","18.5%","24.9%","22.6%","28.4%","37.8%"
"    Entered before 1990","38.1%","36.0%","40.5%","43.2%","44.6%","25.4%","38.3%"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","",""
"    Foreign-born population excluding population born at sea","39,955,673","2,386,392","294,048","1,656,963","1,083,884","1,970,536","1,111,127"
"    Europe","12.1%","0.3%","0.4%","0.2%","0.3%","1.0%","0.3%"
"    Asia","28.2%","97.9%","97.1%","99.1%","99.0%","91.2%","99.1%"
"    Africa","4.0%","0.1%","0.0%","0.1%","0.1%","1.8%","0.0%"
"    Oceania","0.5%","0.1%","0.1%","0.1%","0.1%","0.7%","0.1%"
"    Latin America","53.1%","1.0%","1.9%","0.2%","0.4%","4.7%","0.2%"
"    Northern America","2.0%","0.7%","0.4%","0.3%","0.1%","0.6%","0.2%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","",""
"    Population 5 years and over","289,215,746","3,288,777","753,263","2,401,272","1,389,660","2,530,905","1,524,745"
"    English only","79.4%","17.8%","56.8%","32.9%","21.4%","20.4%","11.9%"
"    Language other than English","20.6%","82.2%","43.2%","67.1%","78.6%","79.6%","88.1%"
"        Speak English less than ""very well""","8.7%","46.0%","22.5%","22.3%","44.9%","21.4%","54.0%"
"EMPLOYMENT STATUS","","","","","","",""
"    Population 16 years and over","243,832,923","2,844,887","700,479","2,092,757","1,215,720","2,138,125","1,274,486"
"    In labor force","64.4%","63.6%","57.9%","71.8%","60.1%","69.8%","66.7%"
"        Civilian labor force","63.9%","63.5%","57.7%","71.0%","59.6%","69.7%","66.5%"
"            Employed","57.0%","58.5%","54.9%","65.2%","54.9%","64.2%","59.7%"
"            Unemployed","6.9%","5.1%","2.8%","5.9%","4.8%","5.5%","6.8%"
"                Percent of civilian labor force","10.8%","8.0%","4.9%","8.3%","8.0%","7.9%","10.2%"
"        Armed Forces","0.4%","0.1%","0.2%","0.7%","0.4%","0.0%","0.2%"
"    Not in labor force","35.6%","36.4%","42.1%","28.2%","39.9%","30.2%","33.3%"
"    Females 16 years and over","125,271,788","1,501,548","405,394","1,201,264","698,230","1,027,940","656,725"
"    In labor force","59.3%","58.9%","50.3%","69.1%","54.1%","57.3%","62.5%"
"        Civilian labor force","59.1%","58.9%","50.3%","68.8%","53.9%","57.3%","62.4%"
"            Employed","53.2%","54.2%","47.9%","64.0%","49.4%","51.6%","56.9%"
"            Unemployed","5.9%","4.7%","2.4%","4.9%","4.5%","5.7%","5.5%"
"                Percent of civilian labor force","10.0%","8.0%","4.7%","7.1%","8.3%","9.9%","8.8%"
"COMMUTING TO WORK","","","","","","",""
"    Workers 16 years and over","136,941,010","1,630,494","379,804","1,345,728","658,587","1,341,449","747,332"
"    Car, truck, or van - drove alone","76.6%","58.2%","71.9%","69.7%","70.4%","66.6%","74.1%"
"    Car, truck, or van - carpooled","9.7%","13.1%","9.9%","14.1%","11.8%","11.5%","16.1%"
"    Public transportation (excluding taxicab)","4.9%","16.9%","8.4%","8.9%","8.3%","11.8%","4.0%"
"    Walked","2.8%","5.6%","3.4%","3.2%","4.3%","4.1%","1.8%"
"    Other means","1.7%","1.8%","1.8%","1.4%","1.2%","1.6%","1.4%"
"    Worked at home","4.3%","4.4%","4.7%","2.8%","4.1%","4.4%","2.6%"
"    Mean travel time to work (minutes)","25.3","30.2","26.6","27.6","27.8","28.8","25.9"
"OCCUPATION","","","","","","",""
"    Civilian employed population 16 years and over","139,033,928","1,663,527","384,724","1,363,931","666,903","1,373,114","760,728"
"    Management, business, science, and arts occupations","35.9%","53.1%","52.6%","42.8%","46.8%","66.3%","29.7%"
"    Service occupations","18.0%","17.6%","11.4%","20.8%","15.8%","7.0%","31.0%"
"    Sales and office occupations","25.0%","19.8%","27.3%","23.9%","26.6%","18.9%","16.3%"
"    Natural resources, construction, and maintenance occupations","9.1%","2.6%","3.7%","3.9%","3.1%","1.7%","5.1%"
"    Production, transportation, and material moving occupations","11.9%","6.9%","4.9%","8.7%","7.6%","6.0%","17.9%"
"    Male civilian employed population 16 years and over","72,375,441","850,272","190,425","595,719","321,641","842,417","386,951"
"    Management, business, science, and arts occupations","32.8%","54.2%","56.2%","37.6%","50.0%","69.0%","31.0%"
"    Service occupations","15.0%","16.9%","10.0%","20.0%","11.3%","5.1%","22.4%"
"    Sales and office occupations","17.8%","16.2%","20.3%","20.6%","23.8%","16.4%","14.7%"
"    Natural resources, construction, and maintenance occupations","16.7%","4.7%","6.8%","8.1%","5.9%","2.5%","9.2%"
"    Production, transportation, and material moving occupations","17.7%","8.1%","6.8%","13.7%","8.9%","7.0%","22.6%"
"    Female civilian employed population 16 years and over","66,658,487","813,255","194,299","768,212","345,262","530,697","373,777"
"    Management, business, science, and arts occupations","39.4%","52.0%","49.1%","46.8%","43.8%","62.1%","28.4%"
"    Service occupations","21.3%","18.5%","12.9%","21.5%","19.9%","10.1%","40.0%"
"    Sales and office occupations","32.7%","23.5%","34.3%","26.4%","29.2%","22.9%","17.9%"
"    Natural resources, construction, and maintenance occupations","0.9%","0.4%","0.6%","0.6%","0.5%","0.4%","0.8%"
"    Production, transportation, and material moving occupations","5.7%","5.6%","3.0%","4.8%","6.4%","4.4%","12.9%"
"INDUSTRY","","","","","","",""
"    Civilian employed population 16 years and over","139,033,928","1,663,527","384,724","1,363,931","666,903","1,373,114","760,728"
"    Agriculture, forestry, fishing and hunting, and mining","1.9%","0.3%","0.9%","0.4%","0.2%","0.3%","0.7%"
"    Construction","6.2%","2.2%","2.9%","1.8%","2.4%","1.2%","2.2%"
"    Manufacturing","10.4%","12.1%","11.0%","9.0%","8.2%","11.4%","20.5%"
"    Wholesale trade","2.8%","3.8%","4.4%","2.0%","4.3%","2.1%","1.7%"
"    Retail trade","11.7%","8.1%","9.9%","10.2%","14.4%","12.1%","9.7%"
"    Transportation and warehousing, and utilities","4.9%","3.8%","4.8%","4.6%","2.8%","3.8%","2.8%"
"    Information","2.2%","2.5%","2.9%","1.8%","2.3%","3.0%","1.7%"
"    Finance and insurance, and real estate and rental and leasing","6.7%","8.1%","8.0%","6.7%","6.6%","9.1%","4.6%"
"    Professional, scientific, and management, and administrative and waste management services","10.6%","13.8%","12.9%","8.6%","12.2%","22.9%","7.9%"
"    Educational services, and health care and social assistance","23.2%","22.1%","23.8%","36.2%","20.4%","23.5%","14.2%"
"    Arts, entertainment, and recreation, and accommodation and food services","9.2%","15.1%","8.9%","10.1%","12.9%","5.9%","8.5%"
"    Other services (except public administration)","5.0%","4.0%","3.7%","3.8%","10.6%","2.1%","22.5%"
"    Public administration","5.2%","4.0%","5.9%","4.9%","2.8%","2.4%","3.2%"
"CLASS OF WORKER","","","","","","",""
"    Civilian employed population 16 years and over","139,033,928","1,663,527","384,724","1,363,931","666,903","1,373,114","760,728"
"    Private wage and salary workers","78.3%","80.5%","74.5%","82.0%","78.9%","85.9%","81.3%"
"    Government workers","15.3%","13.7%","18.4%","15.1%","9.5%","10.1%","9.6%"
"    Self-employed workers in own not incorporated business","6.3%","5.6%","6.8%","2.9%","11.1%","3.9%","8.8%"
"    Unpaid family workers","0.1%","0.2%","0.3%","0.1%","0.5%","0.2%","0.3%"
"INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","","","","","","",""
"    Households","114,567,419","1,150,817","334,726","713,898","507,203","876,534","445,377"
"    Median household income (dollars)","50,046","65,273","64,551","78,202","50,316","90,711","52,153"
"    With earnings","78.3%","84.8%","75.2%","91.4%","81.5%","94.7%","89.8%"
"        Mean earnings (dollars)","69,506","92,298","88,403","89,416","78,448","113,095","72,230"
"    With Social Security income","28.4%","17.1%","33.4%","21.8%","16.4%","10.1%","16.0%"
"        Mean Social Security income (dollars)","16,236","13,419","17,724","15,569","13,680","15,649","11,686"
"    With Supplemental Security Income","5.1%","5.3%","2.2%","5.2%","4.1%","2.8%","9.4%"
"        Mean Supplemental Security Income (dollars)","8,775","8,278","8,984","8,502","8,215","8,093","9,663"
"    With cash public assistance income","2.9%","2.4%","1.1%","2.8%","1.9%","1.5%","4.5%"
"        Mean cash public assistance income (dollars)","3,936","5,520","4,946","5,919","4,893","5,891","4,735"
"    With retirement income","17.5%","7.0%","22.6%","14.7%","5.3%","4.8%","5.3%"
"        Mean retirement income (dollars)","22,006","22,863","26,706","21,857","18,423","24,823","15,486"
"    With Food Stamp/SNAP benefits","11.9%","5.8%","2.0%","5.1%","5.0%","3.4%","12.6%"
"    Families","76,089,045","812,122","195,239","553,983","344,753","700,396","360,063"
"    Median family income (dollars)","60,609","77,926","85,894","85,387","60,640","100,520","56,409"
"        Married-couple family","73.2%","82.5%","79.2%","75.4%","79.0%","91.5%","76.0%"
"    Median income (dollars)","72,596","86,016","96,907","94,633","66,984","102,345","62,606"
"        Male householder, no spouse present, family","7.1%","6.3%","5.6%","6.2%","6.0%","3.8%","8.6%"
"    Median income (dollars)","41,474","55,731","68,246","64,992","54,164","63,301","49,281"
"        Female householder, no husband present, family","19.7%","11.2%","15.1%","18.4%","15.0%","4.8%","15.4%"
"    Median income (dollars)","30,085","45,153","52,382","57,098","34,743","52,129","37,821"
"    Individuals","309,349,689","3,456,912","774,600","2,512,686","1,456,076","2,765,155","1,625,365"
"    Per capita income (dollars)","26,059","30,748","38,939","28,953","26,417","37,444","20,633"
"    With earnings for full-time, year-round workers:","","","","","","",""
"        Male","54,540,775","649,098","151,069","460,168","245,280","678,689","290,631"
"        Female","41,906,797","538,373","125,653","549,374","222,315","357,863","238,014"
"        Mean earnings (dollars) for full-time, year-round workers:","","","","","","",""
"            Male","62,407","74,203","81,452","55,429","67,829","89,861","51,564"
"            Female","45,097","58,636","58,496","53,256","51,781","66,661","40,721"
"        Median earnings (dollars) full-time, year-round workers:","","","","","","",""
"            Male","46,500","57,061","64,201","45,331","50,108","74,997","39,359"
"            Female","36,551","47,224","49,490","43,637","40,923","54,918","30,382"
"HEALTH INSURANCE COVERAGE","","","","","","",""
"    Civilian noninstitutionalized population","304,287,836","3,446,365","767,028","2,488,243","1,445,008","2,760,630","1,616,170"
"    With private health insurance","65.8%","69.1%","86.3%","77.4%","60.5%","79.0%","55.8%"
"    With public coverage","29.7%","21.3%","25.7%","18.0%","17.0%","12.4%","27.2%"
"    No health insurance coverage","15.5%","14.3%","6.1%","11.7%","26.8%","12.1%","20.3%"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","",""
"    All families","11.3%","9.4%","3.5%","4.4%","11.8%","5.7%","13.2%"
"        With related children under 18 years","17.9%","9.8%","5.0%","5.7%","13.8%","6.4%","15.2%"
"            With related children under 5 years only","19.3%","8.1%","5.8%","7.2%","10.5%","4.6%","11.0%"
"    Married-couple family","5.6%","7.8%","1.8%","2.4%","9.3%","4.6%","10.9%"
"        With related children under 18 years","8.4%","7.6%","2.2%","2.4%","9.5%","5.2%","11.9%"
"            With related children under 5 years only","7.6%","6.0%","4.0%","2.3%","7.6%","4.0%","8.8%"
"    Female householder, no husband present, family","30.3%","18.8%","13.1%","12.4%","25.7%","20.9%","23.5%"
"        With related children under 18 years","39.6%","25.0%","19.5%","18.4%","35.6%","31.0%","32.6%"
"            With related children under 5 years only","47.7%","25.3%","26.8%","22.4%","38.4%","19.7%","25.8%"
"    All people","15.3%","13.9%","8.0%","6.1%","15.8%","8.5%","15.6%"
"    Under 18 years","21.6%","10.8%","6.2%","6.3%","14.1%","7.7%","17.5%"
"        Related children under 18 years","21.2%","10.3%","5.8%","5.8%","13.2%","7.6%","17.2%"
"            Related children under 5 years","25.0%","10.7%","5.4%","6.9%","11.5%","6.3%","14.2%"
"            Related children 5 to 17 years","19.8%","10.1%","6.0%","5.5%","13.7%","8.3%","18.2%"
"    18 years and over","13.3%","14.6%","8.2%","6.1%","16.2%","8.8%","14.9%"
"    18 to 64 years","14.2%","13.9%","9.0%","5.8%","15.5%","8.9%","14.6%"
"    65 years and over","9.0%","18.9%","6.0%","7.4%","20.9%","8.0%","17.9%"
"    People in families","12.8%","9.2%","3.3%","3.7%","10.5%","6.2%","13.0%"
"    Unrelated individuals 15 years and over","26.2%","37.2%","22.3%","21.9%","40.5%","28.1%","37.4%"
"HOUSING TENURE","","","","","","",""
"    Occupied housing units","114,567,419","1,150,817","334,726","713,898","507,203","876,534","445,377"
"    Owner-occupied housing units","65.4%","62.1%","64.7%","62.8%","47.9%","56.1%","63.6%"
"    Renter-occupied housing units","34.6%","37.9%","35.3%","37.2%","52.1%","43.9%","36.4%"
"    Average household size of owner-occupied unit","2.70","3.14","2.42","3.63","2.95","3.54","3.93"
"    Average household size of renter-occupied unit","2.50","2.43","2.04","3.01","2.36","2.59","2.99"
"UNITS IN STRUCTURE","","","","","","",""
"    Occupied housing units","114,567,419","1,150,817","334,726","713,898","507,203","876,534","445,377"
"    1-unit, detached or attached","69.0%","58.1%","65.0%","67.6%","49.7%","55.4%","72.4%"
"    2 to 4 units","7.9%","10.9%","6.6%","8.0%","9.4%","9.2%","7.6%"
"    5 or more units","17.0%","30.5%","27.0%","23.5%","40.0%","35.2%","17.4%"
"    Mobile home, boat, RV, van, etc.","6.1%","0.6%","1.4%","0.9%","0.9%","0.2%","2.6%"
"YEAR STRUCTURE BUILT","","","","","","",""
"    Occupied housing units","114,567,419","1,150,817","334,726","713,898","507,203","876,534","445,377"
"    Built 2000 or later","14.8%","17.0%","12.7%","22.3%","22.8%","26.7%","23.7%"
"    Built 1990 to 1999","14.1%","14.2%","13.6%","14.5%","16.0%","19.4%","14.9%"
"    Built 1980 to 1989","13.9%","13.4%","13.8%","15.7%","14.6%","14.8%","13.5%"
"    Built 1960 to 1979","27.2%","25.3%","33.4%","26.5%","26.9%","22.0%","27.8%"
"    Built 1940 to 1959","16.7%","16.4%","18.1%","13.8%","10.9%","10.2%","13.3%"
