"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"        Family households","65.5%","67.7%","59.2%","77.9%","67.8%","80.3%","78.2%"
"            With own children of the householder under 18 years","27.4%","29.1%","18.7%","33.0%","28.8%","47.3%","37.5%"
"            Married-couple family","48.2%","54.7%","47.7%","59.0%","55.6%","74.2%","59.2%"
"                With own children of the householder under 18 years","18.6%","24.7%","15.7%","26.5%","24.8%","45.1%","30.5%"
"            Female householder, no husband present, family","12.4%","8.6%","8.5%","14.2%","8.9%","3.5%","12.0%"
"                With own children of the householder under 18 years","6.5%","3.3%","2.4%","5.1%","3.2%","1.6%","5.1%"
"        Nonfamily households","34.5%","32.3%","40.8%","22.1%","32.2%","19.7%","21.8%"
"            Male householder","16.2%","15.3%","18.0%","9.2%","13.0%","12.8%","11.6%"
"                Living alone","12.5%","10.2%","15.6%","6.6%","9.7%","9.0%","8.7%"
"                Not living alone","3.7%","5.1%","2.4%","2.6%","3.3%","3.8%","3.0%"
"            Female householder","18.3%","17.0%","22.8%","12.9%","19.3%","6.9%","10.2%"
"                Living alone","15.4%","12.4%","20.1%","9.6%","16.3%","5.3%","7.7%"
"                Not living alone","2.9%","4.6%","2.7%","3.2%","2.9%","1.6%","2.5%"
"    Average household size","2.65","2.80","2.28","3.41","2.61","3.10","3.41"
"    Average family size","3.26","3.32","2.97","3.82","3.17","3.45","3.84"
"MARITAL STATUS","","","","","","",""
"    Population 15 years and over","264,697,304","3,750,975","708,943","2,547,280","1,289,902","3,254,527","1,541,218"
"        Now married, except separated","47.8%","56.7%","56.7%","54.9%","56.7%","69.2%","53.3%"
"        Widowed","5.7%","4.4%","9.1%","5.9%","4.6%","3.2%","4.2%"
"        Divorced","10.9%","4.9%","8.5%","6.4%","5.9%","2.6%","7.0%"
"        Separated","1.9%","0.9%","1.2%","1.7%","1.3%","0.6%","1.4%"
"        Never married","33.7%","33.1%","24.5%","31.1%","31.5%","24.4%","34.1%"
"    Male 15 years and over","129,185,808","1,728,296","299,229","1,087,129","559,371","1,687,514","722,801"
"        Now married, except separated","49.3%","57.7%","57.3%","53.7%","56.0%","68.2%","54.3%"
"        Widowed","2.6%","1.5%","3.5%","2.0%","1.3%","1.2%","1.3%"
"        Divorced","9.6%","3.6%","7.2%","4.8%","3.8%","2.2%","5.7%"
"        Separated","1.6%","0.7%","1.1%","1.1%","1.0%","0.5%","1.1%"
"        Never married","36.9%","36.5%","30.9%","38.5%","37.9%","27.8%","37.5%"
"    Female 15 years and over","135,511,496","2,022,679","409,714","1,460,151","730,531","1,567,013","818,417"
"        Now married, except separated","46.4%","55.8%","56.3%","55.9%","57.3%","70.2%","52.4%"
"        Widowed","8.7%","6.9%","13.1%","8.8%","7.1%","5.2%","6.8%"
"        Divorced","12.1%","6.1%","9.5%","7.7%","7.5%","3.1%","8.1%"
"        Separated","2.2%","1.0%","1.4%","2.1%","1.5%","0.7%","1.6%"
"        Never married","30.6%","30.2%","19.7%","25.6%","26.7%","20.8%","31.1%"
"SCHOOL ENROLLMENT","","","","","","",""
"    Population 3 years and over enrolled in school","81,273,337","1,191,761","116,069","667,603","379,257","1,123,481","516,347"
"        Nursery school, preschool","6.0%","4.8%","5.2%","3.2%","5.2%","8.3%","3.5%"
"        Kindergarten","4.9%","3.7%","5.1%","3.4%","3.1%","5.8%","3.7%"
"        Elementary school (grades 1-8)","40.5%","26.8%","26.4%","31.7%","27.1%","37.6%","32.3%"
"        High school (grades 9-12)","21.1%","16.3%","14.3%","20.6%","16.9%","14.3%","19.9%"
"        College or graduate school","27.4%","48.4%","49.0%","41.1%","47.8%","34.0%","40.6%"
"    Male 3 years and over enrolled in school","40,306,098","574,437","56,736","330,144","192,537","575,251","253,942"
"        Percent enrolled in kindergarten to grade 12","68.9%","45.9%","48.9%","58.6%","46.9%","56.8%","57.9%"
"        Percent enrolled in college or graduate school","24.9%","48.9%","45.5%","37.9%","48.1%","35.2%","38.5%"
"    Female 3 years and over enrolled in school","40,967,239","617,324","59,333","337,459","186,720","548,230","262,405"
"        Percent enrolled in kindergarten to grade 12","64.3%","47.7%","42.8%","52.9%","47.1%","58.7%","54.0%"
"        Percent enrolled in college or graduate school","29.9%","48.0%","52.4%","44.2%","47.4%","32.7%","42.7%"
"EDUCATIONAL ATTAINMENT","","","","","","",""
"    Population 25 years and over","221,250,083","3,134,040","650,698","2,181,189","1,107,725","2,822,133","1,275,334"
"        Less than high school diploma","12.0%","16.5%","4.6%","6.7%","7.2%","7.7%","25.8%"
"        High school graduate (includes equivalency)","27.1%","14.7%","17.9%","15.2%","16.9%","8.3%","21.3%"
"        Some college or associate's degree","28.9%","13.4%","25.5%","28.9%","19.6%","9.4%","22.4%"
"        Bachelor's degree","19.7%","26.9%","33.8%","39.7%","34.6%","32.3%","20.9%"
"        Graduate or professional degree","12.3%","28.4%","18.2%","9.4%","21.7%","42.3%","9.5%"
"    High school graduate or higher","88.0%","83.5%","95.4%","93.3%","92.8%","92.3%","74.2%"
"        Male, high school graduate or higher","87.3%","85.2%","96.8%","94.3%","95.4%","94.2%","77.8%"
"        Female, high school graduate or higher","88.6%","82.0%","94.4%","92.6%","90.8%","90.2%","71.0%"
"    Bachelor's degree or higher","32.0%","55.3%","52.0%","49.2%","56.3%","74.6%","30.4%"
"        Male, bachelor's degree or higher","31.3%","57.8%","57.9%","44.8%","61.5%","77.9%","32.1%"
"        Female, bachelor's degree or higher","32.6%","53.2%","47.9%","52.2%","52.5%","71.1%","29.0%"
"FERTILITY","","","","","","",""
"    Women 15 to 50 years","76,791,565","1,244,599","174,444","838,490","441,682","1,178,953","526,468"
"        Women 15 to 50 years who had a birth in the past 12 months","3,997,394","56,553","7,149","39,944","18,418","71,226","21,401"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","1,348,315","5,101","408","7,079","1,467","1,558","3,034"
"                As a percent of all women with a birth in the past 12 months","33.7%","9.0%","5.7%","17.7%","8.0%","2.2%","14.2%"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","","","","",""
"    Population 30 years and over","198,164,294","2,737,560","616,642","1,972,221","995,465","2,427,048","1,142,512"
"        Grandparents living with grandchild(ren)","3.7%","5.7%","2.3%","7.2%","2.5%","6.1%","6.5%"
"            Grandparents responsible for grandchildren as a percentage of living with grandchildren","33.4%","16.0%","18.8%","16.3%","17.0%","9.1%","14.0%"
"VETERAN STATUS","","","","","","",""
"    Civilian population 18 years and over","251,047,650","3,599,381","694,803","2,429,924","1,237,644","3,135,467","1,464,557"
"        Civilian veteran","7.3%","1.2%","6.2%","4.4%","2.4%","0.7%","1.7%"
"DISABILITY STATUS","","","","","","",""
"    Total civilian noninstitutionalized population","320,775,014","4,331,191","764,392","2,886,237","1,466,503","4,085,920","1,819,513"
"        With a disability","12.7%","6.5%","12.1%","9.3%","6.3%","4.8%","8.4%"
"    Civilian noninstitutionalized population under 18 years","73,509,396","739,404","73,661","465,254","233,514","956,791","359,513"
"        With a disability","4.2%","2.0%","2.0%","3.0%","1.8%","1.6%","2.8%"
"    Civilian noninstitutionalized population 18 to 64 years","197,765,139","2,977,362","477,078","1,973,674","1,033,169","2,805,200","1,237,053"
"        With a disability","10.3%","3.2%","5.2%","5.6%","3.7%","3.2%","5.2%"
"    Civilian noninstitutionalized population 65 years and older","49,500,479","614,425","213,653","447,309","199,820","323,929","222,947"
"        With a disability","34.6%","28.2%","31.1%","31.8%","25.0%","27.8%","35.1%"
"RESIDENCE 1 YEAR AGO","","","","","","",""
"    Population 1 year and over","321,994,428","4,310,505","766,777","2,895,760","1,466,952","4,038,800","1,815,653"
"        Same house","85.7%","83.3%","86.3%","87.7%","82.7%","79.8%","88.1%"
"        Different house in the U.S.","13.6%","12.5%","9.6%","10.6%","14.9%","16.2%","10.6%"
"            Same county","8.1%","6.9%","5.6%","6.7%","8.1%","8.5%","6.0%"
"            Different county","5.6%","5.6%","4.0%","3.8%","6.8%","7.7%","4.6%"
"                Same state","3.3%","2.9%","1.7%","2.1%","3.5%","3.3%","2.9%"
"                Different state","2.3%","2.7%","2.3%","1.7%","3.3%","4.4%","1.7%"
"        Abroad","0.7%","4.2%","4.1%","1.8%","2.4%","4.0%","1.4%"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","","","","","","",""
"    Native","281,193,323","1,313,017","446,277","1,017,102","428,480","1,171,829","611,597"
"        Male","49.4%","50.9%","50.0%","50.9%","49.8%","51.3%","50.9%"
"        Female","50.6%","49.1%","50.0%","49.1%","50.2%","48.7%","49.1%"
"    Foreign born","44,525,855","3,031,964","324,269","1,894,566","1,048,802","2,922,710","1,215,401"
"        Male","48.4%","44.6%","33.8%","39.7%","42.1%","51.7%","46.0%"
"        Female","51.6%","55.4%","66.2%","60.3%","57.9%","48.3%","54.0%"
"    Foreign born; naturalized U.S. citizen","21,948,732","1,702,017","104,627","1,318,735","651,268","1,373,226","924,192"
"        Male","45.9%","42.7%","29.1%","39.5%","40.6%","50.2%","47.0%"
"        Female","54.1%","57.3%","70.9%","60.5%","59.4%","49.8%","53.0%"
"    Foreign born; not a U.S. citizen","22,577,123","1,329,947","219,642","575,831","397,534","1,549,484","291,209"
"        Male","50.8%","47.0%","36.0%","40.2%","44.6%","53.0%","42.8%"
"        Female","49.2%","53.0%","64.0%","59.8%","55.4%","47.0%","57.2%"
"    Population born outside the United States","44,525,855","3,031,964","324,269","1,894,566","1,048,802","2,922,710","1,215,401"
"        Entered 2010 or later","21.3%","28.7%","32.3%","18.5%","16.9%","36.4%","16.9%"
"        Entered 2000 to 2009","25.7%","22.8%","16.1%","25.3%","21.5%","27.7%","18.9%"
"        Entered before 2000","53.0%","48.6%","51.6%","56.3%","61.6%","35.9%","64.2%"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","",""
"    Foreign-born population excluding population born at sea","44,525,458","3,031,964","324,269","1,894,566","1,048,802","2,922,710","1,215,401"
"        Europe","10.8%","0.2%","0.4%","0.2%","0.3%","1.0%","0.3%"
"        Asia","31.2%","98.0%","96.4%","99.1%","98.8%","93.1%","99.4%"
"        Africa","5.1%","0.1%","0.1%","0.1%","0.2%","1.4%","0.0%"
"        Oceania","0.6%","0.1%","0.0%","0.1%","0.1%","0.5%","0.0%"
"        Latin America","50.4%","1.0%","2.5%","0.4%","0.5%","3.4%","0.2%"
"        Northern America","1.8%","0.6%","0.6%","0.2%","0.2%","0.6%","0.1%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","",""
"    Population 5 years and over","305,924,019","4,159,149","750,141","2,815,380","1,420,689","3,799,906","1,753,236"
"        English only","78.2%","19.9%","56.0%","35.7%","26.2%","23.2%","16.9%"
"        Language other than English","21.8%","80.1%","44.0%","64.3%","73.8%","76.8%","83.1%"
"            Speak English less than ""very well""","8.5%","44.8%","22.4%","20.9%","39.4%","18.7%","48.9%"
"EMPLOYMENT STATUS","","","","","","",""
"    Population 16 years and over","260,564,248","3,703,916","705,440","2,515,486","1,276,214","3,210,826","1,519,511"
"        In labor force","63.2%","60.8%","55.1%","69.0%","62.2%","69.3%","65.2%"
"            Civilian labor force","62.8%","60.7%","54.8%","68.3%","61.7%","69.3%","65.0%"
"                Employed","59.5%","58.2%","53.2%","65.7%","59.1%","66.5%","62.3%"
"                Unemployed","3.3%","2.5%","1.5%","2.6%","2.6%","2.8%","2.7%"
"                    Unemployment Rate","5.3%","4.1%","2.8%","3.8%","4.2%","4.0%","4.1%"
"            Armed Forces","0.4%","0.2%","0.3%","0.6%","0.5%","0.1%","0.2%"
"        Not in labor force","36.8%","39.2%","44.9%","31.0%","37.8%","30.7%","34.8%"
"    Females 16 years and over","133,482,879","1,996,498","407,970","1,446,743","723,942","1,543,762","807,898"
"        In labor force","58.3%","56.0%","47.0%","66.3%","55.0%","56.7%","62.1%"
"            Civilian labor force","58.2%","55.9%","46.9%","66.2%","54.8%","56.7%","62.1%"
"                Employed","55.2%","53.5%","45.6%","63.8%","52.5%","53.5%","59.8%"
"                Unemployed","3.0%","2.4%","1.3%","2.3%","2.3%","3.2%","2.3%"
"                    Unemployment Rate","5.2%","4.3%","2.9%","3.5%","4.2%","5.7%","3.7%"
"COMMUTING TO WORK","","","","","","",""
"    Workers 16 years and over","152,802,672","2,099,548","368,233","1,619,615","742,141","2,076,496","927,465"
"        Car, truck, or van - drove alone","76.4%","57.6%","72.5%","69.4%","69.4%","67.1%","71.3%"
"        Car, truck, or van - carpooled","8.9%","11.8%","7.7%","13.6%","11.0%","9.9%","16.8%"
"        Public transportation (excluding taxicab)","5.0%","17.1%","8.0%","8.5%","9.1%","11.3%","4.4%"
"        Walked","2.7%","6.3%","4.1%","2.7%","3.6%","3.6%","1.9%"
"        Other means","1.8%","1.9%","1.9%","2.0%","1.7%","2.3%","1.6%"
"        Worked at home","5.2%","5.4%","5.7%","3.9%","5.1%","5.8%","3.9%"
"        Mean travel time to work (minutes)","26.9","32.6","28.3","29.3","30.1","31.0","28.0"
"OCCUPATION","","","","","","",""
"    Civilian employed population 16 years and over","155,058,331","2,154,613","375,631","1,653,230","754,138","2,135,421","946,900"
"        Management, business, science, and arts occupations","38.2%","56.2%","56.0%","43.8%","52.7%","70.0%","34.0%"
"        Service occupations","17.9%","16.9%","13.0%","21.8%","14.9%","7.1%","30.2%"
"        Sales and office occupations","22.9%","18.1%","22.8%","21.9%","22.8%","15.5%","16.1%"
"        Natural resources, construction, and maintenance occupations","8.9%","2.5%","3.3%","3.5%","2.7%","1.5%","4.9%"
"        Production, transportation, and material moving occupations","12.2%","6.4%","4.9%","9.0%","6.9%","5.9%","14.8%"
"    Male civilian employed population 16 years and over","81,425,002","1,086,884","189,707","729,699","374,265","1,309,556","463,845"
"        Management, business, science, and arts occupations","34.4%","58.2%","57.4%","39.2%","54.5%","72.2%","35.8%"
"        Service occupations","14.9%","14.8%","12.0%","20.8%","11.5%","5.2%","20.6%"
"        Sales and office occupations","16.9%","14.2%","17.9%","18.7%","20.1%","13.4%","14.2%"
"        Natural resources, construction, and maintenance occupations","16.0%","4.6%","6.1%","7.5%","5.0%","2.1%","9.4%"
"        Production, transportation, and material moving occupations","17.9%","8.2%","6.5%","13.9%","8.8%","7.2%","20.1%"
"    Female civilian employed population 16 years and over","73,633,329","1,067,729","185,924","923,531","379,873","825,865","483,055"
"        Management, business, science, and arts occupations","42.3%","54.2%","54.5%","47.5%","51.0%","66.7%","32.3%"
"        Service occupations","21.2%","19.0%","14.0%","22.6%","18.2%","10.2%","39.4%"
"        Sales and office occupations","29.6%","22.0%","27.8%","24.4%","25.5%","18.9%","18.0%"
"        Natural resources, construction, and maintenance occupations","0.9%","0.4%","0.4%","0.4%","0.4%","0.5%","0.6%"
"        Production, transportation, and material moving occupations","5.9%","4.4%","3.3%","5.1%","5.0%","3.8%","9.8%"
"INDUSTRY","","","","","","",""
"    Civilian employed population 16 years and over","155,058,331","2,154,613","375,631","1,653,230","754,138","2,135,421","946,900"
"        Agriculture, forestry, fishing and hunting, and mining","1.7%","0.3%","0.6%","0.4%","0.3%","0.5%","0.9%"
"        Construction","6.6%","2.2%","2.6%","2.0%","2.5%","1.3%","2.7%"
"        Manufacturing","10.1%","11.0%","11.8%","8.3%","8.7%","10.3%","16.7%"
"        Wholesale trade","2.6%","3.2%","3.9%","1.7%","3.6%","1.8%","1.6%"
"        Retail trade","11.2%","7.9%","8.2%","10.6%","12.2%","10.3%","9.4%"
"        Transportation and warehousing, and utilities","5.4%","3.8%","4.6%","4.7%","3.5%","4.2%","3.3%"
"        Information","2.0%","2.9%","2.5%","1.7%","2.4%","3.4%","1.8%"
"        Finance and insurance, and real estate and rental and leasing","6.6%","8.7%","7.8%","6.3%","7.1%","9.8%","4.9%"
"        Professional, scientific, and management, and administrative and waste management services","11.5%","15.3%","14.9%","8.8%","13.5%","26.5%","8.9%"
"        Educational services, and health care and social assistance","23.1%","23.6%","23.6%","36.3%","23.0%","22.2%","16.6%"
"        Arts, entertainment, and recreation, and accommodation and food services","9.7%","13.5%","10.4%","11.6%","11.8%","5.3%","8.9%"
"        Other services (except public administration)","4.9%","4.1%","3.6%","3.5%","8.4%","2.0%","21.7%"
"        Public administration","4.6%","3.4%","5.5%","4.0%","3.1%","2.4%","2.7%"
"CLASS OF WORKER","","","","","","",""
"    Civilian employed population 16 years and over","155,058,331","2,154,613","375,631","1,653,230","754,138","2,135,421","946,900"
"        Private wage and salary workers","80.3%","82.2%","77.1%","83.2%","80.1%","87.9%","81.9%"
"        Government workers","13.5%","12.3%","16.5%","13.5%","10.8%","8.9%","8.8%"
"        Self-employed workers in own not incorporated business","6.0%","5.2%","6.2%","3.2%","8.4%","3.1%","8.9%"
"        Unpaid family workers","0.2%","0.3%","0.2%","0.1%","0.6%","0.1%","0.4%"
"INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","",""
"    Households","120,062,818","1,504,852","330,213","824,910","526,775","1,309,793","524,097"
"        Median household income (dollars)","60,336","77,136","79,504","90,815","67,870","114,261","64,586"
"    With earnings","77.6%","82.3%","72.7%","88.9%","82.9%","94.4%","88.7%"
"        Mean earnings (dollars)","86,721","116,624","110,875","107,258","106,175","148,019","91,973"
"    With Social Security income","31.2%","19.7%","37.7%","27.4%","19.9%","11.0%","20.6%"
"        Mean Social Security income (dollars)","19,052","16,431","20,269","18,628","15,706","19,663","14,285"
"    With Supplemental Security Income","5.3%","5.3%","2.4%","5.3%","4.9%","2.2%","8.4%"
"        Mean Supplemental Security Income (dollars)","9,719","8,638","10,260","8,899","8,548","8,456","9,107"
"    With cash public assistance income","2.3%","2.1%","0.7%","2.3%","1.5%","1.2%","2.9%"
"        Mean cash public assistance income (dollars)","3,032","3,210","2,504","3,573","4,921","3,869","3,279"
"    With retirement income","18.7%","8.6%","26.4%","16.9%","6.5%","4.8%","7.6%"
"        Mean retirement income (dollars)","26,664","29,249","33,240","25,335","28,757","29,239","19,473"
"    With Food Stamp/SNAP benefits","11.7%","6.6%","2.2%","6.2%","5.6%","3.7%","11.3%"
"    Families","78,631,163","1,018,371","195,396","642,549","357,091","1,051,292","409,865"
"        Median family income (dollars)","73,891","94,123","103,040","100,142","82,335","126,600","71,840"
"            Married-couple family","73.6%","80.9%","80.6%","75.8%","82.0%","92.4%","75.7%"
"        Median income (dollars)","88,315","103,720","112,680","109,577","91,737","131,893","78,358"
"            Male householder, no spouse present, family","7.5%","6.4%","5.0%","6.0%","4.9%","3.2%","9.0%"
"        Median income (dollars)","50,886","67,921","92,407","75,224","59,603","75,762","57,658"
"            Female householder, no husband present, family","18.9%","12.8%","14.4%","18.2%","13.1%","4.4%","15.3%"
"        Median income (dollars)","36,959","53,059","60,947","68,072","48,269","68,091","46,731"
"    Individuals","325,719,178","4,344,981","770,546","2,911,668","1,477,282","4,094,539","1,826,998"
"        Per capita income (dollars)","32,397","39,965","46,992","34,528","37,800","49,778","28,099"
"    With earnings for full-time, year-round workers:","","","","","","",""
"        Male","63,386,656","810,326","147,299","558,239","280,415","1,061,637","342,015"
"        Female","47,526,891","687,177","120,523","647,589","232,126","551,927","312,165"
"    Mean earnings (dollars) for full-time, year-round workers:","","","","","","",""
"        Male","71,875","94,058","95,633","63,947","89,386","113,664","66,922"
"        Female","53,520","75,422","70,959","59,073","68,562","85,201","51,289"
"    Median earnings (dollars) full-time, year-round workers:","","","","","","",""
"        Male","51,284","71,096","71,874","50,997","62,198","92,280","49,226"
"        Female","41,453","60,157","56,248","48,624","51,579","71,042","37,224"
"HEALTH INSURANCE COVERAGE","","","","","","",""
"    Civilian noninstitutionalized population","320,775,014","4,331,191","764,392","2,886,237","1,466,503","4,085,920","1,819,513"
"        With private health insurance","67.6%","71.8%","84.6%","78.4%","72.3%","83.2%","64.0%"
"        With public coverage","35.5%","27.8%","32.3%","25.8%","25.0%","15.8%","32.9%"
"        No health insurance coverage","8.7%","6.5%","3.4%","5.6%","9.1%","5.0%","8.1%"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","",""
"    All families","9.5%","9.9%","3.8%","4.1%","8.7%","4.1%","10.7%"
"        With related children of the householder under 18 years","15.0%","10.9%","5.0%","5.3%","9.5%","4.1%","12.4%"
"            With related children of the householder under 5 years only","14.2%","10.0%","4.1%","5.8%","8.6%","2.8%","8.6%"
"        Married-couple family","4.8%","8.1%","2.5%","2.2%","6.7%","3.5%","7.6%"
"            With related children of the householder under 18 years","6.6%","7.4%","1.8%","2.2%","6.4%","3.4%","8.0%"
"                With related children of the householder under 5 years only","5.1%","7.2%","3.2%","1.5%","7.6%","2.3%","4.5%"
"        Female householder, no husband present, family","26.2%","20.1%","11.1%","11.0%","19.2%","13.6%","22.6%"
"            With related children of the householder under 18 years","35.7%","31.3%","22.1%","16.8%","28.8%","21.2%","32.7%"
"                With related children of the householder under 5 years only","40.2%","33.9%","20.9%","25.7%","25.2%","23.7%","32.8%"
"    All people","13.4%","14.7%","7.5%","6.0%","12.2%","7.0%","13.4%"
"        Under 18 years","18.4%","12.6%","6.1%","5.4%","9.6%","5.5%","14.6%"
"            Related children of the householder under 18 years","18.1%","11.4%","4.8%","5.0%","8.9%","5.4%","14.3%"
"                Related children of the householder under 5 years","20.2%","12.9%","4.2%","5.2%","9.9%","5.0%","14.7%"
"                Related children of the householder 5 to 17 years","17.3%","10.8%","5.0%","4.9%","8.6%","5.6%","14.2%"
"        18 years and over","11.9%","15.1%","7.6%","6.1%","12.7%","7.4%","13.1%"
"        18 to 64 years","12.6%","14.6%","7.8%","5.8%","11.6%","7.5%","12.5%"
"        65 years and over","9.3%","17.8%","7.2%","7.2%","18.2%","7.4%","16.6%"
"        People in families","10.7%","9.1%","3.5%","3.4%","7.4%","4.4%","10.2%"
"        Unrelated individuals 15 years and over","24.9%","37.5%","19.6%","23.0%","34.1%","27.5%","37.2%"
"HOUSING TENURE","","","","","","",""
"    Occupied housing units","120,062,818","1,504,852","330,213","824,910","526,775","1,309,793","524,097"
"        Owner-occupied housing units","63.9%","63.3%","66.9%","62.0%","51.4%","56.4%","66.0%"
"        Renter-occupied housing units","36.1%","36.7%","33.1%","38.0%","48.6%","43.6%","34.0%"
"    Average household size of owner-occupied unit","2.72","3.04","2.39","3.64","2.88","3.45","3.72"
"    Average household size of renter-occupied unit","2.51","2.38","2.05","3.04","2.32","2.65","2.80"
"UNITS IN STRUCTURE","","","","","","",""
"    Occupied housing units","120,062,818","1,504,852","330,213","824,910","526,775","1,309,793","524,097"
"        1-unit, detached or attached","68.9%","58.9%","65.2%","67.8%","53.7%","56.4%","73.1%"
"        2 to 4 units","7.7%","9.8%","5.8%","7.4%","7.6%","8.0%","7.0%"
"        5 or more units","17.8%","30.8%","27.9%","23.5%","37.7%","35.3%","17.2%"
"        Mobile home, boat, RV, van, etc.","5.6%","0.5%","1.0%","1.3%","1.0%","0.3%","2.7%"
"YEAR STRUCTURE BUILT","","","","","","",""
"    Occupied housing units","120,062,818","1,504,852","330,213","824,910","526,775","1,309,793","524,097"
"        Built 2014 or later","2.4%","3.7%","2.5%","3.0%","4.0%","6.9%","3.1%"
