"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"            With own children under 18 years","28.6%","30.6%","20.8%","35.8%","30.3%","46.3%","42.0%"
"            Married-couple family","48.0%","56.1%","47.8%","59.0%","55.4%","72.8%","60.7%"
"                With own children under 18 years","19.1%","26.3%","17.2%","28.1%","25.9%","43.4%","34.5%"
"            Female householder, no husband present, family","13.1%","8.3%","9.1%","14.2%","9.1%","3.9%","12.1%"
"                With own children under 18 years","7.2%","3.3%","2.6%","5.9%","3.6%","2.0%","5.3%"
"        Nonfamily households","34.1%","31.4%","39.6%","21.7%","31.5%","20.4%","20.0%"
"            Male householder","15.9%","15.1%","17.9%","8.6%","13.4%","13.4%","10.1%"
"                Living alone","12.3%","10.2%","15.3%","5.9%","10.5%","9.5%","7.8%"
"                Not living alone","3.5%","4.9%","2.5%","2.7%","2.9%","3.9%","2.3%"
"            Female householder","18.2%","16.3%","21.7%","13.1%","18.1%","7.0%","9.9%"
"                Living alone","15.4%","12.3%","19.4%","10.0%","14.5%","5.5%","7.5%"
"                Not living alone","2.8%","3.9%","2.3%","3.1%","3.6%","1.5%","2.4%"
"    Average household size","2.65","2.82","2.34","3.45","2.67","3.09","3.53"
"    Average family size","3.26","3.35","3.04","3.86","3.24","3.48","3.93"
"MARITAL STATUS","","","","","","",""
"    Population 15 years and over","255,017,166","3,214,161","724,124","2,284,479","1,242,397","2,517,063","1,371,006"
"        Now married, except separated","47.9%","56.8%","56.2%","55.3%","56.1%","69.1%","54.5%"
"        Widowed","5.9%","4.4%","9.3%","5.5%","4.2%","3.1%","4.1%"
"        Divorced","11.0%","4.7%","8.8%","6.5%","5.8%","2.7%","6.4%"
"        Separated","2.2%","1.1%","1.2%","1.8%","1.3%","0.7%","1.4%"
"        Never married","33.1%","32.9%","24.5%","30.9%","32.6%","24.3%","33.5%"
"    Male 15 years and over","124,380,019","1,502,194","304,465","977,531","540,263","1,303,930","653,467"
"        Now married, except separated","49.6%","57.4%","55.5%","54.2%","55.9%","67.9%","55.3%"
"        Widowed","2.6%","1.7%","3.3%","1.9%","1.1%","1.1%","1.6%"
"        Divorced","9.7%","3.5%","7.5%","4.9%","3.8%","2.6%","5.3%"
"        Separated","1.8%","0.9%","1.1%","1.4%","1.2%","0.7%","1.2%"
"        Never married","36.3%","36.5%","32.5%","37.8%","38.0%","27.7%","36.5%"
"    Female 15 years and over","130,637,147","1,711,967","419,659","1,306,948","702,134","1,213,133","717,539"
"        Now married, except separated","46.2%","56.3%","56.7%","56.2%","56.4%","70.4%","53.8%"
"        Widowed","9.1%","6.8%","13.7%","8.2%","6.6%","5.3%","6.3%"
"        Divorced","12.3%","5.8%","9.7%","7.7%","7.3%","2.9%","7.4%"
"        Separated","2.5%","1.3%","1.2%","2.1%","1.3%","0.8%","1.7%"
"        Never married","30.0%","29.8%","18.7%","25.8%","28.4%","20.7%","30.8%"
"SCHOOL ENROLLMENT","","","","","","",""
"    Population 3 years and over enrolled in school","82,395,254","1,104,931","127,177","638,775","412,777","872,911","509,201"
"        Nursery school, preschool","6.0%","4.5%","5.4%","3.7%","5.1%","8.7%","4.2%"
"        Kindergarten","5.2%","3.7%","4.2%","3.9%","3.5%","5.9%","4.5%"
"        Elementary school (grades 1-8)","40.0%","29.2%","29.5%","34.2%","27.9%","36.9%","36.6%"
"        High school (grades 9-12)","20.6%","14.9%","12.2%","19.5%","16.7%","14.0%","18.5%"
"        College or graduate school","28.3%","47.6%","48.6%","38.7%","46.8%","34.5%","36.2%"
"    Male 3 years and over enrolled in school","40,728,035","525,992","62,282","319,822","213,029","446,112","262,339"
"        Percent enrolled in kindergarten to grade 12","68.3%","46.3%","49.6%","60.3%","49.7%","54.8%","60.8%"
"        Percent enrolled in college or graduate school","25.4%","49.0%","44.9%","35.9%","44.4%","36.1%","34.6%"
"    Female 3 years and over enrolled in school","41,667,219","578,939","64,895","318,953","199,748","426,799","246,862"
"        Percent enrolled in kindergarten to grade 12","63.2%","49.2%","42.6%","54.9%","46.5%","58.9%","58.3%"
"        Percent enrolled in college or graduate school","31.1%","46.3%","52.2%","41.6%","49.3%","32.9%","38.0%"
"EDUCATIONAL ATTAINMENT","","","","","","",""
"    Population 25 years and over","210,910,615","2,646,568","667,840","1,947,177","1,040,140","2,172,451","1,135,631"
"        Less than high school diploma","13.4%","18.2%","4.9%","7.3%","7.6%","7.9%","26.9%"
"        High school graduate (includes equivalency)","27.8%","13.9%","19.6%","14.8%","17.6%","8.7%","22.5%"
"        Some college or associate's degree","29.2%","14.6%","26.8%","30.0%","20.9%","10.4%","22.7%"
"        Bachelor's degree","18.4%","26.6%","31.8%","38.7%","33.6%","32.3%","20.1%"
"        Graduate or professional degree","11.2%","26.8%","17.0%","9.1%","20.3%","40.6%","7.8%"
"    High school graduate or higher","86.6%","81.8%","95.1%","92.7%","92.4%","92.1%","73.1%"
"        Male, high school graduate or higher","85.9%","83.1%","96.5%","93.3%","95.7%","94.3%","77.5%"
"        Female, high school graduate or higher","87.2%","80.7%","94.2%","92.2%","90.0%","89.6%","69.2%"
"    Bachelor's degree or higher","29.6%","53.4%","48.8%","47.8%","53.9%","72.9%","27.9%"
"        Male, bachelor's degree or higher","29.6%","56.1%","54.1%","43.5%","61.1%","76.7%","29.8%"
"        Female, bachelor's degree or higher","29.7%","51.0%","45.0%","50.9%","48.7%","68.8%","26.2%"
"FERTILITY","","","","","","",""
"    Women 15 to 50 years","76,129,362","1,095,558","198,449","778,865","441,895","908,654","484,359"
"        Women 15 to 50 years who had a birth in the past 12 months","3,930,417","47,363","10,524","38,768","18,344","59,632","26,703"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","1,415,623","4,243","770","7,211","1,746","1,940","4,532"
"                As a percent of all women with a birth in the past 12 months","36.0%","9.0%","7.3%","18.6%","9.5%","3.3%","17.0%"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","","","","",""
"    Population 30 years and over","189,483,359","2,345,217","632,303","1,757,352","923,991","1,840,117","1,019,560"
"        Living with grandchild(ren)","3.8%","5.5%","2.4%","7.7%","2.8%","6.4%","7.1%"
"            Responsible for grandchild(ren)","37.3%","14.7%","17.0%","16.9%","12.3%","5.9%","16.2%"
"VETERAN STATUS","","","","","","",""
"    Civilian population 18 years and over","241,556,724","3,087,239","711,188","2,175,766","1,186,310","2,423,358","1,297,659"
"        Civilian veteran","8.1%","1.3%","6.4%","4.6%","2.2%","0.6%","1.7%"
"DISABILITY STATUS","","","","","","",""
"    Total civilian noninstitutionalized population","311,158,104","3,767,656","788,338","2,643,364","1,437,411","3,184,043","1,684,062"
"        With a disability","12.6%","6.3%","11.7%","8.8%","5.9%","4.9%","8.1%"
"    Civilian noninstitutionalized population under 18 years","73,446,062","690,120","82,274","474,559","255,874","764,424","392,968"
"        With a disability","4.1%","1.8%","1.5%","2.5%","1.7%","1.4%","2.5%"
"    Civilian noninstitutionalized population 18 to 64 years","194,358,411","2,624,286","512,519","1,818,722","1,013,229","2,187,056","1,133,664"
"        With a disability","10.5%","3.3%","4.8%","5.5%","3.7%","3.3%","5.8%"
"    Civilian noninstitutionalized population 65 years and older","43,353,631","453,250","193,545","350,083","168,308","232,563","157,430"
"        With a disability","36.4%","30.1%","34.4%","34.0%","25.9%","31.6%","38.2%"
"RESIDENCE 1 YEAR AGO","","","","","","",""
"    Population 1 year and over","312,432,820","3,750,338","790,285","2,647,822","1,435,312","3,139,546","1,677,178"
"        Same house","85.0%","83.0%","86.6%","86.1%","79.8%","79.5%","87.4%"
"        Different house in the U.S.","14.4%","12.8%","9.4%","12.2%","16.5%","16.0%","11.2%"
"            Same county","8.9%","7.5%","6.0%","8.2%","10.1%","8.9%","7.3%"
"            Different county","5.5%","5.3%","3.4%","4.0%","6.4%","7.2%","4.0%"
"                Same state","3.2%","2.9%","1.7%","2.4%","3.3%","3.0%","2.5%"
"                Different state","2.3%","2.4%","1.7%","1.6%","3.2%","4.2%","1.5%"
"        Abroad","0.6%","4.2%","4.0%","1.8%","3.7%","4.5%","1.3%"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","","","","","","",""
"    Native","274,780,773","1,165,610","476,296","925,715","399,796","924,036","555,819"
"        Male","49.3%","50.9%","49.3%","51.2%","51.3%","50.5%","52.5%"
"        Female","50.7%","49.1%","50.7%","48.8%","48.7%","49.5%","47.5%"
"    Foreign born","41,348,066","2,616,063","318,145","1,738,891","1,046,796","2,265,449","1,136,941"
"        Male","48.8%","44.8%","33.2%","40.3%","42.7%","51.9%","46.8%"
"        Female","51.2%","55.2%","66.8%","59.7%","57.3%","48.1%","53.2%"
"    Foreign born; naturalized U.S. citizen","19,294,710","1,537,061","97,962","1,182,626","622,515","1,126,512","847,497"
"        Male","45.9%","43.5%","25.9%","40.1%","41.0%","50.8%","48.3%"
"        Female","54.1%","56.5%","74.1%","59.9%","59.0%","49.2%","51.7%"
"    Foreign born; not a U.S. citizen","22,053,356","1,079,002","220,183","556,265","424,281","1,138,937","289,444"
"        Male","51.3%","46.7%","36.5%","40.6%","45.2%","53.0%","42.4%"
"        Female","48.7%","53.3%","63.5%","59.4%","54.8%","47.0%","57.6%"
"    Population born outside the United States","41,348,066","2,616,063","318,145","1,738,891","1,046,796","2,265,449","1,136,941"
"        Entered 2010 or later","9.7%","14.8%","21.0%","8.9%","10.1%","18.0%","8.9%"
"        Entered 2000 to 2009","29.4%","27.0%","21.8%","28.1%","24.4%","35.3%","21.0%"
"        Entered before 2000","61.0%","58.1%","57.2%","63.0%","65.5%","46.7%","70.1%"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","",""
"    Foreign-born population excluding population born at sea","41,347,945","2,616,023","318,145","1,738,851","1,046,796","2,265,449","1,136,941"
"        Europe","11.6%","0.3%","0.4%","0.2%","0.2%","0.9%","0.2%"
"        Asia","29.5%","98.0%","96.4%","99.3%","99.0%","92.0%","99.5%"
"        Africa","4.4%","0.1%","0.0%","0.1%","0.1%","1.8%","0.0%"
"        Oceania","0.5%","0.1%","0.1%","0.0%","0.0%","0.4%","0.0%"
"        Latin America","51.9%","0.9%","2.6%","0.2%","0.4%","4.1%","0.0%"
"        Northern America","2.0%","0.7%","0.6%","0.2%","0.3%","0.8%","0.2%"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","",""
"    Population 5 years and over","296,358,760","3,621,888","770,883","2,559,244","1,385,446","2,933,067","1,603,566"
"        English only","79.2%","19.5%","56.1%","35.0%","23.9%","22.3%","13.8%"
"        Language other than English","20.8%","80.5%","43.9%","65.0%","76.1%","77.7%","86.2%"
"            Speak English less than ""very well""","8.5%","45.3%","23.3%","22.0%","42.0%","20.3%","51.0%"
"EMPLOYMENT STATUS","","","","","","",""
"    Population 16 years and over","250,835,999","3,176,387","720,169","2,251,291","1,226,172","2,485,004","1,347,721"
"        In labor force","63.6%","61.8%","56.6%","69.9%","60.6%","68.9%","65.9%"
"            Civilian labor force","63.2%","61.7%","56.4%","69.3%","60.3%","68.8%","65.8%"
"                Employed","57.9%","57.8%","54.4%","64.5%","56.7%","64.8%","61.4%"
"                Unemployed","5.3%","3.9%","2.1%","4.8%","3.6%","4.0%","4.3%"
"                    Percent of civilian labor force","8.4%","6.3%","3.7%","6.9%","6.0%","5.9%","6.6%"
"            Armed Forces","0.4%","0.1%","0.1%","0.6%","0.4%","0.1%","0.2%"
"        Not in labor force","36.4%","38.2%","43.4%","30.1%","39.4%","31.1%","34.1%"
"    Females 16 years and over","128,595,480","1,692,092","417,548","1,291,774","693,522","1,197,589","706,025"
"        In labor force","58.5%","57.4%","48.2%","67.3%","53.7%","55.7%","61.3%"
"            Civilian labor force","58.4%","57.4%","48.2%","67.1%","53.5%","55.7%","61.3%"
"                Employed","53.6%","53.9%","46.5%","63.0%","50.1%","51.1%","57.7%"
"                Unemployed","4.8%","3.5%","1.7%","4.2%","3.4%","4.6%","3.6%"
"                    Percent of civilian labor force","8.2%","6.1%","3.5%","6.2%","6.4%","8.3%","5.9%"
"COMMUTING TO WORK","","","","","","",""
"    Workers 16 years and over","142,962,379","1,797,397","383,005","1,430,487","684,235","1,571,739","811,832"
"        Car, truck, or van - drove alone","76.4%","58.0%","72.0%","69.7%","70.4%","67.4%","73.3%"
"        Car, truck, or van - carpooled","9.4%","12.7%","8.5%","13.9%","11.7%","10.8%","16.9%"
"        Public transportation (excluding taxicab)","5.2%","17.8%","8.0%","8.8%","8.4%","11.5%","3.7%"
"        Walked","2.8%","5.5%","3.7%","2.6%","4.0%","3.9%","1.9%"
"        Other means","1.9%","1.7%","2.5%","1.6%","1.6%","1.7%","1.5%"
"        Worked at home","4.4%","4.2%","5.4%","3.4%","4.0%","4.7%","2.7%"
"        Mean travel time to work (minutes)","25.8","31.7","27.5","28.5","28.8","29.2","26.7"
"OCCUPATION","","","","","","",""
"    Civilian employed population 16 years and over","145,128,676","1,835,196","391,484","1,451,429","695,058","1,610,309","828,066"
"        Management, business, science, and arts occupations","36.3%","54.4%","54.5%","43.5%","48.9%","69.3%","32.0%"
"        Service occupations","18.4%","17.2%","13.2%","21.5%","15.1%","6.5%","30.1%"
"        Sales and office occupations","24.2%","19.2%","23.3%","22.5%","25.7%","16.7%","15.9%"
"        Natural resources, construction, and maintenance occupations","8.9%","2.6%","3.8%","3.9%","2.6%","1.4%","5.0%"
"        Production, transportation, and material moving occupations","12.2%","6.5%","5.2%","8.5%","7.7%","6.1%","17.0%"
"    Male civilian employed population 16 years and over","76,154,288","923,509","197,219","638,034","347,801","998,543","420,780"
"        Management, business, science, and arts occupations","33.1%","56.0%","55.4%","39.4%","52.2%","71.5%","33.5%"
"        Service occupations","15.3%","15.7%","12.0%","20.1%","11.0%","4.6%","21.6%"
"        Sales and office occupations","17.3%","15.5%","18.1%","19.0%","23.0%","14.8%","13.4%"
"        Natural resources, construction, and maintenance occupations","16.2%","4.8%","7.1%","8.3%","4.8%","2.1%","9.3%"
"        Production, transportation, and material moving occupations","18.1%","8.0%","7.5%","13.2%","9.0%","7.1%","22.2%"
"    Female civilian employed population 16 years and over","68,974,388","911,687","194,265","813,395","347,257","611,766","407,286"
"        Management, business, science, and arts occupations","39.9%","52.9%","53.7%","46.6%","45.6%","65.7%","30.4%"
"        Service occupations","21.8%","18.8%","14.4%","22.7%","19.2%","9.5%","38.9%"
"        Sales and office occupations","31.7%","23.0%","28.6%","25.3%","28.4%","19.8%","18.5%"
"        Natural resources, construction, and maintenance occupations","0.9%","0.4%","0.4%","0.5%","0.4%","0.3%","0.6%"
"        Production, transportation, and material moving occupations","5.7%","4.9%","2.9%","4.9%","6.4%","4.6%","11.7%"
"INDUSTRY","","","","","","",""
"    Civilian employed population 16 years and over","145,128,676","1,835,196","391,484","1,451,429","695,058","1,610,309","828,066"
"        Agriculture, forestry, fishing and hunting, and mining","2.0%","0.4%","0.9%","0.4%","0.4%","0.5%","1.1%"
"        Construction","6.2%","2.0%","2.7%","1.8%","2.3%","1.2%","2.1%"
"        Manufacturing","10.5%","11.7%","11.5%","8.7%","9.1%","11.3%","20.1%"
"        Wholesale trade","2.7%","3.8%","3.5%","1.8%","3.9%","2.1%","1.9%"
"        Retail trade","11.6%","8.1%","9.2%","10.6%","13.7%","11.1%","8.3%"
"        Transportation and warehousing, and utilities","4.9%","3.5%","4.4%","4.0%","3.2%","3.7%","3.0%"
"        Information","2.1%","3.0%","2.8%","2.1%","2.2%","3.4%","1.6%"
"        Finance and insurance, and real estate and rental and leasing","6.6%","8.7%","7.8%","5.8%","7.1%","9.7%","4.6%"
"        Professional, scientific, and management, and administrative and waste management services","11.1%","14.7%","13.8%","9.3%","12.0%","24.7%","9.4%"
"        Educational services, and health care and social assistance","23.0%","22.8%","23.4%","37.0%","21.4%","22.9%","14.9%"
"        Arts, entertainment, and recreation, and accommodation and food services","9.7%","14.3%","10.3%","10.2%","11.7%","5.3%","9.4%"
"        Other services (except public administration)","5.0%","3.7%","4.0%","3.9%","10.4%","2.0%","20.7%"
"        Public administration","4.7%","3.3%","5.5%","4.3%","2.5%","2.1%","2.9%"
"CLASS OF WORKER","","","","","","",""
"    Civilian employed population 16 years and over","145,128,676","1,835,196","391,484","1,451,429","695,058","1,610,309","828,066"
"        Private wage and salary workers","79.7%","81.9%","76.0%","83.4%","79.9%","87.2%","82.1%"
"        Government workers","14.1%","12.4%","16.7%","13.1%","9.8%","9.2%","9.1%"
"        Self-employed workers in own not incorporated business","6.0%","5.3%","7.2%","3.3%","9.7%","3.3%","8.6%"
"        Unpaid family workers","0.2%","0.3%","0.1%","0.1%","0.6%","0.2%","0.3%"
"INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","","","","","","",""
"    Households","116,291,033","1,283,600","339,603","746,253","507,530","1,025,496","472,506"
"        Median household income (dollars)","52,250","68,149","70,756","81,788","58,004","100,547","57,441"
"    With earnings","77.8%","83.3%","75.2%","89.6%","81.6%","94.4%","89.4%"
"        Mean earnings (dollars)","75,498","103,228","96,584","94,846","91,982","127,489","80,898"
"    With Social Security income","29.8%","18.4%","34.5%","24.7%","18.8%","10.5%","18.0%"
"        Mean Social Security income (dollars)","17,389","14,605","18,255","16,780","14,339","17,599","12,135"
"    With Supplemental Security Income","5.4%","5.2%","2.2%","5.6%","4.7%","2.6%","9.0%"
"        Mean Supplemental Security Income (dollars)","9,202","8,753","8,928","8,586","8,286","8,095","9,564"
"    With cash public assistance income","2.8%","2.1%","0.9%","2.4%","1.8%","1.1%","3.6%"
"        Mean cash public assistance income (dollars)","3,324","3,752","5,778","3,886","4,506","3,451","3,792"
"    With retirement income","17.9%","7.7%","22.5%","15.6%","5.7%","4.9%","6.4%"
"        Mean retirement income (dollars)","23,668","26,012","29,768","22,592","24,268","28,950","16,206"
"    With Food Stamp/SNAP benefits","13.5%","7.1%","2.6%","6.6%","5.9%","3.8%","13.5%"
"    Families","76,680,463","880,693","205,223","584,214","347,898","816,081","377,971"
"        Median family income (dollars)","64,030","84,112","90,970","88,387","70,020","110,484","61,592"
"            Married-couple family","72.8%","81.7%","79.0%","75.4%","80.7%","91.4%","75.8%"
"        Median income (dollars)","77,607","94,745","101,104","98,941","75,208","115,765","68,275"
"            Male householder, no spouse present, family","7.3%","6.1%","6.0%","6.5%","6.0%","3.6%","9.0%"
"        Median income (dollars)","44,019","55,417","71,012","67,302","54,120","68,696","53,934"
"            Female householder, no husband present, family","19.8%","12.1%","15.0%","18.1%","13.2%","4.9%","15.1%"
"        Median income (dollars)","31,227","48,964","53,984","57,175","45,770","51,839","37,410"
"    Individuals","316,128,839","3,781,673","794,441","2,664,606","1,446,592","3,189,485","1,692,760"
"        Per capita income (dollars)","28,184","34,274","40,867","30,330","31,014","42,857","23,950"
"    With earnings for full-time, year-round workers:","","","","","","",""
"        Male","58,105,654","694,250","152,307","487,170","262,076","804,620","313,292"
"        Female","43,307,327","596,924","122,888","555,326","224,788","401,402","261,718"
"    Mean earnings (dollars) for full-time, year-round workers:","","","","","","",""
"        Male","66,128","83,362","87,751","59,379","77,224","101,509","59,496"
"        Female","48,275","68,259","61,145","55,382","57,395","74,448","46,119"
"    Median earnings (dollars) full-time, year-round workers:","","","","","","",""
"        Male","48,099","61,732","67,171","48,760","52,442","82,443","42,290"
"        Female","38,097","52,480","50,615","45,894","42,301","62,378","34,542"
"HEALTH INSURANCE COVERAGE","","","","","","",""
"    Civilian noninstitutionalized population","311,158,104","3,767,656","788,338","2,643,364","1,437,411","3,184,043","1,684,062"
"        With private health insurance","65.0%","69.1%","83.8%","75.4%","62.9%","80.0%","57.7%"
"        With public coverage","31.6%","21.9%","27.5%","20.9%","18.5%","13.3%","26.7%"
"        No health insurance coverage","14.5%","13.8%","7.1%","12.0%","23.0%","10.4%","19.4%"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","","","","","","",""
"    All families","11.6%","10.6%","4.0%","5.5%","10.5%","5.3%","13.4%"
"        With related children under 18 years","18.5%","11.4%","5.1%","7.1%","11.9%","5.5%","14.8%"
"            With related children under 5 years only","18.3%","9.1%","5.1%","9.1%","12.0%","4.0%","12.0%"
"        Married-couple family","5.8%","9.0%","2.6%","3.2%","8.5%","4.3%","10.6%"
"            With related children under 18 years","8.5%","8.7%","2.3%","3.9%","8.5%","4.4%","11.2%"
"                With related children under 5 years only","7.0%","7.6%","3.4%","4.2%","10.3%","3.3%","9.2%"
"        Female householder, no husband present, family","30.9%","19.5%","11.4%","12.8%","21.2%","19.6%","26.1%"
"            With related children under 18 years","41.0%","25.9%","20.4%","17.5%","30.8%","26.8%","34.8%"
"                With related children under 5 years only","46.2%","24.7%","17.9%","23.4%","26.5%","26.6%","26.3%"
"    All people","15.8%","15.9%","7.9%","7.3%","14.1%","7.7%","15.5%"
"        Under 18 years","22.2%","12.3%","6.7%","8.7%","12.0%","6.5%","16.5%"
"            Related children under 18 years","21.9%","11.6%","6.0%","8.0%","11.3%","6.4%","16.1%"
"                Related children under 5 years","24.8%","12.5%","7.3%","10.3%","12.1%","5.3%","16.2%"
"                Related children 5 to 17 years","20.8%","11.3%","5.4%","7.4%","11.1%","7.0%","16.1%"
"        18 years and over","13.9%","16.7%","8.0%","7.0%","14.6%","8.1%","15.2%"
"        18 to 64 years","14.8%","16.3%","8.7%","6.9%","13.7%","8.2%","14.5%"
"        65 years and over","9.6%","18.5%","6.1%","7.4%","19.6%","7.5%","20.4%"
"        People in families","13.1%","9.9%","3.7%","4.7%","9.3%","5.4%","12.7%"
"        Unrelated individuals 15 years and over","27.4%","42.1%","21.2%","24.8%","36.9%","27.0%","37.7%"
"HOUSING TENURE","","","","","","",""
"    Occupied housing units","116,291,033","1,283,600","339,603","746,253","507,530","1,025,496","472,506"
"        Owner-occupied housing units","63.5%","62.9%","65.0%","60.2%","47.1%","54.1%","64.8%"
"        Renter-occupied housing units","36.5%","37.1%","35.0%","39.8%","52.9%","45.9%","35.2%"
"    Average household size of owner-occupied unit","2.71","3.07","2.48","3.69","2.99","3.48","3.81"
"    Average household size of renter-occupied unit","2.54","2.41","2.08","3.09","2.39","2.64","3.00"
"UNITS IN STRUCTURE","","","","","","",""
"    Occupied housing units","116,291,033","1,283,600","339,603","746,253","507,530","1,025,496","472,506"
"        1-unit, detached or attached","68.7%","59.0%","65.4%","67.0%","51.2%","55.3%","73.0%"
"        2 to 4 units","8.0%","10.8%","5.4%","8.3%","8.2%","8.6%","6.7%"
"        5 or more units","17.4%","29.8%","28.1%","23.3%","39.8%","35.7%","17.3%"
"        Mobile home, boat, RV, van, etc.","5.8%","0.4%","1.1%","1.4%","0.8%","0.4%","3.0%"
"YEAR STRUCTURE BUILT","","","","","","",""
"    Occupied housing units","116,291,033","1,283,600","339,603","746,253","507,530","1,025,496","472,506"
"        Built 2010 or later","1.6%","2.2%","1.8%","2.3%","2.5%","3.2%","1.8%"
"        Built 2000 to 2009","14.8%","16.8%","11.8%","20.2%","22.0%","26.1%","23.5%"
"        Built 1980 to 1999","27.9%","28.1%","28.9%","30.7%","30.9%","34.6%","28.1%"
